Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,117.55,117.94,117.18,117.7,1610430,117.7
2017-06-05,117.86,117.93,117.53,117.68,1092149,117.68
2017-06-02,117.81,118.0,117.46,117.82,1404805,117.82
2017-06-01,117.22,117.78,117.03,117.78,1437895,117.78
2017-05-31,117.0,117.47,116.65,117.42,2542333,117.42
2017-05-30,116.82,117.08,116.59,116.85,908341,116.85
2017-05-26,116.65,116.8,116.55,116.78,963271,116.78
2017-05-25,116.25,116.57,116.01,116.53,831655,116.53
2017-05-24,116.05,116.53,115.91,116.2,861832,116.2
2017-05-23,116.17,116.35,115.95,116.04,1652884,116.04
2017-05-22,116.35,116.5,115.82,116.0,1252879,116.0
2017-05-19,116.03,116.35,115.79,116.1,2094083,116.1
2017-05-18,115.65,115.93,115.32,115.79,1524624,115.79
2017-05-17,116.28,116.44,115.8,115.82,1579626,115.82
2017-05-16,116.75,116.78,116.47,116.65,1285153,116.65
2017-05-15,115.98,116.61,115.9,116.6,2421882,116.6
2017-05-12,116.11,116.42,116.0,116.22,1223077,116.22
2017-05-11,116.0,116.13,115.55,115.89,1812884,115.89
2017-05-10,116.11,116.18,115.87,116.02,1754147,116.02
2017-05-09,116.04,116.35,115.98,116.05,1365701,116.05
2017-05-08,116.07,116.35,115.71,116.05,1438523,116.05
2017-05-05,116.01,116.35,116.0,116.2,1706834,116.2
2017-05-04,116.62,116.64,115.85,115.93,1755868,115.93
2017-05-03,116.9,117.14,115.89,116.32,2159919,116.32
2017-05-02,116.86,117.33,116.7,116.9,1832534,116.9
2017-05-01,116.79,117.22,116.61,116.87,1128407,116.87
2017-04-28,116.5,116.78,116.43,116.61,1275002,116.61
2017-04-27,116.63,116.84,116.47,116.5,2148265,116.5
2017-04-26,116.5,117.33,116.37,116.74,2477950,116.74
2017-04-25,115.98,117.15,115.71,116.94,2865720,116.94
2017-04-24,116.0,116.19,115.86,116.02,1939748,116.02
2017-04-21,115.57,115.89,115.4,115.5,2055280,115.5
2017-04-20,115.8,116.09,115.7,115.72,1699903,115.72
2017-04-19,115.95,116.11,115.71,115.76,1477977,115.76
2017-04-18,116.0,116.13,115.82,115.94,1287367,115.94
2017-04-17,115.86,116.29,115.75,116.19,1219102,116.19
2017-04-13,116.2,116.6,115.77,115.77,1553137,115.77
2017-04-12,116.45,116.59,116.1,116.27,1735792,116.27
2017-04-11,115.91,116.21,115.86,116.0,1684001,116.0
2017-04-10,116.38,116.5,115.91,115.93,1524228,115.93
