Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,55.37,55.71,54.91,55.42,1565538,55.42
2017-06-05,56.37,56.44,55.2,55.37,1630471,55.37
2017-06-02,55.95,56.75,55.95,56.58,2352328,56.58
2017-06-01,54.91,55.7,54.53,55.54,1698667,55.54
2017-05-31,55.0,55.42,54.8,54.93,1646464,54.93
2017-05-30,55.09,55.52,54.95,55.0,1450228,55.0
2017-05-26,55.16,55.7,54.99,55.18,2049552,55.18
2017-05-25,54.75,55.43,54.69,55.15,1579816,55.15
2017-05-24,54.23,54.85,54.17,54.66,1391354,54.66
2017-05-23,54.14,54.55,53.95,54.14,1502034,54.14
2017-05-22,54.27,54.92,54.07,54.13,1656041,54.13
2017-05-19,53.87,54.41,53.33,54.2,1872793,54.2
2017-05-18,53.71,54.06,53.3,53.82,2143575,53.82
2017-05-17,53.33,54.02,53.0,53.76,2394920,53.76
2017-05-16,54.33,54.62,52.85,53.21,3003396,53.21
2017-05-15,54.75,55.44,54.27,54.3,2096193,54.3
2017-05-12,54.53,54.96,54.47,54.73,1704730,54.73
2017-05-11,55.28,55.32,54.09,54.44,2557712,54.44
2017-05-10,55.1,56.14,54.97,55.58,2783267,55.58
2017-05-09,55.75,55.91,54.51,54.96,2434211,54.96
2017-05-08,56.84,57.07,55.53,55.68,2410188,55.68
2017-05-05,56.01,56.72,55.8,56.62,2056269,56.62
2017-05-04,57.54,57.54,54.92,55.78,5064350,55.78
2017-05-03,59.16,59.22,57.6,57.83,1813505,57.83
2017-05-02,58.94,59.39,58.84,59.04,1562823,59.04
2017-05-01,58.5,59.15,58.07,58.82,1499499,58.82
2017-04-28,59.36,59.36,58.29,58.35,1489272,58.35
2017-04-27,59.14,59.73,58.95,59.45,1435653,59.45
2017-04-26,59.87,59.94,58.84,59.21,1824185,59.21
2017-04-25,60.2,60.2,59.6,59.83,1862948,59.83
2017-04-24,61.84,62.0,59.76,60.08,2854695,60.08
2017-04-21,61.94,62.1,61.71,61.75,1183637,61.75
2017-04-20,61.86,62.1,61.54,62.07,1328508,62.07
