Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,4.58,4.59,4.5,4.5,8142,4.5
2016-02-18,4.49,4.5,4.49,4.5,3000,4.5
2016-02-17,4.35,4.48,4.25,4.25,6000,4.25
2016-02-16,4.3,4.3,4.3,4.3,1100,4.3
2016-02-12,4.3,4.3,4.25,4.25,200,4.25
2016-02-11,4.3,4.3,4.25,4.25,375,4.25
2016-02-10,4.3,4.3,4.3,4.3,125,4.3
2016-02-05,4.5,4.6,4.25,4.25,925,4.25
2016-02-04,4.25,4.5,4.25,4.25,8800,4.25
2016-02-03,4.2,4.2,4.2,4.2,2100,4.2
2016-02-01,4.3,4.3,4.3,4.3,100,4.3
2016-01-29,4.4,4.59,4.4,4.54,3258,4.54
2016-01-28,4.5,4.5,4.41,4.41,498,4.41
2016-01-27,4.58,4.59,4.3,4.4,5442,4.4
2016-01-22,4.5,4.6,4.31,4.6,2248,4.6
2016-01-21,4.15,4.56,4.15,4.56,4925,4.56
2016-01-20,4.2,4.2,3.9,4.15,3150,4.15
2016-01-19,4.5,4.5,4.25,4.25,3130,4.25
2016-01-15,4.51,4.51,4.51,4.51,400,4.51
2016-01-14,4.84,4.84,4.71,4.71,400,4.71
2016-01-12,5.1,5.1,5.1,5.1,100,5.1
2016-01-11,5.29,5.3,5.29,5.3,1775,5.3
2016-01-08,5.05,5.2,4.98,5.19,5280,5.19
2016-01-07,5.0,5.04,4.9,5.04,1450,5.04
2016-01-06,5.18,5.18,5.18,5.18,100,5.18
2016-01-05,5.4,5.4,5.21,5.21,1300,5.21
2016-01-04,5.4,5.4,5.4,5.4,100,5.4
2015-12-31,4.96,4.97,4.85,4.85,2650,4.85
2015-12-30,5.01,5.12,5.0,5.0,15900,5.0
2015-12-28,5.02,5.02,5.02,5.02,1574,5.02
2015-12-24,5.1,5.1,5.1,5.1,200,5.1
2015-12-23,5.1,5.1,5.05,5.1,1500,5.1
2015-12-22,5.3,5.3,4.7,5.05,32160,5.05
2015-12-21,5.31,5.31,5.31,5.31,1121,5.31
2015-12-18,5.32,5.5,5.32,5.5,1100,5.5
2015-12-16,5.88,5.88,5.51,5.51,2070,5.51
2015-12-14,6.15,6.15,6.05,6.05,236,6.05
2015-12-11,6.15,6.15,6.06,6.06,200,6.06
2015-12-10,6.16,6.16,6.05,6.05,436,6.05
2015-12-07,6.17,6.34,6.17,6.24,8628,6.24
2015-12-03,6.34,6.34,6.15,6.15,500,6.15
2015-12-02,6.55,6.55,6.55,6.55,400,6.55
2015-12-01,6.8,6.8,6.65,6.65,2520,6.65
2015-11-30,7.0,7.0,6.99,6.99,2150,6.99
2015-11-27,7.15,7.15,7.15,7.15,900,7.15
2015-11-24,7.15,7.15,6.76,6.76,1030,6.76
2015-11-23,7.0,7.15,7.0,7.15,1520,7.15
2015-11-19,7.4,7.4,6.9,7.24,1662,7.24
2015-11-17,7.61,7.61,7.35,7.35,2579,7.35
2015-11-12,7.65,7.65,7.65,7.65,100,7.65
2015-11-10,7.38,7.6,6.92,7.6,1200,7.6
2015-11-06,7.1,7.5,6.97,7.5,2271,7.5
2015-11-02,7.24,7.25,7.24,7.25,300,7.25
2015-10-29,7.06,7.08,7.06,7.08,3900,7.08
2015-10-28,7.07,7.07,7.07,7.07,156,7.07
2015-10-27,6.95,6.95,6.75,6.75,500,6.75
2015-10-26,7.09,7.09,7.05,7.05,200,7.05
2015-10-23,7.15,7.2,7.05,7.19,2206,7.19
2015-10-22,7.19,7.19,7.02,7.15,1910,7.15
2015-10-21,7.34,7.34,7.3,7.3,344,7.3
2015-10-19,7.32,7.32,7.32,7.32,250,7.32
2015-10-15,7.26,7.26,7.26,7.26,500,7.26
2015-10-14,8.05,8.05,7.5,7.5,5634,7.5
2015-10-13,7.35,7.55,7.35,7.55,6836,7.55
2015-10-08,7.58,7.58,7.58,7.58,836,7.58
2015-10-07,7.48,7.62,7.44,7.58,1098,7.58
2015-10-06,7.48,7.48,7.48,7.48,102,7.48
2015-09-29,7.49,7.49,7.49,7.49,500,7.49
2015-09-25,7.35,7.84,7.35,7.54,852,7.54
2015-09-17,7.79,7.79,7.78,7.79,5852,7.79
2015-09-16,7.01,7.51,7.01,7.51,549,7.51
2015-09-14,7.29,7.5,7.29,7.5,748,7.5
2015-09-10,7.55,7.55,7.5,7.5,243,7.5
2015-09-09,7.52,7.75,7.52,7.75,1620,7.75
2015-09-08,7.55,7.59,7.46,7.46,5680,7.46
2015-09-03,7.55,7.55,7.4,7.4,5550,7.4
2015-09-02,7.25,7.5,7.25,7.5,1600,7.5
2015-08-31,7.05,7.4,7.0,7.39,26720,7.39
2015-08-28,7.11,7.11,7.11,7.11,100,7.11
2015-08-26,7.06,7.06,7.0,7.0,2500,7.0
2015-08-24,7.51,7.51,7.0,7.0,1900,7.0
2015-08-19,7.51,7.89,7.5,7.89,5000,7.89
2015-08-18,7.6,7.6,7.6,7.6,200,7.6
2015-08-17,7.9,7.9,7.6,7.79,4250,7.79
2015-08-14,7.9,7.99,7.6,7.9,3100,7.9
2015-08-13,8.09,8.09,7.99,7.99,3195,7.99
2015-08-12,8.0,8.0,7.95,8.0,2100,8.0
2015-08-11,8.0,8.0,7.9,7.9,305,7.9
2015-08-10,8.0,8.0,8.0,8.0,5375,8.0
2015-08-07,8.0,8.0,8.0,8.0,8000,8.0
2015-08-06,7.75,8.6,7.75,8.0,37360,8.0
2015-08-05,7.85,7.85,7.75,7.85,5541,7.85
2015-08-04,7.75,7.95,7.75,7.95,38300,7.95
2015-08-03,7.6,7.75,7.6,7.75,15654,7.75
2015-07-31,7.7,7.71,7.61,7.61,8800,7.61
2015-07-29,7.36,7.36,7.36,7.36,204,7.36
2015-07-27,7.95,7.95,7.95,7.95,100,7.95
2015-07-23,7.99,7.99,7.99,7.99,2000,7.99
2015-07-22,7.01,7.5,7.01,7.5,6000,7.5
2015-07-15,7.24,7.75,7.24,7.75,800,7.75
2015-07-13,7.0,7.0,7.0,7.0,951,7.0
2015-07-10,6.48,7.0,6.4,7.0,1500,7.0
2015-07-08,7.0,7.0,7.0,7.0,100,7.0
2015-07-07,6.49,6.75,6.49,6.75,3620,6.75
2015-07-06,6.79,6.79,6.78,6.78,405,6.78
2015-07-02,6.78,6.78,6.78,6.78,500,6.78
2015-07-01,6.8,6.8,6.8,6.8,200,6.8
2015-06-30,6.8,6.8,6.8,6.8,100,6.8
2015-06-25,6.78,6.78,6.78,6.78,1030,6.78
2015-06-24,7.0,7.0,6.77,6.77,200,6.77
2015-06-22,8.0,8.0,6.76,6.76,656,6.76
2015-06-16,7.01,7.01,7.0,7.0,1468,7.0
2015-06-11,7.13,7.13,7.13,7.13,100,7.13
2015-06-09,7.04,7.04,6.75,6.99,2050,6.99
2015-06-05,7.25,7.25,7.25,7.25,100,7.25
2015-06-03,7.22,7.22,7.22,7.22,1000,7.22
2015-06-02,7.3,7.3,7.22,7.22,1580,7.22
2015-05-28,7.31,7.31,7.31,7.31,156,7.31
2015-05-26,7.7,7.7,7.7,7.7,2000,7.7
2015-05-22,7.22,7.22,7.21,7.21,1229,7.21
2015-05-20,7.89,7.89,7.75,7.75,1100,7.75
2015-05-19,8.0,8.0,7.7,7.89,600,7.89
2015-05-15,8.15,8.15,8.15,8.15,1000,8.15
2015-05-14,8.01,8.5,8.01,8.5,250,8.5
2015-05-13,8.4,8.5,8.16,8.5,870,8.5
2015-05-12,8.4,8.5,8.4,8.5,587,8.5
2015-05-11,8.75,8.75,8.65,8.7,1500,8.7
2015-05-08,8.75,8.8,8.75,8.75,1280,8.75
2015-05-07,8.45,8.5,8.45,8.5,620,8.5
2015-05-06,8.8,8.8,8.4,8.45,600,8.45
2015-05-05,8.95,8.95,8.8,8.8,500,8.8
2015-05-04,9.2,9.2,8.92,9.0,8340,9.0
2015-05-01,8.99,9.14,8.92,9.14,6975,9.14
2015-04-30,8.93,8.93,8.93,8.93,435,8.93
2015-04-29,8.27,8.27,8.27,8.27,397,8.27
2015-04-24,8.26,8.26,8.26,8.26,270,8.26
2015-04-23,8.25,8.25,7.98,7.99,1350,7.99
2015-04-22,8.47,8.47,8.45,8.45,1512,8.45
2015-04-21,8.45,8.45,8.45,8.45,100,8.45
2015-04-17,8.5,8.5,8.21,8.25,2300,8.25
2015-04-15,8.25,8.5,8.25,8.5,300,8.5
2015-04-14,8.1,8.1,8.1,8.1,550,8.1
2015-04-09,8.1,8.1,8.1,8.1,500,8.1
2015-04-08,7.05,8.0,7.05,8.0,4778,8.0
2015-04-07,7.5,7.5,7.4,7.4,300,7.4
2015-04-06,7.5,7.5,7.5,7.5,200,7.5
2015-04-02,7.6,7.75,7.6,7.75,4500,7.75
2015-04-01,7.57,7.59,7.51,7.59,5955,7.59
2015-03-31,7.0,7.0,7.0,7.0,2000,7.0
2015-03-30,6.96,7.59,6.96,7.59,4200,7.59
2015-03-26,7.22,7.22,7.22,7.22,440,7.22
2015-03-24,7.5,7.5,7.5,7.5,257,7.5
2015-03-23,7.43,7.49,7.43,7.49,300,7.49
2015-03-19,7.66,7.75,7.65,7.74,5323,7.74
2015-03-18,7.75,7.75,7.18,7.65,3072,7.65
2015-03-17,7.5,7.5,7.5,7.5,100,7.5
2015-03-13,7.82,7.82,7.82,7.82,5686,7.82
2015-03-12,7.85,7.85,7.32,7.32,1800,7.32
2015-03-10,7.85,7.85,7.85,7.85,500,7.85
2015-03-09,7.95,8.0,7.95,8.0,1398,8.0
2015-03-06,7.95,7.95,7.95,7.95,3277,7.95
2015-03-04,7.9,7.9,7.5,7.5,1117,7.5
2015-03-02,7.95,8.22,7.95,8.1,13278,8.1
2015-02-26,7.89,7.97,7.89,7.97,3258,7.97
2015-02-25,7.45,7.45,7.45,7.45,289,7.45
2015-02-24,7.89,7.89,7.89,7.89,200,7.89
2015-02-23,7.62,7.7,7.62,7.65,10175,7.65
2015-02-20,7.51,7.65,7.48,7.65,2542,7.65
2015-02-19,7.1,7.73,7.09,7.6,33853,7.6
2015-02-18,7.39,7.59,7.09,7.59,14477,7.59
2015-02-17,6.4,7.19,6.4,6.9,17055,6.9
2015-02-13,6.0,6.35,6.0,6.35,5155,6.35
2015-02-12,5.95,6.0,5.95,6.0,1053,6.0
2015-02-11,5.6,5.9,5.6,5.9,300,5.9
2015-02-10,5.81,5.81,5.81,5.81,140,5.81
2015-02-09,5.53,5.53,5.53,5.53,140,5.53
2015-02-06,5.6,5.71,5.5,5.71,2050,5.71
2015-02-05,5.61,5.65,5.3,5.65,4700,5.65
2015-02-04,5.65,5.65,5.65,5.65,100,5.65
2015-02-03,5.52,5.75,5.3,5.64,13735,5.64
2015-02-02,6.0,6.0,5.52,5.74,6108,5.74
2015-01-30,6.1,6.1,5.76,5.76,600,5.76
2015-01-29,5.93,5.93,5.76,5.76,10622,5.76
2015-01-28,5.94,6.5,5.93,5.93,10998,5.93
2015-01-26,5.45,5.45,5.45,5.45,100,5.45
2015-01-23,5.4,5.65,5.4,5.5,5409,5.5
2015-01-22,5.44,5.46,5.4,5.4,4638,5.4
2015-01-21,5.68,5.72,5.68,5.7,4000,5.7
2015-01-16,5.24,5.68,5.24,5.68,11477,5.68
2015-01-15,5.21,5.23,5.16,5.16,5237,5.16
2015-01-14,5.36,5.36,5.2,5.2,1100,5.2
2015-01-13,5.41,5.41,5.36,5.4,1800,5.4
2015-01-12,5.61,5.61,5.42,5.42,1737,5.42
2015-01-09,5.6,5.6,5.6,5.6,1685,5.6
2015-01-08,5.85,5.85,5.8,5.83,468,5.83
2015-01-07,5.97,5.97,5.81,5.91,16401,5.91
