Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,0.09,0.1,0.09,0.09,2329597,0.09
2017-06-05,0.09,0.1,0.09,0.09,2533356,0.09
2017-06-02,0.1,0.1,0.09,0.09,4030969,0.09
2017-06-01,0.1,0.1,0.1,0.1,3040776,0.1
2017-05-31,0.11,0.11,0.09,0.1,5291504,0.1
2017-05-30,0.11,0.11,0.1,0.11,4235495,0.11
2017-05-26,0.1,0.11,0.1,0.1,2908795,0.1
2017-05-25,0.1,0.11,0.09,0.1,7170176,0.1
2017-05-24,0.1,0.1,0.09,0.1,3088439,0.1
2017-05-23,0.08,0.1,0.08,0.09,5220586,0.09
2017-05-22,0.08,0.08,0.08,0.08,1849603,0.08
2017-05-19,0.07,0.08,0.07,0.08,1635233,0.08
2017-05-18,0.07,0.07,0.07,0.07,1050603,0.07
2017-05-17,0.07,0.08,0.07,0.07,2220863,0.07
2017-05-16,0.07,0.07,0.07,0.07,2568410,0.07
2017-05-15,0.07,0.07,0.07,0.07,1978398,0.07
2017-05-12,0.07,0.07,0.07,0.07,2518027,0.07
2017-05-11,0.07,0.07,0.07,0.07,670334,0.07
2017-05-10,0.07,0.07,0.07,0.07,3054404,0.07
2017-05-09,0.07,0.08,0.07,0.08,1733693,0.08
2017-05-08,0.07,0.08,0.07,0.07,916378,0.07
2017-05-05,0.07,0.08,0.07,0.07,793285,0.07
2017-05-04,0.07,0.08,0.07,0.07,2618509,0.07
2017-05-03,0.08,0.08,0.07,0.07,1848077,0.07
2017-05-02,0.08,0.09,0.07,0.08,1348802,0.08
2017-05-01,0.08,0.08,0.07,0.08,1990224,0.08
2017-04-28,0.08,0.09,0.08,0.08,3385329,0.08
2017-04-27,0.08,0.09,0.08,0.08,1411556,0.08
2017-04-26,0.09,0.09,0.08,0.08,2179803,0.08
2017-04-25,0.09,0.09,0.08,0.09,2249710,0.09
2017-04-24,0.09,0.09,0.09,0.09,1521707,0.09
2017-04-21,0.09,0.09,0.09,0.09,1817257,0.09
2017-04-20,0.1,0.1,0.09,0.09,1734851,0.09
2017-04-19,0.1,0.1,0.09,0.09,1020127,0.09
2017-04-18,0.1,0.1,0.09,0.1,1405000,0.1
2017-04-17,0.1,0.1,0.1,0.1,2125369,0.1
2017-04-13,0.1,0.1,0.1,0.1,2640369,0.1
2017-04-12,0.09,0.1,0.08,0.1,5094150,0.1
2017-04-11,0.09,0.09,0.09,0.09,2938007,0.09
2017-04-10,0.09,0.09,0.09,0.09,2380350,0.09
2017-04-07,0.09,0.09,0.09,0.09,1551105,0.09
2017-04-06,0.09,0.09,0.08,0.09,3782646,0.09
2017-04-05,0.08,0.09,0.08,0.08,2041097,0.08
2017-04-04,0.09,0.09,0.08,0.09,1120850,0.09
2017-04-03,0.08,0.09,0.08,0.09,1444872,0.09
2017-03-31,0.08,0.09,0.08,0.08,1624718,0.08
2017-03-30,0.08,0.09,0.08,0.08,1599854,0.08
2017-03-29,0.09,0.09,0.08,0.08,1915896,0.08
2017-03-28,0.09,0.09,0.08,0.09,1300567,0.09
2017-03-27,0.09,0.09,0.08,0.08,1664997,0.08
2017-03-24,0.08,0.09,0.08,0.09,1704674,0.09
2017-03-23,0.09,0.09,0.08,0.09,1660523,0.09
2017-03-22,0.1,0.1,0.08,0.08,3132649,0.08
2017-03-21,0.08,0.09,0.08,0.09,5481033,0.09
2017-03-20,0.1,0.1,0.08,0.08,8357527,0.08
2017-03-17,0.09,0.09,0.08,0.09,3332600,0.09
2017-03-16,0.1,0.1,0.08,0.09,10679653,0.09
2017-03-15,0.1,0.11,0.1,0.1,1110426,0.1
2017-03-14,0.11,0.11,0.1,0.11,1579184,0.11
2017-03-13,0.11,0.11,0.1,0.11,1920836,0.11
2017-03-10,0.11,0.12,0.1,0.1,4232672,0.1
2017-03-09,0.11,0.11,0.1,0.11,3758673,0.11
2017-03-08,0.11,0.11,0.11,0.11,3348602,0.11
