Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,9.46,9.47,8.73,8.75,20766640,8.75
2017-06-05,9.51,9.52,9.18,9.48,13200019,9.48
2017-06-02,9.17,9.36,9.06,9.3,9264191,9.3
2017-06-01,8.89,9.18,8.8,9.14,8508431,9.14
2017-05-31,8.97,8.99,8.68,8.9,14088423,8.9
2017-05-30,9.16,9.28,8.94,8.96,9448417,8.96
2017-05-26,9.22,9.28,9.14,9.22,5197672,9.22
2017-05-25,9.33,9.36,9.15,9.16,5890084,9.16
2017-05-24,9.15,9.31,9.13,9.25,8999783,9.25
2017-05-23,9.13,9.4,9.12,9.14,8312963,9.14
2017-05-22,9.13,9.21,9.11,9.12,7585897,9.12
2017-05-19,9.32,9.44,9.2,9.24,10025821,9.24
2017-05-18,9.71,9.71,9.07,9.42,22728745,9.42
2017-05-17,9.12,9.32,8.92,8.93,12536118,8.93
2017-05-16,9.67,9.74,9.28,9.35,14444604,9.35
2017-05-15,9.83,10.0,9.68,9.72,11190383,9.72
2017-05-12,9.59,9.95,9.54,9.82,19217422,9.82
2017-05-11,9.98,10.0,9.4,9.5,16807353,9.5
2017-05-10,9.81,10.16,9.63,9.95,20309937,9.95
2017-05-09,10.7,10.7,9.41,9.94,49907849,9.94
2017-05-08,10.7,10.79,10.25,10.4,19012020,10.4
2017-05-05,10.78,10.83,10.63,10.68,5159240,10.68
2017-05-04,10.75,10.9,10.71,10.72,4005351,10.72
2017-05-03,10.76,10.84,10.71,10.74,3045007,10.74
2017-05-02,10.9,10.98,10.77,10.86,3804063,10.86
2017-05-01,10.89,10.9,10.64,10.8,4648118,10.8
2017-04-28,11.15,11.15,10.8,10.85,7325743,10.85
2017-04-27,10.9,11.17,10.81,11.1,10806119,11.1
2017-04-26,10.97,10.97,10.81,10.83,3600288,10.83
2017-04-25,10.79,10.92,10.79,10.87,4624853,10.87
2017-04-24,11.0,11.02,10.7,10.75,4292771,10.75
2017-04-21,10.87,10.95,10.78,10.93,4517279,10.93
2017-04-20,10.84,10.91,10.74,10.85,4529326,10.85
2017-04-19,10.58,10.83,10.52,10.78,6871766,10.78
2017-04-18,10.71,10.71,10.5,10.56,6584459,10.56
2017-04-17,10.69,10.77,10.54,10.73,4030886,10.73
2017-04-13,11.07,11.08,10.58,10.71,12222255,10.71
2017-04-12,11.17,11.17,11.01,11.02,3719675,11.02
