Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,139.47,141.29,138.58,139.14,1608182,139.14
2017-06-05,137.49,140.99,136.91,140.52,3463620,140.52
2017-06-02,137.27,139.7,136.33,138.11,4389001,138.11
2017-06-01,133.13,139.97,133.0,138.99,15127449,138.99
2017-05-31,117.6,119.5,115.76,118.59,4953529,118.59
2017-05-30,118.23,119.57,115.01,117.0,2906612,117.0
2017-05-26,117.25,118.59,116.25,118.08,1029494,118.08
2017-05-25,118.44,119.37,117.35,117.64,1237655,117.64
2017-05-24,118.51,118.51,116.74,117.97,2023989,117.97
2017-05-23,117.4,118.97,116.51,118.12,1348579,118.12
2017-05-22,117.41,117.77,115.9,117.11,1388351,117.11
2017-05-19,118.0,118.04,114.66,116.5,2146366,116.5
2017-05-18,113.59,114.53,112.3,113.71,1568530,113.71
2017-05-17,117.32,118.43,114.34,114.47,1504406,114.47
2017-05-16,120.0,120.65,118.2,118.67,1327818,118.67
2017-05-15,121.31,122.08,119.2,119.61,3253449,119.61
2017-05-12,114.93,116.5,114.16,116.46,977117,116.46
2017-05-11,115.7,115.7,114.19,115.15,1153230,115.15
2017-05-10,116.61,116.76,114.76,115.83,2566399,115.83
2017-05-09,116.5,118.62,116.21,118.3,1483933,118.3
2017-05-08,116.21,117.22,115.63,116.83,1041249,116.83
2017-05-05,115.48,117.2,114.88,116.31,1559252,116.31
2017-05-04,113.33,117.67,113.33,115.64,2371791,115.64
2017-05-03,111.74,113.93,111.21,113.14,1910052,113.14
2017-05-02,108.42,110.06,108.4,109.91,1974854,109.91
2017-05-01,108.75,109.24,108.15,108.42,961806,108.42
2017-04-28,109.82,109.82,107.37,108.41,2423234,108.41
2017-04-27,110.12,110.99,109.68,109.95,1098129,109.95
2017-04-26,110.4,110.98,109.04,109.27,1048739,109.27
2017-04-25,110.19,111.16,110.09,110.4,1319943,110.4
2017-04-24,109.36,110.12,108.56,109.82,1658812,109.82
2017-04-21,109.43,109.59,107.88,108.55,1481866,108.55
2017-04-20,109.25,110.03,108.41,108.84,1243223,108.84
2017-04-19,109.09,110.27,108.52,109.16,1625260,109.16
2017-04-18,109.67,110.19,108.52,109.09,1256291,109.09
2017-04-17,110.5,111.82,108.75,109.87,2990937,109.87
2017-04-13,113.7,114.1,112.2,112.21,1729609,112.21
2017-04-12,113.0,114.2,112.51,113.38,1494158,113.38
2017-04-11,111.61,113.62,111.0,113.47,1659218,113.47
2017-04-10,112.06,112.74,111.44,112.41,1809253,112.41
2017-04-07,111.58,113.22,111.09,112.2,2505721,112.2
2017-04-06,108.5,111.06,108.5,110.88,1772225,110.88
2017-04-05,110.0,110.45,107.31,108.01,2339629,108.01
2017-04-04,110.84,111.79,109.66,109.82,1216303,109.82
2017-04-03,112.83,113.73,110.22,111.02,2613159,111.02
2017-03-31,113.17,114.15,112.42,112.68,2609767,112.68
2017-03-30,114.31,115.21,113.37,113.5,1421041,113.5
2017-03-29,113.15,114.71,112.9,113.43,1382909,113.43
2017-03-28,111.91,113.42,111.71,112.87,1395446,112.87
2017-03-27,110.49,112.35,110.04,111.8,1306069,111.8
2017-03-24,112.35,113.08,111.2,111.77,1192899,111.77
2017-03-23,111.97,113.0,111.72,111.89,1312329,111.89
2017-03-22,111.2,112.62,110.29,111.72,1705027,111.72
2017-03-21,114.87,115.9,110.77,111.1,2852295,111.1
2017-03-20,115.5,116.08,113.9,114.87,2892356,114.87
