Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,1888.94,1908.92,1886.9,1889.86,459621,1889.86
2017-06-05,1889.71,1900.25,1888.89,1891.58,327655,1891.58
2017-06-02,1899.04,1902.0,1881.02,1895.96,463349,1895.96
2017-06-01,1878.25,1894.77,1870.43,1890.82,433818,1890.82
2017-05-31,1862.38,1877.09,1850.0,1877.09,560940,1877.09
2017-05-30,1857.67,1863.65,1845.6,1857.45,484059,1857.45
2017-05-26,1861.55,1869.48,1852.64,1863.9,419645,1863.9
2017-05-25,1850.0,1870.39,1848.4,1860.43,532733,1860.43
2017-05-24,1829.13,1850.0,1829.13,1848.74,408929,1848.74
2017-05-23,1825.44,1832.98,1814.5,1827.94,346402,1827.94
2017-05-22,1815.9,1832.46,1813.37,1828.42,367475,1828.42
2017-05-19,1800.0,1822.22,1799.67,1808.28,457743,1808.28
2017-05-18,1795.0,1814.17,1791.4,1796.03,502975,1796.03
2017-05-17,1818.44,1820.46,1793.6,1795.69,621996,1795.69
2017-05-16,1819.83,1835.22,1817.56,1829.8,487203,1829.8
2017-05-15,1817.97,1827.27,1811.0,1813.81,521947,1813.81
2017-05-12,1824.33,1827.56,1814.0,1818.18,638719,1818.18
2017-05-11,1819.75,1824.76,1800.71,1813.56,775308,1813.56
2017-05-10,1853.78,1853.78,1801.0,1824.77,1761068,1824.77
2017-05-09,1911.44,1915.97,1898.04,1911.13,771471,1911.13
2017-05-08,1907.0,1927.13,1896.0,1903.91,585033,1903.91
2017-05-05,1918.0,1922.26,1897.38,1903.65,580275,1903.65
2017-05-04,1880.0,1917.9,1870.58,1910.41,675793,1910.41
2017-05-03,1884.65,1884.99,1865.47,1876.79,301111,1876.79
2017-05-02,1874.38,1882.96,1862.45,1880.52,260221,1880.52
2017-05-01,1849.9,1890.83,1849.9,1869.92,481924,1869.92
2017-04-28,1851.49,1858.61,1838.48,1846.82,477366,1846.82
2017-04-27,1807.0,1839.56,1800.28,1835.87,436093,1835.87
2017-04-26,1799.2,1806.05,1793.2,1804.12,321654,1804.12
2017-04-25,1807.78,1807.78,1795.31,1799.09,356429,1799.09
2017-04-24,1778.46,1805.78,1773.9,1798.62,852348,1798.62
2017-04-21,1759.9,1765.97,1746.37,1752.01,459493,1752.01
2017-04-20,1764.27,1771.86,1760.24,1760.8,346550,1760.8
2017-04-19,1766.9,1771.24,1757.41,1763.2,291148,1763.2
2017-04-18,1768.59,1770.99,1755.39,1763.31,287207,1763.31
2017-04-17,1743.0,1772.85,1739.7,1770.61,425663,1770.61
2017-04-13,1754.63,1757.18,1738.34,1738.77,418307,1738.77
2017-04-12,1774.58,1774.9,1750.01,1750.01,426815,1750.01
2017-04-11,1770.01,1780.55,1756.6,1768.4,353316,1768.4
2017-04-10,1770.0,1782.12,1767.2,1775.97,262001,1775.97
2017-04-07,1773.94,1773.99,1761.26,1769.56,289700,1769.56
2017-04-06,1764.75,1774.94,1755.37,1773.52,327409,1773.52
2017-04-05,1770.66,1787.57,1758.75,1761.77,324137,1761.77
2017-04-04,1772.99,1774.5,1761.41,1767.38,258457,1767.38
2017-04-03,1776.26,1785.0,1766.01,1773.99,360029,1773.99
2017-03-31,1784.74,1790.78,1778.78,1779.97,420527,1779.97
2017-03-30,1788.48,1795.56,1779.64,1789.2,278237,1789.2
2017-03-29,1789.83,1797.46,1783.3,1785.05,288372,1785.05
2017-03-28,1767.65,1798.75,1766.51,1788.45,454890,1788.45
2017-03-27,1736.0,1774.34,1733.0,1772.0,400413,1772.0
2017-03-24,1753.6,1757.49,1748.19,1753.11,300374,1753.11
2017-03-23,1752.95,1758.8,1747.67,1748.33,220854,1748.33
2017-03-22,1747.14,1754.9,1739.0,1751.99,278518,1751.99
2017-03-21,1772.0,1772.0,1744.08,1747.14,432755,1747.14
2017-03-20,1773.5,1776.69,1762.57,1765.44,262391,1765.44
2017-03-17,1774.73,1774.73,1766.78,1772.63,414638,1772.63
2017-03-16,1771.0,1775.0,1768.94,1773.98,302241,1773.98
2017-03-15,1772.78,1773.38,1759.78,1767.98,353244,1767.98
2017-03-14,1767.93,1769.86,1756.24,1769.0,321166,1769.0
2017-03-13,1757.0,1772.49,1754.94,1767.12,327936,1767.12
2017-03-10,1757.14,1759.17,1750.81,1754.24,330910,1754.24
2017-03-09,1738.15,1756.32,1738.15,1749.42,419507,1749.42
2017-03-08,1735.2,1749.64,1731.67,1743.49,421157,1743.49
2017-03-07,1720.0,1737.62,1720.0,1736.46,282612,1736.46
2017-03-06,1730.0,1736.85,1727.0,1730.21,354605,1730.21
2017-03-03,1731.0,1742.0,1729.41,1735.1,292797,1735.1
2017-03-02,1737.52,1747.26,1730.8,1734.37,503317,1734.37
2017-03-01,1741.0,1742.02,1726.23,1733.18,623667,1733.18
2017-02-28,1703.89,1748.39,1698.1,1724.13,1739807,1724.13
2017-02-27,1631.11,1635.32,1612.41,1632.01,812957,1632.01
2017-02-24,1627.55,1640.68,1622.02,1631.62,562914,1631.62
2017-02-23,1661.9,1664.99,1633.4,1637.26,412834,1637.26
2017-02-22,1641.52,1653.46,1639.0,1651.74,278868,1651.74
2017-02-21,1642.98,1657.24,1637.42,1647.0,460327,1647.0
2017-02-17,1648.78,1648.78,1634.06,1637.4,413956,1637.4
2017-02-16,1647.45,1658.97,1642.5,1648.88,301723,1648.88
2017-02-15,1631.3,1651.27,1628.0,1648.96,281001,1648.96
2017-02-14,1646.18,1646.31,1630.34,1637.29,391013,1637.29
2017-02-13,1652.0,1652.0,1640.0,1646.18,414147,1646.18
2017-02-10,1617.47,1649.65,1614.02,1646.51,843784,1646.51
2017-02-09,1602.84,1616.08,1598.05,1611.83,414258,1611.83
2017-02-08,1595.18,1604.3,1589.0,1601.19,373637,1601.19
2017-02-07,1590.0,1598.93,1588.0,1598.7,295491,1598.7
2017-02-06,1581.34,1588.87,1571.32,1587.18,210247,1587.18
2017-02-03,1576.49,1587.99,1572.81,1583.38,318032,1583.38
2017-02-02,1570.03,1585.45,1567.0,1574.09,444754,1574.09
2017-02-01,1584.09,1586.59,1562.86,1575.31,330688,1575.31
2017-01-31,1599.0,1599.41,1569.03,1575.13,517992,1575.13
2017-01-30,1598.65,1603.58,1571.0,1602.31,469914,1602.31
2017-01-27,1581.0,1605.47,1577.67,1602.92,428544,1602.92
2017-01-26,1576.56,1587.51,1575.45,1581.44,294924,1581.44
2017-01-25,1569.0,1581.47,1565.26,1578.82,308820,1578.82
2017-01-24,1558.38,1566.06,1552.13,1563.33,360258,1563.33
2017-01-23,1541.47,1555.73,1534.63,1554.99,430332,1554.99
2017-01-20,1547.56,1547.56,1528.01,1545.01,596473,1545.01
2017-01-19,1541.4,1549.0,1532.72,1539.02,279178,1539.02
2017-01-18,1545.22,1547.25,1529.21,1541.86,246014,1541.86
2017-01-17,1544.0,1546.99,1534.01,1540.13,330472,1540.13
2017-01-13,1535.75,1548.94,1531.26,1545.82,327038,1545.82
2017-01-12,1531.56,1539.93,1516.0,1538.59,314981,1538.59
2017-01-11,1532.21,1546.67,1527.02,1536.11,405273,1536.11
2017-01-10,1534.96,1544.56,1529.5,1535.25,325352,1535.25
2017-01-09,1518.0,1538.77,1518.0,1529.64,397497,1529.64
2017-01-06,1501.54,1526.47,1501.21,1520.57,473400,1520.57
2017-01-05,1489.89,1504.94,1489.89,1503.7,447540,1503.7
2017-01-04,1484.64,1493.65,1480.75,1487.29,388519,1487.29
2017-01-03,1476.91,1487.36,1459.49,1477.57,458853,1477.57
2016-12-30,1483.49,1483.49,1462.34,1466.06,407379,1466.06
2016-12-29,1477.21,1487.43,1473.35,1480.16,200861,1480.16
2016-12-28,1494.73,1496.05,1476.48,1480.46,248715,1480.46
2016-12-27,1490.01,1503.39,1486.43,1493.42,193927,1493.42
2016-12-23,1477.54,1490.08,1470.34,1486.2,275867,1486.2
2016-12-22,1501.4,1503.18,1475.42,1481.34,406420,1481.34
2016-12-21,1498.11,1512.71,1495.0,1505.76,291489,1505.76
2016-12-20,1488.06,1503.96,1483.98,1502.25,306567,1502.25
2016-12-19,1484.27,1501.47,1477.99,1488.83,390571,1488.83
2016-12-16,1507.5,1507.97,1473.13,1484.28,714549,1484.28
2016-12-15,1520.0,1523.0,1500.57,1501.2,584618,1501.2
2016-12-14,1542.74,1549.13,1525.72,1528.45,307587,1528.45
2016-12-13,1545.19,1560.0,1538.26,1540.11,387983,1540.11
2016-12-12,1560.55,1566.63,1528.57,1536.78,396630,1536.78
2016-12-09,1555.5,1559.18,1549.94,1557.98,333919,1557.98
2016-12-08,1535.36,1551.77,1522.76,1548.67,506505,1548.67
2016-12-07,1504.69,1527.8,1501.87,1527.04,389907,1527.04
2016-12-06,1506.96,1508.09,1493.99,1504.82,255320,1504.82
2016-12-05,1476.19,1502.87,1475.22,1499.76,350058,1499.76
2016-12-02,1481.48,1488.8,1466.98,1473.0,336892,1473.0
2016-12-01,1501.69,1504.12,1468.97,1479.66,572693,1479.66
2016-11-30,1523.25,1528.58,1500.21,1503.68,375620,1503.68
2016-11-29,1528.65,1532.9,1515.0,1520.27,327065,1520.27
2016-11-28,1517.3,1536.0,1513.11,1525.07,348940,1525.07
2016-11-25,1523.12,1527.99,1511.4,1521.68,174009,1521.68
2016-11-23,1530.92,1533.56,1510.89,1520.99,319016,1520.99
2016-11-22,1530.25,1535.9,1525.64,1535.42,320070,1535.42
2016-11-21,1512.0,1531.02,1507.2,1524.18,296359,1524.18
2016-11-18,1512.28,1529.0,1504.53,1507.35,426312,1507.35
2016-11-17,1502.54,1530.95,1500.19,1512.9,413476,1512.9
2016-11-16,1492.39,1517.0,1488.23,1503.23,366913,1503.23
2016-11-15,1499.97,1507.76,1485.6,1497.45,669081,1497.45
2016-11-14,1540.46,1541.92,1482.23,1489.18,801850,1489.18
2016-11-11,1548.1,1557.7,1530.87,1540.65,643516,1540.65
2016-11-10,1584.44,1600.93,1520.3,1554.32,1102306,1554.32
2016-11-09,1565.0,1575.0,1546.58,1570.26,912686,1570.26
2016-11-08,1540.0,1589.2,1540.0,1578.13,1560975,1578.13
2016-11-07,1437.45,1485.2,1435.79,1480.33,1395456,1480.33
2016-11-04,1429.05,1442.14,1422.19,1424.28,435291,1424.28
2016-11-03,1449.35,1456.52,1435.41,1438.1,367738,1438.1
2016-11-02,1468.48,1469.55,1441.79,1445.33,540224,1445.33
