Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,38.92,38.94,38.85,38.86,2475701,38.86
2017-06-05,38.99,39.0,38.88,38.9,2490523,38.9
2017-06-02,38.93,38.98,38.92,38.98,1725770,38.98
2017-06-01,38.87,38.92,38.82,38.87,2611313,38.87
2017-05-31,39.02,39.05,39.0,39.04,2090951,39.04
2017-05-30,39.07,39.08,38.96,38.99,2155658,38.99
2017-05-26,38.99,39.09,38.98,39.08,1805537,39.08
2017-05-25,38.96,38.98,38.91,38.98,2527984,38.98
2017-05-24,38.94,38.96,38.88,38.95,2460544,38.95
2017-05-23,38.89,38.95,38.87,38.94,2349573,38.94
2017-05-22,38.8,38.9,38.77,38.89,1741436,38.89
2017-05-19,38.75,38.86,38.75,38.75,2277411,38.75
2017-05-18,38.77,38.82,38.74,38.74,1837044,38.74
2017-05-17,38.87,38.88,38.78,38.82,2646948,38.82
2017-05-16,38.93,38.94,38.84,38.94,2085374,38.94
2017-05-15,38.88,38.93,38.88,38.92,1641156,38.92
2017-05-12,38.84,38.9,38.82,38.89,1601053,38.89
2017-05-11,38.87,38.87,38.81,38.81,1299188,38.81
2017-05-10,38.89,38.9,38.84,38.88,1254728,38.88
2017-05-09,38.92,38.93,38.84,38.86,2252551,38.86
2017-05-08,38.92,38.94,38.85,38.93,3067458,38.93
2017-05-05,38.8,38.91,38.76,38.91,2569926,38.91
2017-05-04,38.91,38.93,38.76,38.83,2645711,38.83
2017-05-03,38.9,38.94,38.79,38.94,5112435,38.94
2017-05-02,38.9,38.92,38.81,38.9,2936670,38.9
2017-05-01,38.99,39.08,38.94,39.07,3234999,39.07
2017-04-28,39.01,39.05,38.95,39.01,1937873,39.01
2017-04-27,38.96,39.04,38.95,39.01,1837253,39.01
2017-04-26,38.97,39.01,38.94,38.97,1977166,38.97
2017-04-25,38.98,39.01,38.94,38.94,1766708,38.94
2017-04-24,39.0,39.01,38.91,38.97,1909767,38.97
2017-04-21,38.9,38.93,38.83,38.93,2667410,38.93
2017-04-20,38.83,38.86,38.76,38.85,1647322,38.85
2017-04-19,38.82,38.86,38.76,38.8,1707007,38.8
2017-04-18,38.87,38.87,38.77,38.86,2240612,38.86
2017-04-17,38.79,38.89,38.74,38.86,1914586,38.86
2017-04-13,38.76,38.79,38.72,38.72,1772360,38.72
2017-04-12,38.76,38.78,38.69,38.77,1510357,38.77
2017-04-11,38.85,38.89,38.68,38.77,2261466,38.77
2017-04-10,38.8,38.88,38.75,38.84,2190787,38.84
2017-04-07,38.81,38.83,38.69,38.71,1711937,38.71
2017-04-06,38.62,38.77,38.54,38.76,2253912,38.76
2017-04-05,38.75,38.83,38.58,38.6,3481238,38.6
2017-04-04,38.75,38.76,38.65,38.74,1882279,38.74
2017-04-03,38.56,38.79,38.55,38.76,2821153,38.76
2017-03-31,38.69,38.73,38.64,38.7,1670941,38.7
2017-03-30,38.64,38.7,38.63,38.66,2107243,38.66
2017-03-29,38.58,38.67,38.58,38.61,1845704,38.61
2017-03-28,38.56,38.58,38.51,38.58,2012813,38.58
2017-03-27,38.44,38.52,38.4,38.5,2197977,38.5
2017-03-24,38.5,38.57,38.45,38.46,2229931,38.46
2017-03-23,38.3,38.47,38.3,38.45,2177860,38.45
2017-03-22,38.31,38.36,38.23,38.33,1626048,38.33
2017-03-21,38.43,38.46,38.26,38.3,2018759,38.3
2017-03-20,38.5,38.5,38.39,38.42,1509098,38.42
