Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,15.08,15.11,15.06,15.07,2194539,15.07
2017-06-05,15.09,15.1,15.07,15.08,1342857,15.08
2017-06-02,15.08,15.1,15.07,15.09,1416802,15.09
2017-06-01,15.04,15.08,15.03,15.08,1630091,15.08
2017-05-31,15.06,15.06,15.03,15.05,1005399,15.05
2017-05-30,15.06,15.06,15.03,15.06,1057080,15.06
2017-05-26,15.02,15.06,15.01,15.06,1291660,15.06
2017-05-25,15.03,15.03,14.99,15.02,2018631,15.02
2017-05-24,15.02,15.03,14.98,15.02,1426072,15.02
2017-05-23,14.99,15.02,14.98,15.02,1394746,15.02
2017-05-22,14.97,14.99,14.96,14.98,1311768,14.98
2017-05-19,14.97,14.99,14.94,14.96,1336052,14.96
2017-05-18,14.93,14.97,14.92,14.96,1443198,14.96
2017-05-17,14.98,14.99,14.95,14.95,1266732,14.95
2017-05-16,14.99,15.01,14.97,15.01,1966872,15.01
2017-05-15,14.99,15.0,14.98,14.99,1264686,14.99
2017-05-12,15.04,15.06,15.02,15.06,1155673,15.06
2017-05-11,15.04,15.04,15.02,15.03,1219212,15.03
2017-05-10,15.01,15.05,15.01,15.04,2237393,15.04
2017-05-09,15.04,15.04,15.01,15.04,1595901,15.04
2017-05-08,15.0,15.03,14.99,15.03,1213118,15.03
2017-05-05,14.99,15.01,14.96,14.99,1260877,14.99
2017-05-04,15.01,15.01,14.97,14.99,1388793,14.99
2017-05-03,14.99,15.01,14.97,15.01,1520730,15.01
2017-05-02,14.97,15.0,14.95,14.98,1732359,14.98
2017-05-01,14.97,14.98,14.94,14.97,1622989,14.97
2017-04-28,14.97,14.98,14.94,14.95,1224958,14.95
2017-04-27,14.96,14.97,14.94,14.96,1608871,14.96
2017-04-26,14.96,14.96,14.94,14.95,1209740,14.95
2017-04-25,14.95,14.98,14.95,14.96,1666259,14.96
2017-04-24,14.97,14.97,14.94,14.95,980162,14.95
2017-04-21,14.91,14.94,14.9,14.94,1130870,14.94
2017-04-20,14.92,14.92,14.89,14.91,1651299,14.91
2017-04-19,14.92,14.93,14.89,14.91,1360145,14.91
2017-04-18,14.93,14.93,14.89,14.93,1717101,14.93
2017-04-17,14.9,14.94,14.9,14.94,1282104,14.94
2017-04-13,14.9,14.92,14.87,14.88,1515338,14.88
2017-04-12,14.95,14.97,14.93,14.97,1559264,14.97
2017-04-11,15.0,15.0,14.92,14.94,2808086,14.94
2017-04-10,14.95,15.0,14.95,14.99,2022336,14.99
2017-04-07,14.99,14.99,14.95,14.97,1805075,14.97
2017-04-06,14.9,14.97,14.89,14.97,1723183,14.97
2017-04-05,14.96,14.98,14.9,14.91,2645904,14.91
2017-04-04,14.93,14.97,14.92,14.95,5274616,14.95
2017-04-03,14.86,14.98,14.83,14.95,16400341,14.95
2017-03-31,14.8,14.83,14.78,14.82,1679875,14.82
2017-03-30,14.78,14.81,14.76,14.79,1275422,14.79
2017-03-29,14.77,14.81,14.76,14.78,1429756,14.78
2017-03-28,14.77,14.78,14.74,14.77,1300735,14.77
2017-03-27,14.73,14.76,14.72,14.76,1671200,14.76
2017-03-24,14.76,14.77,14.73,14.74,1578445,14.74
2017-03-23,14.71,14.76,14.69,14.75,1579972,14.75
2017-03-22,14.66,14.72,14.65,14.72,2163966,14.72
2017-03-21,14.7,14.7,14.64,14.67,1285540,14.67
2017-03-20,14.68,14.7,14.67,14.69,1487298,14.69
