Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,16.3,16.58,16.25,16.47,3877149,16.47
2017-06-05,16.36,16.42,16.2,16.36,5909038,16.36
2017-06-02,16.47,16.53,16.32,16.42,3384943,16.42
2017-06-01,16.54,16.7,16.43,16.48,4982003,16.48
2017-05-31,16.68,16.75,16.46,16.52,4973437,16.52
2017-05-30,16.61,16.75,16.58,16.67,2855843,16.67
2017-05-26,16.52,16.68,16.38,16.61,3417167,16.61
2017-05-25,16.59,16.69,16.33,16.5,7353415,16.5
2017-05-24,16.72,16.76,16.43,16.59,4418864,16.59
2017-05-23,16.7,16.78,16.61,16.69,4648822,16.69
2017-05-22,16.79,16.83,16.37,16.46,3785617,16.46
2017-05-19,16.05,16.73,16.05,16.61,9822536,16.61
2017-05-18,15.84,15.95,15.74,15.89,5376736,15.89
2017-05-17,16.2,16.27,15.87,15.98,8444391,15.98
2017-05-16,16.41,16.48,16.27,16.3,4641405,16.3
2017-05-15,16.43,16.56,16.34,16.39,5561660,16.39
2017-05-12,16.36,16.48,16.25,16.31,3560356,16.31
2017-05-11,16.42,16.53,16.25,16.35,6632369,16.35
2017-05-10,16.54,16.79,16.45,16.49,8327620,16.49
2017-05-09,16.5,16.6,16.29,16.48,5618739,16.48
2017-05-08,16.4,16.58,16.39,16.47,6011512,16.47
2017-05-05,16.32,16.59,16.26,16.46,5051586,16.46
2017-05-04,16.29,16.36,16.21,16.25,5875147,16.25
2017-05-03,16.44,16.53,16.26,16.29,7694048,16.29
2017-05-02,16.76,16.94,16.5,16.55,8976397,16.55
2017-05-01,16.95,17.0,16.73,16.73,7691249,16.73
2017-04-28,17.08,17.1,16.79,16.88,5016583,16.88
2017-04-27,16.95,17.2,16.89,17.02,8431708,17.02
2017-04-26,16.55,16.77,16.49,16.66,5178383,16.66
2017-04-25,16.47,16.73,16.43,16.61,4005550,16.61
2017-04-24,16.29,16.49,16.23,16.43,4263011,16.43
2017-04-21,16.41,16.49,16.1,16.15,6576157,16.15
2017-04-20,16.48,16.61,16.4,16.43,3703389,16.43
2017-04-19,16.51,16.58,16.34,16.44,4842457,16.44
2017-04-18,16.53,16.66,16.46,16.53,5278027,16.53
2017-04-17,16.61,16.71,16.53,16.67,3123518,16.67
2017-04-13,16.73,16.76,16.53,16.55,3434250,16.55
2017-04-12,16.81,16.83,16.64,16.72,3309767,16.72
2017-04-11,16.92,16.96,16.61,16.85,6234721,16.85
2017-04-10,16.86,16.9,16.75,16.85,4101134,16.85
2017-04-07,16.8,16.93,16.74,16.83,3888792,16.83
2017-04-06,16.85,16.93,16.78,16.82,5817632,16.82
2017-04-05,17.15,17.15,16.81,16.85,6585232,16.85
2017-04-04,16.9,17.07,16.84,17.03,3045850,17.03
2017-04-03,17.07,17.22,16.82,17.03,4051816,17.03
2017-03-31,17.15,17.33,17.08,17.08,3707448,17.08
2017-03-30,17.09,17.33,17.05,17.21,3808038,17.21
2017-03-29,17.0,17.24,16.91,17.08,3493039,17.08
2017-03-28,16.99,17.27,16.99,17.1,5424615,17.1
2017-03-27,16.91,17.06,16.89,17.02,3019874,17.02
2017-03-24,17.08,17.17,16.95,17.02,5667860,17.02
2017-03-23,16.98,17.18,16.89,17.09,3871819,17.09
2017-03-22,17.0,17.05,16.85,17.04,3290568,17.04
2017-03-21,17.32,17.4,16.98,17.0,4098111,17.0
2017-03-20,17.3,17.43,17.15,17.21,2795911,17.21
2017-03-17,17.33,17.45,17.31,17.32,6411785,17.32
2017-03-16,17.43,17.5,17.18,17.29,5214761,17.29
2017-03-15,17.15,17.32,16.96,17.26,5259409,17.26
2017-03-14,17.18,17.26,16.99,17.03,5967030,17.03
2017-03-13,17.49,17.5,17.23,17.36,4012119,17.36
2017-03-10,17.52,17.58,17.3,17.43,4929947,17.43
2017-03-09,17.4,18.07,17.25,17.4,16356973,17.4
2017-03-08,17.11,17.21,16.89,16.91,4922975,16.91
2017-03-07,17.0,17.22,16.93,17.1,5204559,17.1
2017-03-06,17.01,17.15,16.9,17.02,3752815,17.02
2017-03-03,17.12,17.21,17.02,17.1,5130204,17.1
2017-03-02,17.51,17.59,17.11,17.15,6880726,17.15
2017-03-01,17.63,17.82,17.45,17.52,6139372,17.52
2017-02-28,17.74,18.0,17.4,17.43,6323172,17.43
2017-02-27,17.77,17.89,17.53,17.83,4962805,17.83
2017-02-24,17.83,17.99,17.52,17.87,6169204,17.87
2017-02-23,18.66,18.67,17.85,18.07,7061225,18.07
2017-02-22,18.58,18.71,18.44,18.63,3845313,18.63
2017-02-21,18.72,18.74,18.55,18.66,2858077,18.66
2017-02-17,18.61,18.74,18.38,18.72,4236235,18.72
2017-02-16,18.94,19.01,18.64,18.7,4850286,18.7
2017-02-15,19.33,19.36,18.87,18.96,4367809,18.96
2017-02-14,19.1,19.39,18.98,19.28,6145010,19.28
2017-02-13,19.08,19.42,19.0,19.11,8464768,19.11
2017-02-10,18.92,19.16,18.78,19.06,4849430,19.06
2017-02-09,19.0,19.02,18.64,18.75,4470392,18.75
2017-02-08,18.82,18.99,18.56,18.97,8468582,18.97
2017-02-07,18.31,18.89,18.19,18.83,7495981,18.83
2017-02-06,18.48,18.51,18.22,18.44,4019371,18.44
2017-02-03,18.38,18.79,18.35,18.56,4305706,18.56
2017-02-02,18.5,18.58,18.22,18.46,3978022,18.46
2017-02-01,18.7,18.71,18.17,18.55,5668558,18.55
2017-01-31,18.61,18.81,18.32,18.6,5642208,18.6
2017-01-30,18.57,18.67,18.23,18.53,6601257,18.53
2017-01-27,19.16,19.51,18.67,18.74,8977510,18.74
2017-01-26,18.95,19.44,18.91,19.26,14489519,19.26
2017-01-25,19.89,20.26,19.61,19.86,10021165,19.86
2017-01-24,19.2,20.24,19.08,19.87,16603181,19.87
2017-01-23,18.88,19.03,18.63,18.89,6503363,18.89
2017-01-20,18.25,19.08,18.23,18.94,8220370,18.94
2017-01-19,18.22,18.3,18.05,18.07,3705603,18.07
2017-01-18,18.73,18.76,18.12,18.16,6763809,18.16
2017-01-17,18.95,19.05,18.66,18.77,4055758,18.77
2017-01-13,18.98,19.07,18.74,18.91,3708659,18.91
2017-01-12,19.21,19.21,18.68,18.98,4350452,18.98
2017-01-11,18.63,19.06,18.54,19.0,5542853,19.0
2017-01-10,18.53,18.78,18.5,18.6,6295401,18.6
2017-01-09,18.4,18.6,18.36,18.52,3960009,18.52
2017-01-06,18.74,18.75,18.34,18.46,5130386,18.46
2017-01-05,18.77,18.9,18.62,18.76,2997334,18.76
2017-01-04,18.24,18.8,18.21,18.77,6051329,18.77
2017-01-03,18.27,18.48,18.07,18.12,2972756,18.12
2016-12-30,18.23,18.35,18.01,18.09,2989036,18.09
2016-12-29,18.1,18.26,18.1,18.19,2842664,18.19
2016-12-28,18.53,18.77,18.04,18.09,3553063,18.09
2016-12-27,18.12,18.73,18.11,18.63,3817670,18.63
2016-12-23,18.11,18.3,17.9,18.02,3325794,18.02
2016-12-22,17.93,18.2,17.89,18.13,3820719,18.13
2016-12-21,18.14,18.26,17.89,17.99,4119630,17.99
2016-12-20,17.92,18.32,17.83,18.26,3910784,18.26
