Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.68,12.73,12.67,12.7,69094,12.7
2017-06-05,12.81,12.81,12.74,12.76,70221,12.76
2017-06-02,12.78,12.83,12.78,12.81,46448,12.81
2017-06-01,12.72,12.78,12.67,12.78,87295,12.78
2017-05-31,12.67,12.67,12.58,12.6,95848,12.6
2017-05-30,12.62,12.65,12.61,12.63,23785,12.63
2017-05-26,12.57,12.62,12.57,12.6,198566,12.6
2017-05-25,12.6,12.68,12.6,12.64,117376,12.64
2017-05-24,12.54,12.57,12.51,12.57,120555,12.57
2017-05-23,12.51,12.52,12.46,12.52,126590,12.52
2017-05-22,12.44,12.49,12.44,12.48,347336,12.48
2017-05-19,12.31,12.39,12.3,12.37,48410,12.37
2017-05-18,12.25,12.3,12.17,12.25,72101,12.25
2017-05-17,12.43,12.44,12.27,12.27,106953,12.27
2017-05-16,12.5,12.52,12.48,12.51,50856,12.51
2017-05-15,12.41,12.48,12.41,12.45,130226,12.45
2017-05-12,12.38,12.39,12.35,12.38,77298,12.38
2017-05-11,12.37,12.41,12.33,12.39,77004,12.39
2017-05-10,12.37,12.42,12.37,12.41,59201,12.41
2017-05-09,12.41,12.42,12.36,12.4,143738,12.4
2017-05-08,12.41,12.41,12.36,12.38,64527,12.38
2017-05-05,12.35,12.47,12.35,12.46,143852,12.46
2017-05-04,12.42,12.42,12.34,12.37,92492,12.37
2017-05-03,12.39,12.39,12.33,12.36,86918,12.36
2017-05-02,12.39,12.47,12.39,12.46,448319,12.46
2017-05-01,12.3,12.33,12.28,12.31,75116,12.31
2017-04-28,12.3,12.31,12.26,12.28,382725,12.28
2017-04-27,12.21,12.29,12.19,12.28,200586,12.28
2017-04-26,12.13,12.22,12.13,12.19,204980,12.19
2017-04-25,12.06,12.14,12.06,12.13,210612,12.13
2017-04-24,11.98,12.02,11.95,12.01,697350,12.01
2017-04-21,11.8,11.82,11.78,11.8,45101,11.8
2017-04-20,11.79,11.82,11.78,11.81,121431,11.81
