Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,16.23,16.37,16.14,16.33,1719334,16.33
2017-06-05,16.2,16.24,16.14,16.19,997645,16.19
2017-06-02,16.46,16.51,16.18,16.2,1845903,16.2
2017-06-01,16.63,16.76,16.55,16.55,1675549,16.55
2017-05-31,16.57,16.86,16.57,16.69,1645735,16.69
2017-05-30,16.74,16.74,16.64,16.68,966712,16.68
2017-05-26,16.76,16.81,16.69,16.72,1174177,16.72
2017-05-25,16.93,17.0,16.68,16.77,1996984,16.77
2017-05-24,17.1,17.21,17.04,17.05,1318100,17.05
2017-05-23,17.14,17.3,17.14,17.21,1432837,17.21
2017-05-22,17.47,17.47,17.23,17.24,1721366,17.24
2017-05-19,17.57,17.59,17.39,17.55,1950478,17.55
2017-05-18,18.01,18.06,17.57,17.7,4314181,17.7
2017-05-17,17.41,18.01,17.34,18.0,3731868,18.0
2017-05-16,17.21,17.29,17.13,17.14,1328820,17.14
2017-05-15,17.37,17.4,17.26,17.28,1034502,17.28
2017-05-12,17.45,17.48,17.38,17.39,1216641,17.39
2017-05-11,17.53,17.69,17.45,17.47,1719313,17.47
2017-05-10,17.43,17.56,17.42,17.43,1283255,17.43
2017-05-09,17.52,17.56,17.37,17.46,1376305,17.46
2017-05-08,17.65,17.71,17.57,17.57,1098738,17.57
2017-05-05,17.7,17.83,17.65,17.66,830628,17.66
2017-05-04,17.79,17.91,17.73,17.77,1529267,17.77
2017-05-03,17.76,17.89,17.75,17.78,1974765,17.78
2017-05-02,17.69,17.78,17.66,17.67,1756454,17.67
2017-05-01,17.93,17.96,17.69,17.76,1801595,17.76
2017-04-28,17.98,18.12,17.96,18.07,1387218,18.07
2017-04-27,18.26,18.28,18.12,18.13,1485850,18.13
2017-04-26,18.26,18.36,18.19,18.35,1600589,18.35
2017-04-25,18.45,18.46,18.23,18.29,1786105,18.29
2017-04-24,18.6,18.66,18.52,18.56,1785129,18.56
2017-04-21,18.95,19.1,18.95,19.01,1275594,19.01
2017-04-20,19.16,19.23,18.93,19.01,2446180,19.01
2017-04-19,19.22,19.38,19.09,19.33,1409000,19.33
2017-04-18,19.46,19.48,19.27,19.39,1326040,19.39
2017-04-17,19.54,19.55,19.32,19.34,1590274,19.34
2017-04-13,19.55,19.65,19.32,19.64,2339901,19.64
2017-04-12,19.34,19.54,19.31,19.48,1390834,19.48
2017-04-11,19.21,19.61,19.15,19.34,2774198,19.34
2017-04-10,19.15,19.27,19.01,19.17,1436217,19.17
2017-04-07,19.17,19.32,19.07,19.17,1904519,19.17
2017-04-06,19.14,19.26,19.06,19.15,2379897,19.15
2017-04-05,18.97,19.25,18.75,19.18,2709427,19.18
2017-04-04,19.2,19.21,19.02,19.04,1485562,19.04
2017-04-03,19.03,19.29,18.93,19.09,2320436,19.09
2017-03-31,19.1,19.12,18.96,19.06,1274729,19.06
2017-03-30,19.1,19.15,18.99,19.04,1496082,19.04
2017-03-29,19.26,19.29,19.08,19.09,1403540,19.09
2017-03-28,19.53,19.59,19.16,19.26,2030339,19.26
2017-03-27,19.86,19.93,19.44,19.52,2288324,19.52
2017-03-24,19.51,19.72,19.38,19.57,3036543,19.57
2017-03-23,19.61,19.72,19.5,19.65,1983089,19.65
2017-03-22,19.82,19.86,19.52,19.55,3125017,19.55
2017-03-21,19.1,19.85,19.05,19.82,4284815,19.82
2017-03-20,19.28,19.33,19.15,19.23,964402,19.23
2017-03-17,19.22,19.29,19.17,19.28,1139056,19.28
2017-03-16,19.15,19.34,19.15,19.25,1577800,19.25
2017-03-15,19.39,19.51,19.14,19.24,2964405,19.24
2017-03-14,19.46,19.62,19.44,19.48,1007836,19.48
2017-03-13,19.44,19.48,19.36,19.38,1082610,19.38
2017-03-10,19.43,19.6,19.38,19.44,1691477,19.44
2017-03-09,19.64,19.81,19.55,19.61,1350777,19.61
2017-03-08,19.69,19.72,19.51,19.62,1426404,19.62
2017-03-07,19.72,19.76,19.53,19.7,1577148,19.7
2017-03-06,19.69,19.78,19.57,19.63,1808837,19.63
2017-03-03,19.65,19.75,19.54,19.55,1168912,19.55
2017-03-02,19.42,19.67,19.42,19.61,1616975,19.61
2017-03-01,19.61,19.68,19.35,19.42,3109887,19.42
2017-02-28,19.75,19.96,19.74,19.85,1384724,19.85
2017-02-27,19.86,19.92,19.73,19.73,971173,19.73
2017-02-24,20.03,20.05,19.79,19.79,2605741,19.79
2017-02-23,19.66,20.02,19.66,19.86,2468781,19.86
2017-02-22,19.78,19.83,19.69,19.71,1244551,19.71
2017-02-21,19.85,19.87,19.7,19.72,1938164,19.72
2017-02-17,20.15,20.16,19.92,19.92,1349919,19.92
2017-02-16,20.06,20.2,19.98,20.09,1603826,20.09
2017-02-15,20.36,20.37,20.06,20.08,1447846,20.08
2017-02-14,20.45,20.57,20.32,20.33,2047565,20.33
2017-02-13,20.56,20.58,20.4,20.47,1842467,20.47
2017-02-10,20.75,20.81,20.63,20.7,1734648,20.7
2017-02-09,20.92,20.96,20.74,20.84,2151107,20.84
2017-02-08,21.11,21.19,20.92,20.97,896043,20.97
2017-02-07,21.13,21.16,20.96,21.05,1752064,21.05
2017-02-06,21.34,21.36,21.2,21.21,997643,21.21
2017-02-03,21.33,21.37,21.21,21.27,1418347,21.27
2017-02-02,21.42,21.53,21.25,21.37,1588370,21.37
2017-02-01,21.34,21.53,21.26,21.34,2099455,21.34
2017-01-31,21.7,21.88,21.62,21.62,1942375,21.62
2017-01-30,21.37,21.78,21.37,21.53,2075497,21.53
2017-01-27,21.21,21.36,21.18,21.23,1314111,21.23
2017-01-26,21.27,21.38,21.21,21.29,1440574,21.29
2017-01-25,21.51,21.55,21.33,21.36,1885879,21.36
2017-01-24,22.0,22.07,21.72,21.76,2217928,21.76
2017-01-23,22.16,22.36,22.02,22.1,1989712,22.1
2017-01-20,22.03,22.23,21.9,22.13,1924405,22.13
2017-01-19,22.14,22.31,21.97,22.22,1908672,22.22
2017-01-18,22.23,22.32,22.15,22.19,1877028,22.19
2017-01-17,22.27,22.41,22.2,22.27,1585039,22.27
2017-01-13,22.26,22.27,22.07,22.15,1825405,22.15
2017-01-12,22.39,22.71,22.28,22.29,2182086,22.29
2017-01-11,22.35,22.56,22.23,22.23,2557069,22.23
2017-01-10,22.43,22.53,22.22,22.36,2096867,22.36
2017-01-09,22.57,22.59,22.37,22.45,2216099,22.45
2017-01-06,22.95,23.07,22.48,22.59,2096770,22.59
2017-01-05,23.27,23.28,22.97,22.99,1859850,22.99
2017-01-04,23.47,23.47,23.17,23.26,2616008,23.26
2017-01-03,23.61,23.77,23.33,23.53,1917706,23.53
2016-12-30,23.39,24.08,23.38,23.93,2636621,23.93
2016-12-29,23.41,23.61,23.31,23.48,1626451,23.48
2016-12-28,22.94,23.43,22.9,23.4,1437508,23.4
2016-12-27,23.2,23.2,22.77,23.02,1786935,23.02
2016-12-23,23.39,23.43,23.26,23.28,1599496,23.28
2016-12-22,23.16,23.48,23.15,23.31,1032970,23.31
2016-12-21,23.13,23.28,23.09,23.17,1598336,23.17
2016-12-20,23.2,23.23,23.05,23.14,1877321,23.14
2016-12-19,23.45,23.52,23.03,23.31,2614290,23.31
2016-12-16,23.23,23.59,23.17,23.5,1817729,23.5
2016-12-15,23.38,23.46,23.06,23.32,2602405,23.32
2016-12-14,23.28,23.54,23.11,23.44,3246813,23.44
2016-12-13,23.76,23.76,23.05,23.3,2218651,23.3
2016-12-12,23.93,24.11,23.83,23.9,1561028,23.9
2016-12-09,23.89,23.9,23.69,23.71,2367989,23.71
2016-12-08,24.14,24.24,23.95,24.08,2096833,24.08
2016-12-07,24.88,25.05,24.1,24.15,2864718,24.15
2016-12-06,24.78,24.99,24.71,24.78,1963393,24.78
2016-12-05,25.03,25.28,24.72,24.92,1919329,24.92
2016-12-02,25.38,25.51,25.1,25.32,2124929,25.32
2016-12-01,24.57,25.48,24.57,25.38,2852725,25.38
2016-11-30,23.93,24.56,23.91,24.56,2029408,24.56
2016-11-29,24.11,24.23,23.74,23.97,1933252,23.97
2016-11-28,24.1,24.19,23.92,24.14,1699406,24.14
2016-11-25,24.12,24.18,24.01,24.03,556390,24.03
2016-11-23,24.16,24.39,24.11,24.18,2257855,24.18
2016-11-22,23.97,24.11,23.88,23.98,1684095,23.98
2016-11-21,24.53,24.55,24.1,24.14,2169288,24.14
2016-11-18,24.45,24.71,24.33,24.67,1707596,24.67
2016-11-17,24.86,24.95,24.46,24.46,2608022,24.46
2016-11-16,25.35,25.36,24.79,24.82,2002277,24.82
2016-11-15,25.46,25.52,24.95,25.13,3177050,25.13
2016-11-14,25.3,26.11,25.28,25.85,3782760,25.85
2016-11-11,25.6,25.76,25.22,25.31,5417889,25.31
2016-11-10,24.36,26.0,24.27,25.37,8859652,25.37
2016-11-09,25.4,25.42,24.49,24.58,8450921,24.58
2016-11-08,25.18,25.29,24.57,24.8,2147208,24.8
2016-11-07,25.56,25.6,25.07,25.1,2762991,25.1
2016-11-04,26.34,26.47,25.97,26.4,3189432,26.4
2016-11-03,25.77,26.25,25.61,26.21,2809280,26.21
2016-11-02,25.32,25.82,25.2,25.7,2942546,25.7
2016-11-01,24.83,25.71,24.82,25.3,3315646,25.3
2016-10-31,24.68,24.93,24.68,24.93,1612531,24.93
2016-10-28,24.72,25.01,24.45,24.87,4358955,24.87
2016-10-27,24.11,24.62,24.09,24.56,2225255,24.56
2016-10-26,24.32,24.47,24.08,24.31,2530815,24.31
2016-10-25,23.85,24.08,23.82,24.04,1381719,24.04
2016-10-24,24.13,24.13,23.83,23.85,3098244,23.85
2016-10-21,24.6,24.75,24.41,24.44,1227015,24.44
2016-10-20,24.64,24.91,24.52,24.63,1629148,24.63
2016-10-19,24.6,24.65,24.51,24.59,895660,24.59
2016-10-18,24.43,24.59,24.34,24.55,1910279,24.55
