Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,3.72,3.74,3.4,3.41,26193285,3.41
2017-06-05,3.71,3.82,3.65,3.75,13924937,3.75
2017-06-02,3.47,3.74,3.44,3.68,23743282,3.68
2017-06-01,3.41,3.55,3.4,3.53,21437917,3.53
2017-05-31,3.54,3.59,3.38,3.41,62079989,3.41
2017-05-30,3.66,3.67,3.45,3.46,27066638,3.46
2017-05-26,3.7,3.74,3.65,3.67,6819769,3.67
2017-05-25,3.68,3.77,3.66,3.7,11669443,3.7
2017-05-24,3.54,3.77,3.54,3.66,25371978,3.66
2017-05-23,3.65,3.74,3.52,3.54,14567590,3.54
2017-05-22,3.48,3.77,3.46,3.6,20523693,3.6
2017-05-19,3.6,3.61,3.44,3.46,17760098,3.46
2017-05-18,3.67,3.67,3.32,3.43,30504583,3.43
2017-05-17,3.83,3.83,3.64,3.67,15656837,3.67
2017-05-16,4.08,4.08,3.65,3.78,34067735,3.78
2017-05-15,3.97,4.13,3.88,4.11,16972240,4.11
2017-05-12,4.0,4.01,3.91,3.95,9057235,3.95
2017-05-11,4.13,4.14,3.97,4.01,11940861,4.01
2017-05-10,4.07,4.23,4.03,4.11,10285886,4.11
2017-05-09,4.17,4.19,4.05,4.07,17810820,4.07
2017-05-08,4.12,4.12,4.03,4.05,5282562,4.05
2017-05-05,4.03,4.14,3.99,4.11,13179805,4.11
2017-05-04,4.08,4.09,3.97,3.98,10252647,3.98
2017-05-03,4.14,4.15,4.03,4.06,12052692,4.06
2017-05-02,4.24,4.28,4.05,4.11,17730190,4.11
2017-05-01,4.0,4.26,3.94,4.24,18944096,4.24
2017-04-28,3.97,4.06,3.91,4.0,15561971,4.0
2017-04-27,4.0,4.0,3.9,3.95,8955819,3.95
2017-04-26,4.02,4.1,3.98,4.0,14006909,4.0
2017-04-25,3.88,4.07,3.83,3.97,27357220,3.97
2017-04-24,3.83,3.85,3.7,3.73,25968913,3.73
2017-04-21,3.97,3.98,3.76,3.8,28488967,3.8
2017-04-20,4.14,4.17,3.75,3.97,37967985,3.97
2017-04-19,4.49,4.55,4.05,4.08,31962854,4.08
2017-04-18,4.57,4.57,4.46,4.47,10776380,4.47
2017-04-17,4.55,4.61,4.51,4.57,8305957,4.57
2017-04-13,4.57,4.61,4.51,4.54,11399549,4.54
2017-04-12,4.74,4.77,4.53,4.57,11730327,4.57
2017-04-11,4.7,4.87,4.61,4.75,23404267,4.75
2017-04-10,4.63,4.65,4.6,4.61,8845035,4.61
2017-04-07,4.61,4.67,4.5,4.6,13747968,4.6
2017-04-06,4.36,4.69,4.3,4.59,33037257,4.59
2017-04-05,4.35,4.39,4.22,4.26,24985587,4.26
2017-04-04,4.19,4.25,4.15,4.21,15561149,4.21
2017-04-03,4.28,4.34,4.15,4.19,17979502,4.19
2017-03-31,4.34,4.39,4.22,4.25,37069092,4.25
2017-03-30,4.48,4.55,4.37,4.42,11528463,4.42
2017-03-29,4.5,4.59,4.47,4.48,11838718,4.48
2017-03-28,4.6,4.61,4.51,4.53,8026363,4.53
2017-03-27,4.55,4.65,4.51,4.6,8040843,4.6
2017-03-24,4.55,4.62,4.52,4.57,9517128,4.57
2017-03-23,4.5,4.61,4.46,4.56,13955556,4.56
2017-03-22,4.45,4.53,4.39,4.45,13711754,4.45
2017-03-21,4.7,4.71,4.47,4.48,36644364,4.48
2017-03-20,4.86,4.87,4.65,4.71,26138006,4.71
2017-03-17,5.06,5.08,4.78,4.85,32241429,4.85
2017-03-16,4.94,5.15,4.93,5.04,23634325,5.04
2017-03-15,4.99,5.0,4.71,4.92,34808851,4.92
2017-03-14,4.73,5.06,4.62,4.87,28803482,4.87
2017-03-13,4.85,4.86,4.72,4.73,6916418,4.73
2017-03-10,4.66,4.91,4.66,4.83,21027472,4.83
2017-03-09,4.79,4.8,4.61,4.66,26059502,4.66
2017-03-08,5.03,5.03,4.64,4.65,43920841,4.65
2017-03-07,5.25,5.28,4.99,5.01,32515041,5.01
2017-03-06,5.47,5.49,5.2,5.23,29936945,5.23
2017-03-03,5.78,5.82,5.28,5.45,36602424,5.45
2017-03-02,5.9,5.92,5.7,5.77,17578329,5.77
2017-03-01,6.0,6.02,5.9,5.92,11517193,5.92
2017-02-28,5.98,6.01,5.94,6.0,11215044,6.0
2017-02-27,5.97,6.02,5.94,6.0,8204430,6.0
2017-02-24,5.89,6.04,5.89,5.97,8388006,5.97
2017-02-23,5.96,5.99,5.89,5.91,11366278,5.91
2017-02-22,5.95,5.98,5.92,5.96,8197881,5.96
2017-02-21,5.95,6.15,5.88,5.95,17521318,5.95
2017-02-17,5.89,5.96,5.87,5.94,17876921,5.94
2017-02-16,5.88,5.9,5.8,5.87,16868280,5.87
2017-02-15,5.77,5.88,5.76,5.79,15729084,5.79
2017-02-14,5.71,5.74,5.64,5.72,9484209,5.72
2017-02-13,5.74,5.76,5.62,5.7,17050232,5.7
2017-02-10,5.55,5.7,5.53,5.61,19891332,5.61
2017-02-09,5.36,5.53,5.36,5.48,15519196,5.48
2017-02-08,5.26,5.46,5.21,5.33,14398274,5.33
2017-02-07,5.3,5.31,5.21,5.29,10417844,5.29
2017-02-06,5.3,5.33,5.2,5.29,14816006,5.29
2017-02-03,5.26,5.38,5.23,5.27,18999869,5.27
2017-02-02,5.36,5.36,5.2,5.25,27312986,5.25
2017-02-01,5.62,5.63,5.26,5.27,51140260,5.27
2017-01-31,5.71,5.76,5.6,5.62,32185871,5.62
2017-01-30,5.75,5.93,5.7,5.72,112706856,5.72
2017-01-27,6.85,7.02,6.26,6.93,86062253,6.93
2017-01-26,7.05,7.23,6.76,6.78,40935419,6.78
2017-01-25,7.02,7.18,6.87,6.9,31685330,6.9
2017-01-24,7.02,7.18,6.72,6.95,55335160,6.95
2017-01-23,7.45,7.45,6.88,6.9,46105664,6.9
2017-01-20,8.6,8.61,6.95,7.46,99168011,7.46
2017-01-19,8.65,8.65,8.58,8.6,13413971,8.6
2017-01-18,8.65,8.66,8.61,8.65,10024208,8.65
2017-01-17,8.67,8.7,8.57,8.67,22037864,8.67
2017-01-13,8.72,8.77,8.65,8.66,34303556,8.66
2017-01-12,8.64,8.72,8.57,8.7,25480268,8.7
2017-01-11,8.61,8.69,8.6,8.6,49799814,8.6
2017-01-10,8.42,8.48,8.3,8.32,20416146,8.32
2017-01-09,8.46,8.52,8.34,8.45,13780373,8.45
2017-01-06,8.2,8.46,8.15,8.4,31459116,8.4
2017-01-05,8.28,8.31,8.16,8.19,13537521,8.19
2017-01-04,8.19,8.31,8.15,8.27,15037617,8.27
2017-01-03,8.23,8.31,8.13,8.18,14619026,8.18
2016-12-30,8.28,8.28,8.2,8.24,8362691,8.24
2016-12-29,8.27,8.3,8.19,8.25,8485455,8.25
2016-12-28,8.34,8.34,8.11,8.25,18937132,8.25
2016-12-27,8.34,8.39,8.32,8.32,8427657,8.32
2016-12-23,8.4,8.44,8.35,8.39,9064716,8.39
2016-12-22,8.37,8.47,8.35,8.44,18789893,8.44
2016-12-21,8.61,8.61,8.47,8.47,23905329,8.47
2016-12-20,8.68,8.69,8.58,8.61,75000880,8.61
2016-12-19,8.26,8.27,7.98,8.17,17819141,8.17
2016-12-16,8.35,8.41,8.08,8.23,24556216,8.23
2016-12-15,8.33,8.41,8.31,8.38,4759412,8.38
2016-12-14,8.38,8.4,8.33,8.34,6111558,8.34
2016-12-13,8.34,8.42,8.28,8.37,10386878,8.37
2016-12-12,8.4,8.45,8.25,8.28,20226728,8.28
2016-12-09,8.2,8.5,8.18,8.44,36613328,8.44
2016-12-08,8.08,8.18,8.06,8.15,8720735,8.15
2016-12-07,8.13,8.14,8.05,8.08,9694374,8.08
2016-12-06,8.1,8.14,8.07,8.12,6285598,8.12
2016-12-05,8.06,8.11,8.03,8.06,12336813,8.06
2016-12-02,8.07,8.14,8.01,8.01,13716268,8.01
2016-12-01,7.98,8.0,7.92,7.98,8033055,7.98
2016-11-30,8.0,8.05,7.94,7.96,10750235,7.96
2016-11-29,7.78,8.08,7.77,8.05,22736830,8.05
2016-11-28,7.82,7.86,7.74,7.76,10761627,7.76
2016-11-25,7.84,7.88,7.8,7.85,3546006,7.85
2016-11-23,7.66,7.82,7.65,7.8,6804071,7.8
2016-11-22,7.73,7.76,7.63,7.65,7491296,7.65
2016-11-21,7.74,7.78,7.72,7.74,5441350,7.74
2016-11-18,7.68,7.74,7.66,7.67,8242450,7.67
2016-11-17,7.8,7.87,7.58,7.61,15706375,7.61
2016-11-16,7.46,7.89,7.4,7.82,37922423,7.82
2016-11-15,7.47,7.56,7.39,7.48,17193494,7.48
2016-11-14,7.23,7.4,7.23,7.26,7280169,7.26
2016-11-11,7.04,7.33,7.0,7.27,20797772,7.27
2016-11-10,6.7,7.04,6.67,7.04,15557748,7.04
2016-11-09,6.88,7.22,6.65,6.67,35090963,6.67
