Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,20.33,20.49,20.33,20.4,66190,20.4
2017-06-05,20.46,20.51,20.37,20.37,88885,20.37
2017-06-02,20.46,20.5,20.39,20.45,51341,20.45
2017-06-01,20.27,20.43,20.2,20.35,100003,20.35
2017-05-31,20.27,20.35,20.18,20.25,91901,20.25
2017-05-30,20.13,20.26,20.13,20.22,75856,20.22
2017-05-26,20.31,20.35,20.16,20.16,44757,20.16
2017-05-25,20.2,20.3,20.18,20.27,122620,20.27
2017-05-24,20.07,20.15,20.02,20.14,84533,20.14
2017-05-23,20.04,20.09,20.0,20.02,99103,20.02
2017-05-22,19.94,20.06,19.91,19.93,95720,19.93
2017-05-19,19.8,19.91,19.8,19.86,105120,19.86
2017-05-18,19.88,19.95,19.77,19.8,188198,19.8
2017-05-17,20.12,20.12,19.89,19.93,137911,19.93
2017-05-16,20.14,20.15,19.94,19.98,124380,19.98
2017-05-15,20.05,20.21,20.04,20.19,115692,20.19
2017-05-12,20.13,20.13,20.03,20.05,124056,20.05
2017-05-11,20.08,20.18,19.95,20.17,122145,20.17
2017-05-10,20.14,20.16,20.06,20.09,105334,20.09
2017-05-09,20.21,20.21,20.0,20.09,126377,20.09
2017-05-08,20.05,20.08,19.94,20.06,93973,20.06
2017-05-05,19.94,20.04,19.91,20.02,89434,20.02
2017-05-04,20.0,20.01,19.81,19.86,143058,19.86
2017-05-03,20.08,20.14,19.98,20.03,109461,20.03
2017-05-02,20.04,20.07,19.96,20.07,99281,20.07
2017-05-01,19.97,20.05,19.92,20.04,133764,20.04
2017-04-28,19.91,19.94,19.78,19.9,109472,19.9
2017-04-27,19.73,19.92,19.72,19.91,106156,19.91
2017-04-26,19.79,19.84,19.76,19.76,82882,19.76
2017-04-25,19.8,19.86,19.72,19.8,103918,19.8
2017-04-24,19.94,19.95,19.62,19.79,109306,19.79
2017-04-21,19.79,19.82,19.7,19.81,106479,19.81
2017-04-20,19.81,19.84,19.71,19.74,151440,19.74
2017-04-19,19.92,19.97,19.73,19.8,128893,19.8
2017-04-18,19.97,19.97,19.87,19.92,80954,19.92
2017-04-17,19.86,20.03,19.86,20.03,74666,20.03
2017-04-13,19.89,19.93,19.78,19.86,116655,19.86
2017-04-12,19.75,19.89,19.75,19.81,186685,19.81
2017-04-11,19.77,19.81,19.77,19.77,78253,19.77
2017-04-10,19.68,19.8,19.67,19.8,81556,19.8
2017-04-07,19.61,19.71,19.6,19.69,69853,19.69
2017-04-06,19.51,19.64,19.48,19.6,96677,19.6
2017-04-05,19.55,19.64,19.52,19.55,77875,19.55
2017-04-04,19.41,19.54,19.41,19.52,60162,19.52
2017-04-03,19.35,19.48,19.35,19.47,85158,19.47
2017-03-31,19.23,19.38,19.19,19.35,94403,19.35
2017-03-30,19.18,19.32,19.03,19.19,132728,19.19
2017-03-29,19.25,19.3,19.14,19.16,164017,19.16
2017-03-28,19.09,19.26,19.05,19.24,95412,19.24
2017-03-27,19.16,19.26,19.07,19.12,68896,19.12
2017-03-24,19.29,19.34,19.19,19.23,82391,19.23
2017-03-23,19.04,19.32,19.04,19.23,72293,19.23
2017-03-22,19.11,19.11,18.96,19.07,130650,19.07
2017-03-21,19.09,19.17,19.04,19.07,86075,19.07
2017-03-20,19.2,19.27,19.15,19.21,110028,19.21
2017-03-17,19.16,19.26,19.11,19.17,131138,19.17
2017-03-16,19.15,19.27,19.09,19.12,153588,19.12
2017-03-15,18.9,19.2,18.9,19.19,171188,19.19
2017-03-14,18.86,19.03,18.84,18.88,71970,18.88
2017-03-13,18.93,19.04,18.86,18.93,102269,18.93
2017-03-10,19.1,19.28,18.86,18.97,142428,18.97
2017-03-09,19.35,19.37,18.94,19.0,152215,19.0
2017-03-08,19.6,19.66,19.26,19.37,142384,19.37
2017-03-07,19.83,19.86,19.62,19.64,76070,19.64
2017-03-06,19.69,19.9,19.69,19.87,117664,19.87
2017-03-03,19.85,19.9,19.66,19.78,83379,19.78
2017-03-02,19.98,20.06,19.84,19.86,67827,19.86
2017-03-01,19.97,20.05,19.94,20.02,103910,20.02
2017-02-28,20.02,20.1,19.98,20.04,96932,20.04
2017-02-27,19.88,20.06,19.88,20.05,104496,20.05
2017-02-24,19.79,19.9,19.76,19.87,67350,19.87
2017-02-23,19.75,19.85,19.71,19.82,69197,19.82
2017-02-22,19.69,19.72,19.61,19.69,74154,19.69
2017-02-21,19.54,19.69,19.53,19.67,115882,19.67
2017-02-17,19.62,19.7,19.48,19.53,102963,19.53
2017-02-16,19.58,19.69,19.57,19.62,106628,19.62
2017-02-15,19.72,19.73,19.56,19.6,121977,19.6
2017-02-14,19.94,19.94,19.65,19.78,113541,19.78
2017-02-13,19.98,20.09,19.94,20.08,100881,20.08
2017-02-10,19.83,20.04,19.73,20.02,127731,20.02
2017-02-09,19.7,19.88,19.7,19.88,81035,19.88
2017-02-08,19.61,19.7,19.6,19.64,72406,19.64
2017-02-07,19.77,19.86,19.62,19.63,94778,19.63
2017-02-06,19.8,19.82,19.71,19.8,91808,19.8
2017-02-03,19.85,19.89,19.72,19.81,113333,19.81
2017-02-02,19.65,19.83,19.54,19.79,171568,19.79
2017-02-01,19.77,19.8,19.61,19.68,140120,19.68
2017-01-31,19.57,19.8,19.57,19.8,143303,19.8
2017-01-30,19.41,19.72,19.35,19.67,134198,19.67
2017-01-27,19.7,19.7,19.45,19.46,132804,19.46
2017-01-26,19.77,19.82,19.56,19.7,111765,19.7
2017-01-25,19.61,19.71,19.55,19.71,105379,19.71
2017-01-24,19.57,19.71,19.54,19.6,143667,19.6
2017-01-23,19.47,19.62,19.47,19.54,156251,19.54
2017-01-20,19.45,19.49,19.37,19.47,102987,19.47
2017-01-19,19.48,19.48,19.3,19.41,146991,19.41
2017-01-18,19.49,19.55,19.46,19.49,221136,19.49
2017-01-17,19.35,19.51,19.3,19.48,115273,19.48
2017-01-13,19.41,19.51,19.4,19.51,81278,19.51
2017-01-12,19.47,19.51,19.29,19.45,137721,19.45
2017-01-11,19.4,19.52,19.36,19.52,95922,19.52
2017-01-10,19.57,19.57,19.45,19.45,57565,19.45
2017-01-09,19.58,19.61,19.47,19.59,68016,19.59
2017-01-06,19.45,19.67,19.45,19.57,157650,19.57
2017-01-05,19.55,19.64,19.42,19.5,85253,19.5
2017-01-04,19.22,19.6,19.22,19.57,113766,19.57
2017-01-03,19.13,19.24,19.13,19.23,115528,19.23
2016-12-30,18.96,19.15,18.94,19.12,122484,19.12
2016-12-29,18.72,18.89,18.72,18.86,104298,18.86
2016-12-28,18.99,18.99,18.72,18.75,112857,18.75
2016-12-27,19.0,19.01,18.92,18.93,105347,18.93
2016-12-23,19.1,19.1,18.96,18.99,82592,18.99
2016-12-22,18.83,19.06,18.77,19.05,111873,19.05
2016-12-21,18.98,18.99,18.82,18.82,110338,18.82
2016-12-20,18.85,18.97,18.79,18.97,150541,18.97
2016-12-19,18.74,18.85,18.71,18.78,80374,18.78
2016-12-16,18.68,18.75,18.57,18.69,159698,18.69
2016-12-15,18.58,18.68,18.52,18.62,169052,18.62
2016-12-14,18.78,18.78,18.56,18.65,195421,18.65
2016-12-13,18.82,18.84,18.62,18.76,178602,18.76
2016-12-12,18.64,18.73,18.56,18.72,96106,18.72
2016-12-09,18.63,18.75,18.57,18.64,102384,18.64
2016-12-08,18.73,18.89,18.6,18.77,158068,18.77
2016-12-07,18.52,18.87,18.52,18.81,179125,18.81
2016-12-06,18.49,18.6,18.44,18.57,124842,18.57
2016-12-05,18.5,18.59,18.41,18.52,129437,18.52
2016-12-02,18.33,18.53,18.33,18.42,90344,18.42
2016-12-01,18.47,18.48,18.2,18.3,160250,18.3
2016-11-30,18.58,18.63,18.45,18.52,140892,18.52
2016-11-29,18.57,18.72,18.57,18.65,138270,18.65
2016-11-28,18.43,18.58,18.39,18.57,140127,18.57
2016-11-25,18.31,18.55,18.29,18.4,56393,18.4
2016-11-23,18.22,18.38,18.22,18.3,132679,18.3
2016-11-22,18.05,18.4,18.05,18.4,155286,18.4
2016-11-21,18.07,18.25,18.01,18.04,107016,18.04
2016-11-18,18.19,18.27,18.01,18.01,130259,18.01
2016-11-17,18.13,18.24,18.12,18.21,106046,18.21
2016-11-16,18.3,18.42,18.02,18.12,241403,18.12
2016-11-15,18.44,18.53,18.3,18.39,277494,18.39
2016-11-14,18.24,18.45,18.02,18.37,369772,18.37
2016-11-11,18.34,18.46,18.24,18.26,251075,18.26
2016-11-10,18.46,18.48,18.11,18.38,210074,18.38
2016-11-09,18.25,18.59,18.11,18.48,328413,18.48
2016-11-08,18.46,18.6,18.38,18.58,146530,18.58
2016-11-07,18.37,18.6,18.27,18.52,170572,18.52
2016-11-04,18.06,18.17,18.0,18.15,362343,18.15
2016-11-03,18.22,18.32,17.91,18.02,219319,18.02
2016-11-02,18.44,18.6,18.27,18.27,211477,18.27
2016-11-01,18.8,18.8,18.48,18.48,154447,18.48
2016-10-31,18.75,18.84,18.73,18.77,233156,18.77
2016-10-28,18.68,18.9,18.64,18.75,248994,18.75
2016-10-27,19.27,19.27,18.71,18.74,341159,18.74
2016-10-26,19.37,19.37,19.15,19.25,153204,19.25
2016-10-25,19.43,19.44,19.33,19.39,104338,19.39
2016-10-24,19.57,19.68,19.41,19.42,83184,19.42
2016-10-21,19.47,19.56,19.44,19.56,72344,19.56
2016-10-20,19.54,19.57,19.43,19.53,54781,19.53
2016-10-19,19.39,19.59,19.33,19.57,113292,19.57
2016-10-18,19.25,19.43,19.23,19.41,92856,19.41
2016-10-17,19.4,19.6,19.21,19.29,131637,19.29
2016-10-14,19.45,19.61,19.38,19.41,76813,19.41
2016-10-13,19.35,19.55,19.27,19.49,192303,19.49
2016-10-12,19.29,19.46,19.26,19.4,138228,19.4
2016-10-11,19.45,19.45,19.28,19.35,116578,19.35
