Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,19.57,19.89,19.34,19.74,951816,19.74
2017-06-05,19.75,19.92,19.57,19.64,1375369,19.64
2017-06-02,20.04,20.25,19.78,19.83,1147344,19.83
2017-06-01,19.75,19.98,19.61,19.92,1000631,19.92
2017-05-31,19.77,19.88,19.51,19.76,918567,19.76
2017-05-30,20.03,20.11,19.74,19.77,607609,19.77
2017-05-26,20.11,20.16,19.85,20.06,807252,20.06
2017-05-25,20.05,21.2,19.99,20.13,613526,20.13
2017-05-24,19.87,20.18,19.87,20.04,856720,20.04
2017-05-23,19.76,19.88,19.68,19.85,1122911,19.85
2017-05-22,19.66,19.89,19.61,19.69,1627517,19.69
2017-05-19,19.48,19.86,19.44,19.65,1596334,19.65
2017-05-18,19.35,19.55,19.2,19.53,912831,19.53
2017-05-17,19.22,19.48,19.13,19.4,1816483,19.4
2017-05-16,19.85,19.85,19.14,19.26,1363516,19.26
2017-05-15,19.94,20.26,19.83,19.87,739457,19.87
2017-05-12,20.0,20.17,19.87,19.94,1787466,19.94
2017-05-11,20.37,20.44,19.88,19.98,2137148,19.98
2017-05-10,20.3,20.63,20.22,20.44,655048,20.44
2017-05-09,20.34,20.34,20.13,20.31,771585,20.31
2017-05-08,20.88,20.95,20.3,20.33,633887,20.33
2017-05-05,20.78,20.9,20.68,20.88,783901,20.88
2017-05-04,20.7,20.78,20.31,20.74,1086844,20.74
2017-05-03,20.92,20.98,20.63,20.8,990127,20.8
2017-05-02,20.94,21.0,20.74,20.92,881311,20.92
2017-05-01,20.6,20.98,20.46,20.9,805978,20.9
2017-04-28,21.02,21.02,20.58,20.6,740162,20.6
2017-04-27,21.09,21.3,20.92,21.01,778236,21.01
2017-04-26,21.45,21.46,21.04,21.1,1112047,21.1
2017-04-25,21.3,21.58,21.26,21.52,868758,21.52
2017-04-24,21.93,21.94,21.14,21.28,785364,21.28
2017-04-21,21.96,22.0,21.78,21.8,573452,21.8
2017-04-20,21.93,22.01,21.75,22.0,679225,22.0
2017-04-19,21.86,22.06,21.82,21.87,683354,21.87
2017-04-18,21.71,21.91,21.46,21.87,781200,21.87
2017-04-17,21.57,21.78,21.53,21.77,389288,21.77
2017-04-13,21.5,21.84,21.45,21.51,490758,21.51
2017-04-12,21.52,21.63,21.41,21.52,532853,21.52
2017-04-11,21.19,21.61,21.18,21.57,912653,21.57
2017-04-10,20.87,21.21,20.74,21.18,586754,21.18
2017-04-07,20.92,21.05,20.82,20.85,516321,20.85
2017-04-06,20.85,21.03,20.78,20.94,641602,20.94
2017-04-05,21.22,21.24,20.81,20.85,930050,20.85
2017-04-04,21.08,21.26,21.03,21.18,814720,21.18
2017-04-03,20.99,21.15,20.9,21.12,891885,21.12
2017-03-31,20.86,21.06,20.86,21.03,999373,21.03
2017-03-30,20.8,20.94,20.66,20.85,491724,20.85
2017-03-29,20.79,20.9,20.64,20.79,643789,20.79
2017-03-28,21.14,21.14,20.53,20.82,1081121,20.82
2017-03-27,21.21,21.22,20.7,20.78,666470,20.78
2017-03-24,21.16,21.32,21.09,21.12,725232,21.12
2017-03-23,20.77,21.32,20.63,21.12,875215,21.12
2017-03-22,21.02,21.32,20.46,20.81,1143021,20.81
2017-03-21,21.22,21.3,20.94,21.02,1189956,21.02
2017-03-20,21.25,21.33,21.11,21.15,624465,21.15
2017-03-17,20.91,21.27,20.9,21.25,1869479,21.25
2017-03-16,20.95,21.13,20.93,21.0,697300,21.0
2017-03-15,20.57,21.12,20.57,21.01,1179450,21.01
2017-03-14,20.17,20.53,20.13,20.51,786355,20.51
2017-03-13,20.34,20.61,20.31,20.45,890486,20.45
2017-03-10,20.4,20.64,20.17,20.4,1192547,20.4
2017-03-09,20.75,20.82,20.3,20.3,965439,20.3
2017-03-08,21.01,21.06,20.73,20.75,1116563,20.75
2017-03-07,21.25,21.29,21.03,21.16,893748,21.16
2017-03-06,21.29,21.4,21.19,21.3,664031,21.3
2017-03-03,21.62,21.7,21.14,21.38,796263,21.38
2017-03-02,21.73,21.73,21.42,21.65,1229385,21.65
2017-03-01,21.95,22.0,21.73,21.76,1081533,21.76
