Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,33.44,33.47,33.35,33.44,1593255,33.44
2017-06-05,33.35,33.38,33.31,33.34,882782,33.34
2017-06-02,33.43,33.47,33.29,33.32,2219109,33.32
2017-06-01,33.63,33.66,33.44,33.44,1742902,33.44
2017-05-31,33.64,33.81,33.63,33.7,2087953,33.7
2017-05-30,33.71,33.74,33.65,33.67,1439389,33.67
2017-05-26,33.68,33.69,33.63,33.66,4173997,33.66
2017-05-25,33.73,33.76,33.6,33.65,2308751,33.65
2017-05-24,33.85,33.9,33.8,33.81,1847648,33.81
2017-05-23,33.9,33.96,33.86,33.9,2034043,33.9
2017-05-22,34.06,34.06,33.93,33.96,1862851,33.96
2017-05-19,34.28,34.29,34.02,34.14,2682155,34.14
2017-05-18,34.52,34.55,34.22,34.37,3781689,34.37
2017-05-17,34.17,34.51,34.09,34.49,4744833,34.49
2017-05-16,33.82,33.95,33.81,33.89,1450605,33.89
2017-05-15,33.98,33.98,33.84,33.87,1337875,33.87
2017-05-12,34.04,34.09,34.01,34.04,1368772,34.04
2017-05-11,34.0,34.16,33.97,33.99,2676865,33.99
2017-05-10,33.99,34.02,33.91,33.92,1255999,33.92
2017-05-09,33.9,34.03,33.87,33.98,1304253,33.98
2017-05-08,33.93,34.01,33.91,33.93,1966531,33.93
2017-05-05,34.01,34.08,33.94,33.94,1691267,33.94
2017-05-04,34.06,34.21,34.04,34.07,3079462,34.07
2017-05-03,34.14,34.22,34.07,34.11,2043859,34.11
2017-05-02,34.06,34.13,34.04,34.06,2927384,34.06
2017-05-01,34.09,34.15,34.01,34.08,1982756,34.08
2017-04-28,34.04,34.19,34.04,34.17,1819419,34.17
2017-04-27,34.06,34.18,34.04,34.09,1919493,34.09
2017-04-26,34.1,34.12,33.95,34.1,3152167,34.1
2017-04-25,34.18,34.2,34.03,34.09,3699347,34.09
2017-04-24,34.29,34.38,34.26,34.31,2439618,34.31
2017-04-21,34.58,34.74,34.57,34.67,1664700,34.67
