Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,93.22,93.69,90.02,90.31,1984852,90.31
2017-06-05,92.86,93.89,91.21,92.14,2028336,92.14
2017-06-02,98.45,99.2,95.65,96.5,1467595,96.5
2017-06-01,98.17,99.26,95.69,97.61,2446582,97.61
2017-05-31,101.55,101.74,97.47,97.97,2549222,97.97
2017-05-30,103.9,104.35,100.51,101.34,1203364,101.34
2017-05-26,101.24,104.8,100.62,104.25,1640888,104.25
2017-05-25,100.57,101.43,99.08,101.0,1064158,101.0
2017-05-24,100.74,101.69,99.02,100.28,1338144,100.28
2017-05-23,105.56,105.56,99.77,100.19,2146895,100.19
2017-05-22,103.49,105.99,102.55,105.14,1905346,105.14
2017-05-19,103.35,103.4,100.55,102.11,1597669,102.11
2017-05-18,96.25,102.39,95.08,101.51,2296450,101.51
2017-05-17,98.07,99.29,95.4,97.23,3285135,97.23
2017-05-16,88.89,100.98,88.78,99.04,10652751,99.04
2017-05-15,84.0,84.19,82.91,84.04,1479866,84.04
2017-05-12,83.49,83.96,82.53,83.5,722496,83.5
2017-05-11,83.73,83.96,81.83,83.6,803169,83.6
2017-05-10,81.49,84.1,80.73,83.41,939250,83.41
2017-05-09,80.58,82.15,80.0,81.08,989745,81.08
2017-05-08,77.79,80.4,77.7,79.87,1390679,79.87
2017-05-05,77.31,77.95,76.24,77.77,510733,77.77
2017-05-04,77.3,77.5,75.91,76.89,492933,76.89
2017-05-03,77.83,77.83,76.41,77.04,529294,77.04
2017-05-02,77.59,78.7,76.9,78.28,950522,78.28
2017-05-01,76.63,77.49,76.63,77.19,411658,77.19
2017-04-28,76.91,77.16,75.86,76.81,1026256,76.81
2017-04-27,75.5,78.19,75.04,76.86,1400426,76.86
2017-04-26,74.19,75.56,73.6,75.11,755705,75.11
2017-04-25,73.6,74.7,73.43,73.89,814116,73.89
2017-04-24,72.85,73.57,72.26,73.25,849183,73.25
2017-04-21,70.02,72.49,70.02,72.11,1036004,72.11
2017-04-20,69.46,70.92,69.28,70.31,1197084,70.31
2017-04-19,69.5,69.69,68.62,68.99,805632,68.99
2017-04-18,69.66,70.06,68.33,69.07,1330244,69.07
2017-04-17,69.24,69.75,69.24,69.64,273665,69.64
2017-04-13,69.59,69.85,69.0,69.05,442009,69.05
2017-04-12,69.25,70.1,69.24,69.73,693751,69.73
2017-04-11,70.72,70.72,68.33,69.4,1904262,69.4
2017-04-10,70.8,71.5,70.58,71.14,1036259,71.14
2017-04-07,70.62,71.1,69.88,70.6,735977,70.6
2017-04-06,70.61,71.11,69.9,70.97,760958,70.97
2017-04-05,71.51,72.04,70.56,70.77,917473,70.77
2017-04-04,72.65,72.65,71.4,71.55,312268,71.55
2017-04-03,72.55,73.1,72.13,72.89,523118,72.89
2017-03-31,72.26,73.28,71.75,72.12,384083,72.12
2017-03-30,73.7,74.1,72.36,72.72,949414,72.72
2017-03-29,72.16,73.84,71.82,73.56,839457,73.56
2017-03-28,72.52,73.52,71.82,72.15,528303,72.15
2017-03-27,72.21,73.08,71.65,72.91,624154,72.91
2017-03-24,71.74,74.18,71.38,73.07,1070211,73.07
2017-03-23,70.64,71.85,70.4,71.5,484207,71.5
2017-03-22,70.37,70.66,69.7,70.59,320803,70.59
2017-03-21,72.46,73.15,69.66,69.88,786361,69.88
2017-03-20,71.79,72.25,71.1,71.93,778330,71.93
2017-03-17,71.62,72.75,71.2,71.86,526356,71.86
2017-03-16,71.2,72.3,70.5,71.87,699800,71.87
2017-03-15,70.66,71.1,69.56,70.56,576463,70.56
2017-03-14,70.9,71.3,70.07,70.58,622046,70.58
2017-03-13,69.59,71.0,69.59,70.9,514943,70.9
2017-03-10,70.09,70.09,68.7,69.26,409266,69.26
2017-03-09,71.11,71.26,68.79,69.63,785572,69.63
2017-03-08,70.32,72.06,70.0,70.71,599717,70.71
2017-03-07,70.13,70.47,69.5,70.08,819843,70.08
2017-03-06,69.1,69.9,68.13,69.84,703004,69.84
2017-03-03,69.53,70.07,68.81,69.23,568162,69.23
2017-03-02,70.04,70.41,69.31,69.63,916031,69.63
2017-03-01,70.85,70.87,69.23,70.08,1068730,70.08
2017-02-28,70.6,71.31,69.46,69.53,798143,69.53
2017-02-27,72.09,72.42,70.68,70.84,964534,70.84
2017-02-24,70.7,73.19,70.1,71.92,2154956,71.92
2017-02-23,79.9,79.9,68.67,68.92,3685886,68.92
2017-02-22,79.21,79.6,77.31,79.56,1049602,79.56
2017-02-21,75.1,79.72,75.1,78.99,1173229,78.99
2017-02-17,75.57,76.07,72.74,75.62,953604,75.62
2017-02-16,76.01,77.53,75.6,76.38,826299,76.38
2017-02-15,76.33,76.82,76.0,76.29,631806,76.29
