Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,52.0,52.0,50.3,51.15,50074,51.15
2017-06-05,50.91,52.21,50.91,51.81,103810,51.81
2017-06-02,49.77,51.93,49.69,51.01,94462,51.01
2017-06-01,48.3,49.6,48.21,49.58,76457,49.58
2017-05-31,47.84,48.24,47.36,48.04,40192,48.04
2017-05-30,47.78,48.0,47.25,47.62,44816,47.62
2017-05-26,47.76,48.33,47.52,47.88,28008,47.88
2017-05-25,47.87,47.92,47.27,47.84,42300,47.84
2017-05-24,48.19,48.69,47.54,47.69,48002,47.69
2017-05-23,47.98,48.16,47.52,47.97,36494,47.97
2017-05-22,47.34,48.2,47.13,48.04,61436,48.04
2017-05-19,47.45,47.96,46.89,47.22,44212,47.22
2017-05-18,48.11,48.22,47.18,47.47,99807,47.47
2017-05-17,48.56,48.75,47.57,48.23,59752,48.23
2017-05-16,48.77,49.37,48.59,49.14,82825,49.14
2017-05-15,48.54,49.16,48.35,48.8,67460,48.8
2017-05-12,47.43,48.66,47.43,48.34,71717,48.34
2017-05-11,46.95,47.53,46.12,47.4,61974,47.4
2017-05-10,45.81,47.12,45.39,47.04,103263,47.04
2017-05-09,47.35,47.7,45.61,45.74,76246,45.74
2017-05-08,48.13,48.46,47.08,47.3,31705,47.3
2017-05-05,48.31,48.44,47.68,48.08,45799,48.08
2017-05-04,48.15,48.4,47.41,48.2,120598,48.2
2017-05-03,48.37,48.72,48.05,48.35,59307,48.35
2017-05-02,49.04,49.49,48.3,48.43,37413,48.43
2017-05-01,49.23,49.98,48.63,48.94,72981,48.94
2017-04-28,49.68,50.0,47.89,48.84,87146,48.84
2017-04-27,50.99,52.84,49.48,49.58,80162,49.58
2017-04-26,51.53,52.63,50.93,51.99,82280,51.99
2017-04-25,51.29,52.05,51.27,51.75,63050,51.75
2017-04-24,51.66,51.82,51.02,51.14,45422,51.14
2017-04-21,49.64,51.29,49.64,51.15,75407,51.15
2017-04-20,49.25,49.72,48.66,49.64,52646,49.64
