Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.75,12.78,12.72,12.75,123372,12.75
2017-06-05,12.76,12.79,12.76,12.77,79375,12.77
2017-06-02,12.76,12.8,12.76,12.78,89580,12.78
2017-06-01,12.72,12.8,12.71,12.76,745829,12.76
2017-05-31,12.83,12.87,12.77,12.79,80387,12.79
2017-05-30,12.84,12.86,12.83,12.83,87093,12.83
2017-05-26,12.85,12.87,12.85,12.86,135322,12.86
2017-05-25,12.9,12.9,12.85,12.85,128480,12.85
2017-05-24,12.86,12.87,12.84,12.86,83717,12.86
2017-05-23,12.85,12.87,12.83,12.86,133431,12.86
2017-05-22,12.8,12.86,12.8,12.85,68050,12.85
2017-05-19,12.8,12.84,12.79,12.81,58468,12.81
2017-05-18,12.79,12.81,12.76,12.79,72607,12.79
2017-05-17,12.84,12.84,12.76,12.8,205155,12.8
2017-05-16,12.86,12.86,12.82,12.86,141794,12.86
2017-05-15,12.82,12.86,12.82,12.83,82701,12.83
2017-05-12,12.83,12.87,12.82,12.82,96735,12.82
2017-05-11,12.85,12.87,12.83,12.83,131706,12.83
2017-05-10,12.87,12.9,12.84,12.86,66037,12.86
2017-05-09,12.88,12.89,12.84,12.84,127343,12.84
2017-05-08,12.88,12.92,12.85,12.89,173322,12.89
2017-05-05,12.9,12.93,12.84,12.9,72572,12.9
2017-05-04,12.92,12.96,12.85,12.85,220199,12.85
2017-05-03,12.95,12.98,12.91,12.93,88168,12.93
2017-05-02,12.94,12.98,12.92,12.93,129302,12.93
2017-05-01,12.98,13.0,12.94,12.95,123514,12.95
2017-04-28,13.02,13.05,13.01,13.01,72549,13.01
2017-04-27,13.04,13.04,13.01,13.02,66024,13.02
2017-04-26,12.99,13.03,12.98,13.03,92943,13.03
2017-04-25,13.01,13.01,12.99,13.0,71282,13.0
2017-04-24,12.97,13.0,12.96,12.99,70689,12.99
2017-04-21,12.97,12.98,12.94,12.96,98452,12.96
2017-04-20,13.01,13.01,12.96,12.98,94275,12.98
