Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,5.25,5.36,5.13,5.3,1078665,5.3
2017-06-05,5.32,5.34,5.1,5.3,1473738,5.3
2017-06-02,5.68,5.71,5.28,5.33,1816640,5.33
2017-06-01,5.24,5.76,5.2,5.65,2157853,5.65
2017-05-31,5.11,5.29,5.06,5.19,3702513,5.19
2017-05-30,5.72,5.73,5.02,5.07,4382109,5.07
2017-05-26,5.65,5.91,5.64,5.73,1437122,5.73
2017-05-25,5.8,5.81,5.6,5.63,986992,5.63
2017-05-24,5.99,6.04,5.77,5.8,883899,5.8
2017-05-23,5.84,6.12,5.8,6.04,1216387,6.04
2017-05-22,5.92,5.96,5.58,5.8,1554991,5.8
2017-05-19,5.72,6.0,5.7,5.92,1535182,5.92
2017-05-18,5.91,5.91,5.67,5.69,1278587,5.69
2017-05-17,5.98,6.02,5.83,5.89,1265870,5.89
2017-05-16,6.15,6.18,5.96,6.0,1320915,6.0
2017-05-15,6.17,6.3,6.11,6.14,1113995,6.14
2017-05-12,6.35,6.4,6.14,6.15,1260060,6.15
2017-05-11,6.61,6.65,6.38,6.38,1008196,6.38
2017-05-10,6.54,6.68,6.52,6.64,1065795,6.64
2017-05-09,6.6,6.61,6.5,6.54,588826,6.54
2017-05-08,6.62,6.66,6.5,6.61,849977,6.61
2017-05-05,6.71,6.8,6.65,6.67,569978,6.67
2017-05-04,6.82,6.83,6.67,6.69,816354,6.69
2017-05-03,7.03,7.04,6.81,6.84,810559,6.84
2017-05-02,7.0,7.07,6.86,7.03,1066361,7.03
2017-05-01,6.81,6.93,6.61,6.8,1415951,6.8
2017-04-28,7.3,7.32,6.95,7.04,1194767,7.04
2017-04-27,6.93,7.5,6.78,7.25,3025470,7.25
2017-04-26,6.26,6.57,6.26,6.56,866495,6.56
2017-04-25,6.23,6.36,6.2,6.27,658565,6.27
2017-04-24,6.37,6.37,6.12,6.21,771410,6.21
2017-04-21,6.29,6.39,6.12,6.28,719492,6.28
2017-04-20,6.32,6.34,6.17,6.27,753934,6.27
2017-04-19,6.58,6.59,6.27,6.28,920623,6.28
2017-04-18,6.56,6.66,6.48,6.58,842630,6.58
2017-04-17,6.83,6.92,6.6,6.75,882418,6.75
2017-04-13,6.77,6.93,6.7,6.8,745862,6.8
2017-04-12,6.95,7.05,6.75,6.77,814152,6.77
2017-04-11,7.0,7.03,6.69,6.99,1216262,6.99
2017-04-10,6.46,7.08,6.4,7.04,1652416,7.04
2017-04-07,6.65,6.67,6.43,6.46,915751,6.46
2017-04-06,6.5,6.71,6.42,6.65,937608,6.65
2017-04-05,6.59,6.69,6.49,6.5,649753,6.5
2017-04-04,6.6,6.64,6.47,6.56,645007,6.56
2017-04-03,7.01,7.01,6.6,6.63,654677,6.63
2017-03-31,6.73,6.98,6.71,6.93,1096815,6.93
2017-03-30,6.72,6.78,6.53,6.7,702405,6.7
2017-03-29,6.48,6.75,6.33,6.69,1149043,6.69
2017-03-28,6.14,6.57,6.14,6.47,1070869,6.47
2017-03-27,6.18,6.23,6.05,6.12,1195971,6.12
2017-03-24,6.15,6.28,6.13,6.25,1170074,6.25
2017-03-23,6.2,6.27,6.04,6.13,1402644,6.13
2017-03-22,6.54,6.57,6.11,6.18,1702694,6.18
2017-03-21,6.67,6.83,6.52,6.54,1658560,6.54
2017-03-20,6.96,7.0,6.56,6.66,1688620,6.66
