Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,27.36,27.86,27.21,27.65,624577,27.65
2017-06-05,27.6,27.89,27.43,27.6,367470,27.6
2017-06-02,27.83,28.09,27.3,27.77,540874,27.77
2017-06-01,27.0,27.88,26.92,27.83,756721,27.83
2017-05-31,27.07,27.07,26.22,26.9,941889,26.9
2017-05-30,28.05,28.24,27.05,27.07,832771,27.07
2017-05-26,28.27,28.5,27.86,28.14,540666,28.14
2017-05-25,28.35,28.6,27.96,28.35,773390,28.35
2017-05-24,28.24,28.68,27.97,28.05,836689,28.05
2017-05-23,28.8,29.0,27.84,28.24,883957,28.24
2017-05-22,28.06,28.73,27.85,28.66,1076413,28.66
2017-05-19,28.15,28.46,27.68,27.98,1157074,27.98
2017-05-18,27.22,28.44,27.05,28.01,1489925,28.01
2017-05-17,29.58,30.55,27.28,27.8,3597284,27.8
2017-05-16,28.0,30.88,26.83,30.66,4481878,30.66
2017-05-15,28.56,30.75,28.55,29.93,2909512,29.93
2017-05-12,29.55,30.26,28.92,29.96,1274339,29.96
2017-05-11,29.0,29.94,28.64,29.66,1459289,29.66
2017-05-10,27.87,29.38,27.87,29.15,1493973,29.15
2017-05-09,27.22,28.0,26.61,27.86,1173827,27.86
2017-05-08,26.51,27.25,26.33,27.22,807274,27.22
2017-05-05,25.79,26.55,25.64,26.51,774359,26.51
2017-05-04,26.15,26.44,25.11,25.64,1210062,25.64
2017-05-03,25.85,26.51,25.67,26.13,1026721,26.13
2017-05-02,25.53,25.89,25.31,25.85,744417,25.85
2017-05-01,24.96,25.64,24.77,25.52,604088,25.52
2017-04-28,24.92,24.92,24.66,24.76,540138,24.76
2017-04-27,25.23,25.29,24.69,24.83,733104,24.83
2017-04-26,24.37,25.38,24.23,25.3,1014123,25.3
2017-04-25,24.07,24.47,24.07,24.37,694637,24.37
2017-04-24,24.08,24.58,24.0,24.04,1071575,24.04
2017-04-21,24.28,24.3,24.0,24.03,718339,24.03
2017-04-20,24.0,24.8,23.92,24.31,1228592,24.31
2017-04-19,23.66,24.15,23.18,23.92,1340897,23.92
2017-04-18,22.1,23.81,22.05,23.77,3140046,23.77
2017-04-17,21.02,21.4,20.89,21.3,435232,21.3
2017-04-13,20.98,21.29,20.85,21.0,398920,21.0
2017-04-12,21.1,21.37,20.81,21.0,489622,21.0
2017-04-11,20.59,21.1,20.56,21.1,387477,21.1
2017-04-10,20.45,21.18,20.28,20.77,703567,20.77
2017-04-07,20.26,20.62,20.2,20.46,371375,20.46
2017-04-06,20.08,20.43,19.91,20.41,431543,20.41
2017-04-05,20.04,20.4,19.87,19.96,455024,19.96
2017-04-04,20.14,20.34,19.84,19.91,424574,19.91
2017-04-03,20.64,20.69,20.12,20.25,456631,20.25
2017-03-31,20.3,20.73,20.19,20.49,666301,20.49
2017-03-30,20.12,20.34,20.05,20.29,553020,20.29
2017-03-29,19.6,20.29,19.33,20.11,493246,20.11
2017-03-28,19.34,19.78,19.25,19.66,347152,19.66
2017-03-27,18.98,19.53,18.75,19.44,433741,19.44
2017-03-24,19.24,19.5,19.07,19.19,336468,19.19
2017-03-23,18.8,19.16,18.7,19.15,568167,19.15
2017-03-22,19.5,19.59,18.79,18.79,736592,18.79
2017-03-21,20.36,20.77,19.5,19.58,862534,19.58
2017-03-20,20.12,20.45,19.97,20.33,677547,20.33
2017-03-17,20.16,20.44,20.02,20.26,685199,20.26
2017-03-16,19.83,20.21,19.74,20.16,476785,20.16
2017-03-15,19.38,19.79,19.2,19.72,605171,19.72
2017-03-14,19.52,19.52,18.94,19.35,886504,19.35
2017-03-13,18.77,19.66,18.74,19.65,1122643,19.65
2017-03-10,18.25,18.76,18.04,18.71,1064308,18.71
2017-03-09,18.5,19.44,18.06,18.17,2524143,18.17
2017-03-08,19.59,20.25,19.44,20.06,1218837,20.06
2017-03-07,19.5,19.64,19.3,19.49,573788,19.49
2017-03-06,19.3,19.89,19.21,19.55,754787,19.55
2017-03-03,19.45,19.93,19.14,19.35,540376,19.35
2017-03-02,19.89,20.16,19.5,19.52,646934,19.52
2017-03-01,19.93,20.26,19.8,20.15,580799,20.15
2017-02-28,20.89,20.89,19.7,19.77,1172827,19.77
2017-02-27,20.44,21.02,20.36,20.94,458545,20.94
2017-02-24,20.63,20.7,20.12,20.43,599067,20.43
2017-02-23,20.86,20.91,20.53,20.71,599251,20.71
2017-02-22,21.02,21.16,20.69,20.85,463038,20.85
2017-02-21,21.24,21.48,20.62,21.14,856830,21.14
2017-02-17,20.83,21.21,20.68,21.2,531380,21.2
2017-02-16,21.5,21.75,20.8,20.91,768136,20.91
2017-02-15,22.0,22.11,21.27,21.57,871362,21.57
2017-02-14,21.91,22.13,21.74,21.97,720148,21.97
2017-02-13,21.82,21.94,21.1,21.87,953385,21.87
2017-02-10,21.34,21.67,21.01,21.25,1113441,21.25
2017-02-09,19.75,20.93,19.75,20.85,1030904,20.85
2017-02-08,19.6,19.82,19.36,19.71,533202,19.71
2017-02-07,19.8,19.97,19.36,19.64,542201,19.64
2017-02-06,19.81,20.13,19.59,19.6,488813,19.6
2017-02-03,19.73,20.09,19.73,19.92,588718,19.92
2017-02-02,19.72,19.88,19.56,19.66,416836,19.66
2017-02-01,19.85,20.17,19.42,19.67,559777,19.67
2017-01-31,19.42,19.75,19.28,19.72,437728,19.72
2017-01-30,19.62,19.69,19.19,19.48,564942,19.48
2017-01-27,19.96,20.09,19.51,19.65,387836,19.65
2017-01-26,20.16,20.24,19.81,19.91,456561,19.91
2017-01-25,19.71,20.2,19.71,20.0,700287,20.0
2017-01-24,19.57,20.09,19.54,19.87,696172,19.87
2017-01-23,19.81,19.91,19.16,19.61,622352,19.61
2017-01-20,19.9,20.24,19.71,19.76,721827,19.76
2017-01-19,19.42,20.3,19.16,19.88,952040,19.88
2017-01-18,19.44,19.69,19.27,19.45,489000,19.45
2017-01-17,19.35,19.52,19.11,19.44,620249,19.44
2017-01-13,18.9,19.49,18.9,19.37,593356,19.37
2017-01-12,18.79,18.98,18.24,18.84,419296,18.84
2017-01-11,18.88,19.12,18.63,18.87,506325,18.87
2017-01-10,19.59,19.93,18.69,18.78,1242041,18.78
2017-01-09,18.01,19.05,17.89,18.75,1121163,18.75
2017-01-06,17.94,18.17,17.72,17.98,446386,17.98
2017-01-05,18.18,18.49,17.63,17.77,560690,17.77
2017-01-04,18.0,18.57,18.0,18.21,1007759,18.21
2017-01-03,16.88,17.93,16.88,17.89,1901558,17.89
2016-12-30,16.63,16.81,16.37,16.54,876131,16.54
2016-12-29,16.95,17.09,16.45,16.67,969190,16.67
2016-12-28,17.77,17.77,16.95,17.01,980954,17.01
2016-12-27,17.67,18.06,17.61,17.77,608594,17.77
2016-12-23,17.83,18.16,17.78,17.89,498508,17.89
2016-12-22,18.18,18.21,17.73,17.83,546594,17.83
2016-12-21,18.57,18.78,18.1,18.25,531080,18.25
2016-12-20,19.02,19.13,18.28,18.68,722258,18.68
2016-12-19,18.95,19.25,18.83,19.06,529574,19.06
2016-12-16,19.08,19.56,18.8,18.95,788458,18.95
2016-12-15,19.12,19.49,18.61,19.03,637365,19.03
2016-12-14,19.86,19.9,19.04,19.13,1057316,19.13
2016-12-13,19.8,20.13,19.52,19.96,976110,19.96
2016-12-12,19.58,19.81,19.16,19.74,750997,19.74
2016-12-09,19.65,19.91,19.51,19.63,815597,19.63
2016-12-08,18.9,19.71,18.72,19.62,813591,19.62
2016-12-07,18.97,19.0,18.74,18.94,926092,18.94
2016-12-06,19.06,19.3,18.91,19.15,890699,19.15
2016-12-05,18.0,19.09,18.0,19.05,1462579,19.05
2016-12-02,17.43,17.92,17.42,17.83,632955,17.83
2016-12-01,18.05,18.27,17.36,17.53,963342,17.53
2016-11-30,18.26,18.43,17.93,18.05,536584,18.05
2016-11-29,18.56,18.7,18.12,18.17,880111,18.17
2016-11-28,18.89,19.0,18.39,18.6,991825,18.6
2016-11-25,19.18,19.18,18.73,19.02,377657,19.02
2016-11-23,19.13,19.29,18.94,19.18,595359,19.18
2016-11-22,18.72,19.2,18.66,19.18,1094245,19.18
2016-11-21,18.58,18.98,18.45,18.65,858085,18.65
2016-11-18,18.63,18.9,18.41,18.64,1036089,18.64
2016-11-17,18.03,18.7,17.55,18.66,1585687,18.66
2016-11-16,17.81,18.62,17.45,17.98,2547285,17.98
2016-11-15,18.36,19.1,16.93,17.95,8123585,17.95
2016-11-14,21.0,21.05,19.7,20.5,1960513,20.5
2016-11-11,19.95,21.09,19.91,20.98,1025927,20.98
2016-11-10,19.92,20.58,19.66,19.95,1231140,19.95
2016-11-09,18.65,19.68,18.5,19.62,937463,19.62
2016-11-08,19.01,19.19,18.53,19.04,545505,19.04
2016-11-07,18.41,19.44,18.41,19.07,928676,19.07
2016-11-04,18.69,18.91,18.2,18.28,856377,18.28
2016-11-03,18.81,19.42,18.52,18.74,1104875,18.74
2016-11-02,18.86,19.03,18.36,18.56,961072,18.56
2016-11-01,19.23,19.34,18.75,18.95,938138,18.95
2016-10-31,18.86,19.29,18.77,19.12,692630,19.12
2016-10-28,19.47,19.69,18.94,19.0,671837,19.0
2016-10-27,19.94,20.17,19.36,19.45,707651,19.45
2016-10-26,19.68,20.25,19.64,19.92,557931,19.92
2016-10-25,20.11,20.2,19.62,19.75,581102,19.75
2016-10-24,19.97,20.33,19.97,20.06,525032,20.06
2016-10-21,20.27,20.9,19.81,19.93,1173537,19.93
2016-10-20,20.27,20.44,19.95,20.3,585929,20.3
2016-10-19,20.39,20.74,20.0,20.35,538473,20.35
