Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,154.37,155.4,151.68,152.47,2995982,152.47
2017-06-05,155.87,159.12,155.78,155.85,1527740,155.85
2017-06-02,156.48,158.19,155.68,156.65,2044617,156.65
2017-06-01,155.32,157.17,154.82,156.99,1895997,156.99
2017-05-31,155.34,155.87,149.75,153.35,3642963,153.35
2017-05-30,151.61,155.1,151.3,154.64,1801600,154.64
2017-05-26,150.26,153.95,150.21,153.49,2177764,153.49
2017-05-25,152.73,153.38,149.87,150.89,3068846,150.89
2017-05-24,149.1,153.23,147.44,152.7,2722952,152.7
2017-05-23,149.49,150.0,147.4,148.68,2827979,148.68
2017-05-22,146.15,149.31,145.94,148.56,3792430,148.56
2017-05-19,137.77,144.61,137.67,142.4,5862920,142.4
2017-05-18,131.37,137.4,130.57,133.5,5811729,133.5
2017-05-17,149.39,151.74,130.05,130.05,7911947,130.05
2017-05-16,159.38,160.05,157.44,159.11,2114558,159.11
2017-05-15,155.6,158.14,155.41,157.56,1340287,157.56
2017-05-12,153.34,154.45,152.76,154.45,1521297,154.45
2017-05-11,152.04,154.34,148.37,154.15,2661963,154.15
2017-05-10,153.46,155.15,153.46,153.76,1299692,153.76
2017-05-09,156.41,156.6,153.25,154.34,2472392,154.34
2017-05-08,152.32,154.96,152.23,154.07,1896986,154.07
2017-05-05,151.04,152.05,149.41,150.07,2275019,150.07
2017-05-04,149.62,151.32,145.83,150.95,2861602,150.95
2017-05-03,148.56,149.77,146.45,147.14,2376001,147.14
2017-05-02,150.79,151.18,148.8,150.18,2148747,150.18
2017-05-01,146.43,151.93,146.35,150.79,2460720,150.79
2017-04-28,144.98,145.23,143.3,145.05,1959654,145.05
2017-04-27,145.12,145.49,143.33,145.1,2409125,145.1
2017-04-26,144.44,145.22,141.31,143.55,3013725,143.55
2017-04-25,143.52,145.28,143.02,145.14,2745191,145.14
2017-04-24,138.34,142.1,136.65,141.67,4459868,141.67
2017-04-21,127.56,128.22,125.12,127.88,3470663,127.88
2017-04-20,126.99,129.42,124.9,128.36,3764483,128.36
2017-04-19,130.09,131.0,124.14,125.11,3790033,125.11
2017-04-18,125.51,128.3,123.15,128.22,4082336,128.22
2017-04-17,123.32,127.24,123.11,127.24,3014987,127.24
2017-04-13,123.21,125.62,120.33,121.32,4426884,121.32
2017-04-12,124.08,125.91,122.3,123.62,5567387,123.62
2017-04-11,126.78,127.73,122.76,124.08,5371669,124.08
2017-04-10,134.48,136.11,130.02,130.18,3528379,130.18
2017-04-07,138.0,139.5,134.38,134.9,3919285,134.9
2017-04-06,138.9,142.79,137.97,140.03,3967559,140.03
2017-04-05,143.71,145.5,137.2,137.61,2646569,137.61
2017-04-04,138.55,142.96,137.98,142.39,2034855,142.39
2017-04-03,141.27,141.93,135.44,140.46,2802778,140.46
2017-03-31,143.65,144.71,141.0,141.15,2040591,141.15
2017-03-30,144.4,145.11,142.51,143.77,1954874,143.77
2017-03-29,144.39,146.0,143.32,144.45,2487689,144.45
2017-03-28,137.86,144.14,137.62,143.9,2791917,143.9
2017-03-27,128.5,137.64,127.56,136.53,4568314,136.53
2017-03-24,133.3,136.1,128.0,133.82,5347313,133.82
2017-03-23,134.74,137.62,130.67,131.31,3606268,131.31
2017-03-22,135.27,137.98,133.44,135.92,4914871,135.92
2017-03-21,144.87,145.89,135.42,136.63,5992196,136.63
2017-03-20,142.38,144.03,141.97,142.05,2246979,142.05
2017-03-17,141.5,144.28,141.3,142.15,2247270,142.15
2017-03-16,138.54,140.85,138.3,140.44,2480505,140.44
2017-03-15,134.3,138.84,134.0,137.5,2267556,137.5
2017-03-14,134.91,135.89,131.83,132.76,2703264,132.76
2017-03-13,133.02,135.55,132.42,135.34,1723742,135.34
2017-03-10,131.97,132.8,130.23,132.58,2350479,132.58
2017-03-09,130.94,132.41,128.55,130.78,2539027,130.78
2017-03-08,132.34,133.65,129.67,130.11,1979510,130.11
2017-03-07,131.0,133.3,129.66,131.07,2244227,131.07
2017-03-06,129.03,131.63,128.39,131.18,2217762,131.18
2017-03-03,126.77,129.27,126.64,128.79,2350393,128.79
2017-03-02,125.19,127.58,123.7,124.98,3198471,124.98
2017-03-01,127.92,128.75,125.04,125.3,3202321,125.3
2017-02-28,125.08,125.9,121.88,122.5,2697258,122.5
2017-02-27,125.2,128.46,124.06,125.59,2234174,125.59
2017-02-24,119.04,125.45,118.44,125.25,4009656,125.25
