Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,28.1,28.67,28.1,28.4,221752,28.4
2017-06-05,28.8,28.85,28.2,28.45,284775,28.45
2017-06-02,29.05,29.05,28.0,28.75,460488,28.75
2017-06-01,27.25,29.0,27.25,28.85,529125,28.85
2017-05-31,27.4,27.7,27.0,27.05,288471,27.05
2017-05-30,26.55,27.45,26.55,27.35,495106,27.35
2017-05-26,27.15,27.15,26.5,26.75,262390,26.75
2017-05-25,27.15,27.2,26.85,27.15,271776,27.15
2017-05-24,26.9,27.15,26.65,27.0,294614,27.0
2017-05-23,27.1,27.12,26.35,26.85,272165,26.85
2017-05-22,26.85,27.2,26.5,26.95,257139,26.95
2017-05-19,26.25,27.1,26.25,26.8,358571,26.8
2017-05-18,26.05,26.38,25.55,26.25,410563,26.25
2017-05-17,28.0,28.04,26.15,26.3,915325,26.3
2017-05-16,28.8,29.2,28.1,28.3,456479,28.3
2017-05-15,28.1,29.45,28.05,28.9,659683,28.9
2017-05-12,27.9,28.15,27.55,28.1,360203,28.1
2017-05-11,28.15,28.25,27.8,27.8,367182,27.8
2017-05-10,28.1,28.5,28.0,28.25,307184,28.25
2017-05-09,28.5,28.65,27.88,28.15,470713,28.15
2017-05-08,28.5,28.91,28.35,28.4,541998,28.4
2017-05-05,28.4,29.5,26.6,28.45,2267758,28.45
2017-05-04,24.8,24.97,24.3,24.8,502422,24.8
2017-05-03,25.1,25.15,24.5,24.7,300734,24.7
2017-05-02,25.35,25.5,25.0,25.05,207647,25.05
2017-05-01,25.25,25.6,25.1,25.35,206025,25.35
2017-04-28,25.3,25.5,25.05,25.3,222154,25.3
2017-04-27,25.3,25.45,25.0,25.3,199906,25.3
2017-04-26,25.7,25.75,25.2,25.2,178750,25.2
2017-04-25,25.45,25.9,25.35,25.65,290230,25.65
2017-04-24,25.15,25.5,24.9,25.4,201755,25.4
2017-04-21,25.35,25.6,25.0,25.05,276923,25.05
2017-04-20,25.2,25.6,25.05,25.3,227897,25.3
2017-04-19,24.95,25.65,24.95,25.35,262255,25.35
2017-04-18,25.25,25.35,24.9,24.95,146021,24.95
2017-04-17,25.05,25.4,25.05,25.3,177635,25.3
2017-04-13,25.4,25.5,24.8,25.0,433047,25.0
2017-04-12,26.0,26.2,25.5,25.5,294947,25.5
2017-04-11,26.0,26.2,25.4,26.0,286681,26.0
2017-04-10,26.25,26.55,25.95,26.1,227216,26.1
2017-04-07,26.4,26.6,26.05,26.1,215202,26.1
2017-04-06,26.4,26.9,26.1,26.5,294145,26.5
2017-04-05,26.8,27.23,26.32,26.5,363983,26.5
2017-04-04,26.3,26.8,26.0,26.5,233385,26.5
2017-04-03,26.6,26.93,25.85,26.3,288623,26.3
2017-03-31,26.2,26.72,26.0,26.55,326178,26.55
2017-03-30,27.15,27.3,26.12,26.35,771887,26.35
2017-03-29,27.5,27.81,27.25,27.25,272319,27.25
2017-03-28,27.7,28.2,27.15,27.5,393300,27.5
2017-03-27,28.65,28.65,25.95,27.7,1173490,27.7
2017-03-24,30.3,30.56,29.3,29.7,499566,29.7
2017-03-23,28.35,30.6,28.3,30.05,999932,30.05
2017-03-22,28.2,28.7,27.85,28.45,258213,28.45
2017-03-21,28.1,29.05,28.05,28.1,648972,28.1
2017-03-20,27.85,28.25,27.6,28.05,204998,28.05
2017-03-17,28.4,28.4,27.65,27.9,258722,27.9
2017-03-16,28.1,28.4,28.0,28.25,234390,28.25
2017-03-15,27.65,28.15,27.45,28.0,343521,28.0
2017-03-14,27.3,27.85,27.14,27.55,355888,27.55
2017-03-13,27.35,27.5,26.85,27.25,467608,27.25
2017-03-10,28.45,28.74,26.9,27.5,863140,27.5
2017-03-09,28.5,28.85,28.15,28.75,338502,28.75
2017-03-08,28.6,29.1,28.45,28.6,272505,28.6
2017-03-07,28.3,29.1,28.0,28.6,392435,28.6
2017-03-06,28.75,28.75,27.83,28.55,493705,28.55
2017-03-03,29.0,29.6,28.4,28.8,432233,28.8
2017-03-02,29.1,29.35,28.7,29.1,673320,29.1
2017-03-01,28.9,29.84,28.65,29.0,885836,29.0
2017-02-28,29.25,29.3,28.2,28.25,693932,28.25
2017-02-27,27.05,29.25,27.0,28.9,1017004,28.9
2017-02-24,26.25,27.5,26.2,27.15,498207,27.15
2017-02-23,26.95,27.12,25.95,26.6,728859,26.6
2017-02-22,27.4,27.65,26.85,27.15,881580,27.15
2017-02-21,28.2,28.4,27.05,27.75,901329,27.75
2017-02-17,26.2,28.6,26.05,27.8,1437753,27.8
2017-02-16,25.55,26.28,25.5,26.22,591742,26.22
2017-02-15,25.0,25.9,24.85,25.65,591364,25.65
2017-02-14,25.1,25.35,24.6,25.25,1013919,25.25
2017-02-13,25.0,26.5,24.7,25.1,1815121,25.1
2017-02-10,23.6,25.25,23.05,24.45,3881820,24.45
2017-02-09,18.3,19.1,18.25,18.65,790850,18.65
2017-02-08,18.35,18.45,18.0,18.15,215644,18.15
2017-02-07,18.0,18.65,18.0,18.3,308450,18.3
2017-02-06,17.75,18.1,17.65,18.0,209522,18.0
2017-02-03,18.05,18.15,17.67,17.85,196777,17.85
2017-02-02,17.85,18.08,17.7,17.9,237273,17.9
2017-02-01,17.6,17.95,17.6,17.85,213171,17.85
2017-01-31,17.5,17.55,17.3,17.55,170045,17.55
2017-01-30,17.6,17.65,17.42,17.5,156803,17.5
2017-01-27,17.7,17.9,17.5,17.8,115547,17.8
2017-01-26,17.8,17.95,17.65,17.8,209927,17.8
2017-01-25,17.25,18.0,17.05,17.95,286426,17.95
2017-01-24,17.2,17.65,17.15,17.5,334930,17.5
2017-01-23,15.95,17.35,15.95,17.2,582968,17.2
