Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,125.69,125.87,125.4,125.52,12841450,125.52
2017-06-05,124.9,125.16,124.78,124.84,6775466,124.84
2017-06-02,125.22,125.77,125.05,125.62,13245037,125.62
2017-06-01,123.7,124.19,123.66,124.15,9037271,124.15
2017-05-31,124.05,124.64,124.03,124.4,8000164,124.4
2017-05-30,124.03,124.14,123.74,124.09,4819358,124.09
2017-05-26,123.55,123.74,123.25,123.48,2963919,123.48
2017-05-25,123.02,123.28,122.76,123.27,6464812,123.27
2017-05-24,122.8,123.26,122.54,123.23,7468346,123.23
2017-05-23,123.51,123.62,122.48,122.54,7901311,122.54
2017-05-22,123.41,123.56,123.26,123.37,4063071,123.37
2017-05-19,123.36,123.78,123.01,123.71,11277436,123.71
2017-05-18,123.75,123.94,123.19,123.42,8350484,123.42
2017-05-17,122.63,123.54,122.38,123.28,11236435,123.28
2017-05-16,121.11,121.89,121.1,121.51,6722728,121.51
2017-05-15,121.06,121.21,120.75,121.06,5173188,121.06
2017-05-12,121.01,121.49,120.98,121.39,7464184,121.39
2017-05-11,120.0,120.57,119.91,120.48,7479834,120.48
2017-05-10,120.91,121.06,120.16,120.48,6517131,120.48
2017-05-09,120.38,120.63,120.14,120.62,5536746,120.62
2017-05-08,121.11,121.14,120.53,120.63,8057780,120.63
2017-05-05,121.38,121.47,120.89,121.29,5605412,121.29
2017-05-04,121.01,121.22,120.66,121.18,9707211,121.18
2017-05-03,122.22,122.39,121.55,121.78,8932912,121.78
2017-05-02,120.97,121.78,120.94,121.7,6727813,121.7
2017-05-01,121.69,122.14,120.71,121.08,8795929,121.08
2017-04-28,121.6,122.44,121.55,122.35,8166295,122.35
2017-04-27,121.75,122.35,121.58,122.08,4978328,122.08
2017-04-26,121.52,122.14,121.43,122.12,5766213,122.12
2017-04-25,122.21,122.46,121.38,121.45,8122253,121.45
2017-04-24,122.55,123.16,122.46,122.93,8066371,122.93
2017-04-21,123.82,124.24,123.49,123.54,9798520,123.54
2017-04-20,123.52,123.92,123.14,123.54,7932918,123.54
2017-04-19,124.1,124.17,123.7,124.02,7343991,124.02
2017-04-18,123.86,124.98,123.55,124.7,11529704,124.7
2017-04-17,123.46,123.55,122.86,123.09,8015015,123.09
2017-04-13,123.45,123.74,122.91,123.47,8396661,123.47
2017-04-12,122.51,123.18,122.29,123.09,11532463,123.09
2017-04-11,121.8,122.65,121.72,122.42,11297362,122.42
2017-04-10,121.14,121.62,121.0,121.27,5314493,121.27
2017-04-07,121.84,122.25,120.69,120.71,10270017,120.71
2017-04-06,121.24,121.41,120.52,121.2,6496995,121.2
2017-04-05,120.56,121.52,120.36,121.38,8555235,121.38
2017-04-04,121.37,121.59,120.95,121.01,6976660,121.01
2017-04-03,120.45,121.87,120.4,121.67,12996495,121.67
2017-03-31,120.28,120.81,120.21,120.71,5144760,120.71
2017-03-30,121.07,121.09,120.32,120.36,7042448,120.36
2017-03-29,120.94,121.38,120.88,121.34,6291020,121.34
2017-03-28,121.79,121.82,120.49,120.62,6811244,120.62
2017-03-27,121.83,121.97,121.19,121.43,6878473,121.43
2017-03-24,120.53,121.1,120.4,120.88,5819630,120.88
2017-03-23,120.83,121.02,120.06,120.45,6746461,120.45
2017-03-22,120.72,121.17,120.43,120.62,11661374,120.62
2017-03-21,119.05,120.3,119.02,120.14,12540662,120.14
2017-03-20,118.55,119.23,118.5,119.15,5497756,119.15
2017-03-17,118.11,118.75,118.03,118.64,7266766,118.64
2017-03-16,117.99,118.15,117.63,117.9,8018165,117.9
2017-03-15,117.56,118.83,117.43,118.5,14600488,118.5
2017-03-14,116.77,117.35,116.71,117.07,9869230,117.07
2017-03-13,116.83,117.09,116.49,116.51,6993071,116.51
2017-03-10,117.14,117.32,116.68,117.25,9218505,117.25
2017-03-09,117.34,117.48,116.77,116.84,10575439,116.84
2017-03-08,117.31,117.95,117.23,117.78,11336336,117.78
2017-03-07,118.48,118.68,118.25,118.42,7080088,118.42
2017-03-06,119.12,119.12,118.52,118.78,4489229,118.78
2017-03-03,119.23,119.35,118.55,119.35,9515219,119.35
2017-03-02,119.01,119.21,118.62,119.04,8201247,119.04
2017-03-01,119.44,119.55,118.95,119.47,10717113,119.47
