Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,24.94,25.92,24.6,25.54,2292583,25.54
2017-06-05,24.81,25.49,24.56,24.95,2032318,24.95
2017-06-02,24.14,25.01,24.1,24.85,2031081,24.85
2017-06-01,24.39,24.47,23.83,24.15,2116894,24.15
2017-05-31,24.46,24.5,23.62,24.31,2635893,24.31
2017-05-30,24.95,25.0,24.37,24.5,1695051,24.5
2017-05-26,25.06,25.45,24.94,25.01,2183533,25.01
2017-05-25,25.67,25.9,24.79,25.0,3753687,25.0
2017-05-24,25.44,26.66,25.42,26.05,3242182,26.05
2017-05-23,25.17,25.6,24.91,25.56,2778622,25.56
2017-05-22,25.01,25.5,24.84,24.96,2369428,24.96
2017-05-19,24.36,25.42,24.15,25.16,2900233,25.16
2017-05-18,24.75,25.14,24.09,24.37,2684526,24.37
2017-05-17,24.67,25.16,24.62,24.81,3831251,24.81
2017-05-16,24.5,25.32,24.46,24.88,3596394,24.88
2017-05-15,24.26,24.35,23.68,24.3,2216777,24.3
2017-05-12,24.2,24.69,23.45,24.0,4427492,24.0
2017-05-11,23.16,23.33,23.0,23.3,2125540,23.3
2017-05-10,23.18,23.76,22.9,23.45,2967170,23.45
2017-05-09,23.73,23.84,23.1,23.17,3415423,23.17
2017-05-08,23.75,24.16,22.8,23.84,7400994,23.84
2017-05-05,25.01,25.29,23.88,23.97,7065334,23.97
2017-05-04,25.51,26.02,24.89,24.96,6116617,24.96
2017-05-03,24.6,26.44,24.15,25.01,23789051,25.01
2017-05-02,34.23,34.45,32.75,33.94,9901644,33.94
2017-05-01,33.1,34.45,33.03,34.39,3836017,34.39
2017-04-28,32.8,33.36,32.7,33.05,2280711,33.05
2017-04-27,32.26,33.29,32.25,32.84,2305956,32.84
2017-04-26,31.76,32.56,31.65,32.24,2596986,32.24
2017-04-25,30.87,32.13,30.79,31.93,2052452,31.93
2017-04-24,31.25,31.25,30.21,30.93,1670345,30.93
2017-04-21,31.44,31.63,30.4,30.82,1305255,30.82
2017-04-20,31.72,32.38,31.46,31.63,2179060,31.63
2017-04-19,31.09,32.25,31.09,31.76,2724762,31.76
2017-04-18,30.57,31.21,30.23,30.8,1565274,30.8
2017-04-17,30.33,30.85,29.84,30.8,1541519,30.8
2017-04-13,29.43,30.64,29.4,30.29,2483602,30.29
2017-04-12,29.67,30.19,29.2,29.56,3010584,29.56
2017-04-11,28.42,29.63,28.1,29.35,3087793,29.35
2017-04-10,28.31,28.87,27.65,28.47,3891447,28.47
2017-04-07,28.5,28.55,27.71,28.17,5277932,28.17
2017-04-06,26.94,27.14,26.76,26.93,1626410,26.93
2017-04-05,27.27,27.72,26.82,26.93,3005045,26.93
2017-04-04,28.51,28.85,26.95,27.27,3758871,27.27
2017-04-03,28.76,28.89,28.19,28.69,1751393,28.69
2017-03-31,28.47,29.26,28.26,28.87,1694561,28.87
2017-03-30,28.67,28.89,28.12,28.62,2244087,28.62
2017-03-29,29.25,29.25,28.75,28.78,2200243,28.78
2017-03-28,29.53,30.06,29.21,29.27,1657470,29.27
2017-03-27,28.8,29.82,28.36,29.63,1597183,29.63
2017-03-24,29.1,29.5,28.82,29.19,1291465,29.19
2017-03-23,29.24,29.5,28.95,29.05,1481317,29.05
2017-03-22,29.64,29.89,28.97,29.17,2343382,29.17
2017-03-21,31.12,31.33,29.23,29.6,3956623,29.6
2017-03-20,31.06,31.49,30.76,31.2,1639045,31.2
2017-03-17,31.09,31.79,30.51,31.03,4484657,31.03
2017-03-16,31.39,32.62,31.26,31.41,2907855,31.41
2017-03-15,31.21,31.39,30.34,31.3,1886740,31.3
2017-03-14,31.91,31.95,30.79,31.07,1664701,31.07
2017-03-13,31.15,32.67,31.1,32.07,2404441,32.07
2017-03-10,31.42,31.71,31.03,31.23,1597689,31.23
2017-03-09,31.1,31.84,30.85,31.32,2345655,31.32
2017-03-08,30.81,31.16,30.59,31.08,1551946,31.08
2017-03-07,30.65,31.33,30.49,30.74,1969675,30.74
2017-03-06,30.4,31.03,29.83,30.89,3488214,30.89
2017-03-03,30.74,30.89,29.35,29.81,4749519,29.81
2017-03-02,32.04,32.66,30.79,31.03,4202130,31.03
2017-03-01,32.0,32.41,31.67,32.32,3378508,32.32
2017-02-28,32.16,32.24,31.33,31.72,4446167,31.72
2017-02-27,32.08,33.33,31.86,32.64,3320079,32.64
2017-02-24,31.28,32.28,31.01,32.26,2329736,32.26
2017-02-23,32.31,32.49,31.4,31.67,2801703,31.67
2017-02-22,31.91,32.44,31.74,32.16,3902386,32.16
2017-02-21,32.47,32.63,31.4,31.96,4402680,31.96
2017-02-17,32.9,33.36,32.2,32.35,4026794,32.35
2017-02-16,33.65,34.28,32.76,33.17,5113029,33.17
2017-02-15,33.4,33.86,33.11,33.42,3408233,33.42
2017-02-14,33.86,34.44,32.88,33.65,7476603,33.65
2017-02-13,32.06,34.95,32.06,34.9,8648324,34.9
2017-02-10,31.77,33.39,31.58,31.96,9469159,31.96
2017-02-09,31.41,34.24,30.75,32.81,9960612,32.81
2017-02-08,31.71,32.69,29.75,31.44,9780999,31.44
2017-02-07,32.3,32.31,30.83,30.96,7408462,30.96
2017-02-06,31.5,32.42,31.3,31.82,6083289,31.82
2017-02-03,30.1,31.6,30.07,31.37,4119620,31.37
2017-02-02,29.87,30.84,29.62,30.1,4029614,30.1
2017-02-01,29.74,30.37,29.36,30.05,3697530,30.05
2017-01-31,28.7,28.94,28.43,28.83,2072838,28.83
