Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,18.1,18.15,17.47,17.57,22746730,17.57
2017-06-05,18.29,18.34,18.02,18.23,10576479,18.23
2017-06-02,18.53,18.58,18.22,18.31,9383147,18.31
2017-06-01,18.22,18.66,18.2,18.53,13178576,18.53
2017-05-31,18.48,18.6,18.08,18.32,17417178,18.32
2017-05-30,18.21,18.72,18.18,18.43,18190729,18.43
2017-05-26,17.99,18.3,17.95,18.23,10459358,18.23
2017-05-25,18.04,18.27,17.94,17.95,9577563,17.95
2017-05-24,18.1,18.34,17.83,17.98,15565326,17.98
2017-05-23,18.41,18.51,17.98,18.15,16838535,18.15
2017-05-22,18.35,18.52,18.27,18.43,11378262,18.43
2017-05-19,18.68,18.9,18.27,18.35,16157833,18.35
2017-05-18,18.17,18.61,17.97,18.51,19888987,18.51
2017-05-17,18.99,19.25,18.22,18.28,30110458,18.28
2017-05-16,19.38,19.78,19.09,19.49,35728080,19.49
2017-05-15,18.69,19.32,18.63,19.23,22617484,19.23
2017-05-12,18.45,19.05,18.34,18.61,22043972,18.61
2017-05-11,18.63,18.74,18.31,18.39,12475401,18.39
2017-05-10,18.37,18.56,18.25,18.54,9993885,18.54
2017-05-09,18.31,18.49,18.2,18.37,12509720,18.37
2017-05-08,18.68,18.68,18.16,18.31,18963259,18.31
2017-05-05,18.45,18.72,18.37,18.69,15064320,18.69
2017-05-04,18.6,18.89,18.36,18.48,24615089,18.48
2017-05-03,18.37,18.6,18.15,18.57,29810339,18.57
2017-05-02,17.57,18.53,17.35,18.24,64567849,18.24
2017-05-01,17.14,17.65,16.97,17.54,47458301,17.54
2017-04-28,16.5,16.79,16.43,16.48,26563886,16.48
2017-04-27,15.8,16.63,15.8,16.61,41158088,16.61
2017-04-26,15.9,16.48,15.76,15.82,79309104,15.82
2017-04-25,14.71,14.96,14.63,14.66,20508038,14.66
2017-04-24,14.7,14.82,14.56,14.71,12779234,14.71
2017-04-21,14.65,14.75,14.41,14.63,13788561,14.63
