Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,10.85,11.18,10.66,11.08,27708501,11.08
2017-06-05,10.61,10.62,10.16,10.58,20255964,10.58
2017-06-02,10.55,10.63,10.3,10.51,21609321,10.51
2017-06-01,10.69,10.77,10.44,10.47,21603364,10.47
2017-05-31,10.68,11.48,10.62,10.99,40747320,10.99
2017-05-30,11.21,11.27,10.74,10.79,22567656,10.79
2017-05-26,11.44,11.44,10.9,10.95,24223212,10.95
2017-05-25,11.09,11.5,10.98,11.33,28526625,11.33
2017-05-24,11.63,11.93,11.0,11.11,28572535,11.11
2017-05-23,11.63,11.94,11.54,11.7,23911847,11.7
2017-05-22,12.2,12.22,11.65,11.74,28680330,11.74
2017-05-19,14.08,14.15,12.44,12.95,52482281,12.95
2017-05-18,15.62,15.84,14.19,15.13,65709263,15.13
2017-05-17,13.1,15.88,12.71,15.85,88849955,15.85
2017-05-16,11.61,11.89,11.5,11.63,20970990,11.63
2017-05-15,12.15,12.23,11.79,11.86,17679731,11.86
2017-05-12,12.59,12.68,12.4,12.41,15275381,12.41
2017-05-11,12.82,13.38,12.42,12.44,30375058,12.44
2017-05-10,12.55,12.55,12.3,12.51,15139146,12.51
2017-05-09,12.11,12.6,12.05,12.43,21284704,12.43
2017-05-08,12.73,12.78,12.31,12.49,22344280,12.49
2017-05-05,12.95,13.26,12.82,13.15,20608575,13.15
2017-05-04,13.27,13.95,12.95,13.02,31204487,13.02
2017-05-03,13.49,13.83,13.24,13.69,21963740,13.69
2017-05-02,13.06,13.43,13.01,13.17,20761785,13.17
2017-05-01,13.9,13.94,12.86,13.1,23878472,13.1
2017-04-28,14.24,14.53,14.16,14.18,19961982,14.18
2017-04-27,14.18,14.55,14.11,14.2,22569833,14.2
2017-04-26,14.3,14.94,14.16,14.49,26551453,14.49
2017-04-25,14.44,14.62,14.14,14.22,18288747,14.22
2017-04-24,15.88,16.4,14.81,14.93,36045196,14.93
2017-04-21,19.09,19.8,18.89,18.99,33014887,18.99
2017-04-20,19.3,19.92,18.51,18.83,35684772,18.83
2017-04-19,18.35,20.14,18.11,19.85,33908993,19.85
2017-04-18,19.75,20.45,18.91,18.96,33218972,18.96
2017-04-17,20.71,20.75,19.26,19.26,33803371,19.26
2017-04-13,20.78,21.75,19.95,21.46,44629580,21.46
2017-04-12,20.5,21.07,19.93,20.66,45367992,20.66
2017-04-11,19.69,20.84,19.4,20.45,56960699,20.45
2017-04-10,17.62,18.75,17.18,18.75,36107139,18.75
2017-04-07,16.77,17.59,16.41,17.5,36913388,17.5
2017-04-06,16.54,16.8,15.6,16.3,36195332,16.3
2017-04-05,15.55,17.05,15.19,16.94,33904502,16.94
2017-04-04,16.76,16.9,15.76,15.93,20524203,15.93
2017-04-03,16.17,17.5,16.0,16.32,29836711,16.32
2017-03-31,15.66,16.23,15.43,16.17,18595324,16.17
2017-03-30,15.52,15.91,15.35,15.64,20649770,15.64
2017-03-29,15.51,15.74,15.16,15.49,14978425,15.49
2017-03-28,17.15,17.19,15.56,15.63,29556611,15.63
2017-03-27,19.66,19.9,17.18,17.51,40166153,17.51
2017-03-24,18.37,19.9,17.57,18.22,46647457,18.22
2017-03-23,18.06,19.13,17.26,18.97,32885530,18.97
2017-03-22,17.87,18.39,17.19,17.73,40317707,17.73
2017-03-21,15.72,17.88,15.46,17.56,61110243,17.56
2017-03-20,16.26,16.35,15.88,16.35,15856301,16.35
2017-03-17,16.46,16.53,15.83,16.32,22592578,16.32
2017-03-16,17.2,17.32,16.65,16.7,23143914,16.7
