Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,96.27,96.6,95.56,95.79,6931583,95.79
2017-06-05,96.32,96.59,96.11,96.55,14510542,96.55
2017-06-02,95.41,96.19,95.41,96.15,8570164,96.15
2017-06-01,95.4,95.45,94.61,95.4,8911894,95.4
2017-05-31,95.08,95.53,94.46,95.23,9865986,95.23
2017-05-30,94.66,94.88,94.34,94.72,6292726,94.72
2017-05-26,95.0,95.12,94.39,94.67,4133942,94.67
2017-05-25,95.09,95.38,94.89,95.04,7262356,95.04
2017-05-24,94.02,94.99,94.02,94.81,6916568,94.81
2017-05-23,93.56,94.07,93.47,93.86,7616088,93.86
2017-05-22,92.53,93.6,92.43,93.31,9186208,93.31
2017-05-19,91.98,92.81,91.71,92.48,9361292,92.48
2017-05-18,91.36,92.48,91.36,91.71,8239825,91.71
2017-05-17,92.48,92.76,91.71,91.76,8240166,91.76
2017-05-16,93.35,93.72,92.97,93.15,5497361,93.15
2017-05-15,92.73,93.42,92.72,93.23,7040087,93.23
2017-05-12,92.19,92.78,91.98,92.73,5898827,92.73
2017-05-11,92.12,92.31,91.62,92.1,7052203,92.1
2017-05-10,91.7,92.41,91.68,92.25,6747589,92.25
2017-05-09,91.9,92.14,91.83,92.0,3969471,92.0
2017-05-08,92.05,92.16,91.52,91.92,5223617,91.92
2017-05-05,92.9,92.98,91.76,92.09,8844524,92.09
2017-05-04,92.7,92.85,92.25,92.62,5257030,92.62
2017-05-03,92.4,92.54,91.98,92.44,4908954,92.44
2017-05-02,91.62,92.75,91.53,92.54,11627705,92.54
2017-05-01,91.29,91.67,91.14,91.26,9042079,91.26
2017-04-28,91.39,91.55,90.98,91.22,6888471,91.22
2017-04-27,91.95,92.0,91.28,91.6,5856781,91.6
2017-04-26,92.02,92.48,91.75,91.82,11295240,91.82
2017-04-25,91.99,92.35,91.58,92.11,7769203,92.11
2017-04-24,92.15,92.5,91.01,91.85,11705374,91.85
2017-04-21,92.77,92.8,91.02,91.15,19442584,91.15
2017-04-20,90.14,91.5,89.9,91.15,12178320,91.15
2017-04-19,90.09,90.62,89.6,89.75,7301338,89.75
2017-04-18,89.64,89.92,89.24,89.73,6823460,89.73
2017-04-17,89.09,89.9,88.75,89.81,6122795,89.81
2017-04-13,88.47,89.78,88.43,88.87,7242743,88.87
2017-04-12,88.7,89.21,88.56,88.68,5912460,88.68
2017-04-11,88.6,88.85,88.13,88.85,7058509,88.85
2017-04-10,88.62,89.25,88.52,88.86,5999394,88.86
2017-04-07,88.97,89.24,88.52,88.74,5439513,88.74
2017-04-06,89.0,89.26,88.78,89.09,8473909,89.09
2017-04-05,89.13,90.2,88.95,89.03,7251617,89.03
2017-04-04,89.01,89.33,88.66,88.78,4859944,88.78
2017-04-03,89.14,89.46,88.4,89.36,9125775,89.36
2017-03-31,88.98,89.35,88.87,88.87,6429764,88.87
2017-03-30,89.08,89.1,88.6,89.01,6227073,89.01
2017-03-29,88.99,89.39,88.56,89.18,4737996,89.18
2017-03-28,89.12,89.42,88.49,89.12,7045509,89.12
2017-03-27,88.31,88.99,88.07,88.95,5230008,88.95
2017-03-24,89.06,89.6,88.97,89.19,7597620,89.19
2017-03-23,88.47,89.39,88.42,88.86,7710654,88.86
2017-03-22,87.85,89.04,87.85,88.52,7828563,88.52
2017-03-21,89.49,89.71,88.0,88.06,11092126,88.06
2017-03-20,90.29,92.05,88.96,89.18,9438042,89.18
2017-03-17,90.25,90.63,90.17,90.24,8613377,90.24
2017-03-16,90.31,90.33,89.47,90.04,9174440,90.04
2017-03-15,89.75,90.1,89.41,89.92,6350706,89.92
2017-03-14,89.93,90.03,89.24,89.55,6009803,89.55
