Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.89,13.01,12.71,12.71,4236319,12.71
2017-06-05,13.23,13.23,12.6,13.0,5152402,13.0
2017-06-02,14.3,14.35,13.32,13.43,11011537,13.43
2017-06-01,12.46,13.29,12.37,13.16,7577290,13.16
2017-05-31,12.53,12.61,12.22,12.37,5297288,12.37
2017-05-30,12.88,13.0,12.44,12.49,4951171,12.49
2017-05-26,13.19,13.19,12.82,12.87,2938081,12.87
2017-05-25,13.18,13.25,13.02,13.15,2126004,13.15
2017-05-24,13.2,13.23,12.88,13.05,4884053,13.05
2017-05-23,13.57,13.59,13.12,13.18,7638836,13.18
2017-05-22,13.42,13.68,13.4,13.54,4106188,13.54
2017-05-19,13.3,13.59,13.05,13.38,7157877,13.38
2017-05-18,13.67,13.67,13.1,13.18,8336050,13.18
2017-05-17,13.9,14.09,13.57,13.82,6410266,13.82
2017-05-16,15.12,15.45,13.63,13.76,16828101,13.76
2017-05-15,14.96,15.49,14.74,14.78,10030876,14.78
2017-05-12,14.46,14.92,14.41,14.91,7451745,14.91
2017-05-11,14.35,14.48,14.03,14.46,3953312,14.46
2017-05-10,14.24,14.51,14.1,14.48,4419054,14.48
2017-05-09,13.75,14.33,13.63,14.23,7517697,14.23
2017-05-08,13.78,13.81,13.59,13.66,3015638,13.66
2017-05-05,13.83,13.83,13.66,13.78,1981832,13.78
2017-05-04,13.84,13.86,13.64,13.78,1463226,13.78
2017-05-03,13.83,13.93,13.73,13.85,1917592,13.85
2017-05-02,14.05,14.1,13.7,13.86,3862605,13.86
2017-05-01,13.87,14.08,13.83,13.99,1374745,13.99
2017-04-28,13.93,13.95,13.6,13.87,1804879,13.87
2017-04-27,13.87,13.99,13.74,13.91,1814951,13.91
2017-04-26,14.14,14.14,13.71,13.8,2319949,13.8
2017-04-25,14.07,14.3,14.04,14.12,3527350,14.12
2017-04-24,13.96,14.02,13.78,13.96,4659346,13.96
2017-04-21,13.48,13.88,13.44,13.8,3066630,13.8
2017-04-20,13.54,13.66,13.41,13.47,2616727,13.47
2017-04-19,13.48,13.59,13.3,13.42,2672991,13.42
2017-04-18,13.61,13.61,13.15,13.42,1859222,13.42
2017-04-17,13.23,13.52,13.09,13.51,2602750,13.51
2017-04-13,13.32,13.47,13.15,13.15,2468609,13.15
2017-04-12,13.34,13.43,13.2,13.29,2272560,13.29
2017-04-11,13.35,13.58,13.16,13.31,2642901,13.31
2017-04-10,13.31,13.54,13.18,13.33,3156289,13.33
2017-04-07,13.44,13.46,13.18,13.3,2200006,13.3
2017-04-06,12.8,13.6,12.8,13.49,7061107,13.49
2017-04-05,12.97,13.01,12.68,12.73,5762962,12.73
2017-04-04,13.3,13.36,12.55,12.86,9344781,12.86
2017-04-03,13.38,13.51,13.12,13.37,3713782,13.37
2017-03-31,13.4,13.41,13.12,13.34,3937883,13.34
2017-03-30,13.63,13.7,13.23,13.42,4806390,13.42
2017-03-29,13.98,14.05,13.74,13.79,3153611,13.79
2017-03-28,13.83,14.05,13.83,13.98,3176386,13.98
2017-03-27,13.55,13.92,13.5,13.87,2381569,13.87
2017-03-24,13.82,14.01,13.65,13.8,4154220,13.8
2017-03-23,13.95,14.02,13.76,13.8,7031762,13.8
2017-03-22,13.49,13.8,13.4,13.77,5239488,13.77
2017-03-21,14.33,14.5,13.54,13.54,8994243,13.54
2017-03-20,14.03,14.31,14.02,14.27,3524881,14.27
2017-03-17,14.28,14.29,13.99,14.1,4624753,14.1
2017-03-16,13.78,14.42,13.74,14.38,9810730,14.38
2017-03-15,13.4,13.77,13.21,13.7,6469340,13.7
2017-03-14,13.32,13.48,13.16,13.46,5360588,13.46
2017-03-13,13.09,13.42,13.02,13.36,4876546,13.36
2017-03-10,12.81,13.06,12.76,13.02,5228107,13.02
2017-03-09,13.18,13.23,12.76,12.77,7823046,12.77
2017-03-08,13.01,13.49,12.99,13.19,7406634,13.19
2017-03-07,13.0,13.05,12.89,13.01,5456839,13.01
2017-03-06,12.9,13.12,12.8,13.0,4966356,13.0
2017-03-03,13.13,13.16,12.9,12.92,7065736,12.92
2017-03-02,12.94,13.2,12.89,13.15,5041766,13.15
2017-03-01,13.1,13.13,12.85,12.99,4177693,12.99
2017-02-28,13.07,13.12,12.92,13.01,8354230,13.01
2017-02-27,13.0,13.19,12.87,13.08,7011039,13.08
2017-02-24,13.22,13.23,12.86,13.04,5807395,13.04
2017-02-23,13.47,13.8,13.3,13.37,11428890,13.37
2017-02-22,13.03,13.41,12.84,13.41,6684346,13.41
2017-02-21,13.0,13.33,12.84,13.03,20016967,13.03
2017-02-17,12.25,12.44,12.0,12.16,4951707,12.16
2017-02-16,12.58,12.61,12.14,12.29,7255390,12.29
2017-02-15,12.45,12.68,12.44,12.58,4683917,12.58
2017-02-14,12.29,12.53,12.1,12.43,5714027,12.43
2017-02-13,12.5,12.68,12.0,12.29,4535703,12.29
2017-02-10,12.2,12.62,12.14,12.48,5999271,12.48
2017-02-09,11.9,12.26,11.82,12.1,6740737,12.1
2017-02-08,11.53,11.94,11.45,11.86,3448352,11.86
2017-02-07,11.53,11.56,11.47,11.5,2458494,11.5
2017-02-06,11.43,11.58,11.39,11.5,2102675,11.5
2017-02-03,11.55,11.68,11.38,11.53,2543044,11.53
2017-02-02,11.48,11.76,11.4,11.49,3385759,11.49
2017-02-01,11.41,11.67,11.31,11.49,4265613,11.49
2017-01-31,10.96,11.37,10.93,11.32,6512795,11.32
2017-01-30,10.83,11.2,10.78,11.06,3743542,11.06
2017-01-27,10.88,10.99,10.76,10.91,3866021,10.91
2017-01-26,11.17,11.2,10.68,10.89,8969933,10.89
2017-01-25,11.06,11.19,10.97,11.13,5881697,11.13
2017-01-24,10.95,11.16,10.91,10.92,5593993,10.92
2017-01-23,10.58,10.8,10.5,10.75,4172241,10.75
2017-01-20,10.95,10.98,10.54,10.58,4296779,10.58
2017-01-19,10.84,11.0,10.76,10.92,4292278,10.92
2017-01-18,10.98,11.02,10.55,10.79,5536814,10.79
2017-01-17,11.06,11.16,10.93,10.94,3958779,10.94
2017-01-13,11.14,11.16,10.97,11.05,2952833,11.05
2017-01-12,11.24,11.24,10.82,11.0,3671143,11.0
2017-01-11,11.43,11.48,10.98,11.21,5602580,11.21
2017-01-10,11.7,11.77,11.54,11.56,7825249,11.56
