Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,11.17,11.3585,11.09,11.3,1412259,11.3
2017-06-05,11.06,11.06,10.83,11.05,1602010,11.05
2017-06-02,11.03,11.06,10.9,10.99,1320527,10.99
2017-06-01,11.11,11.13,10.97,10.98,1667630,10.98
2017-05-31,11.11,11.5,11.07,11.24,2290995,11.24
2017-05-30,11.38,11.39,11.12,11.15,1269102,11.15
2017-05-26,11.49,11.49,11.2,11.22,1400702,11.22
2017-05-25,11.3,11.5,11.25,11.4,2333228,11.4
2017-05-24,11.58,11.7,11.2575,11.31,1784276,11.31
2017-05-23,11.56,11.71,11.52,11.6,1847137,11.6
2017-05-22,11.84,11.85,11.57,11.62,2002671,11.62
2017-05-19,12.65,12.66,11.96,12.16,4291474,12.16
2017-05-18,13.28,13.39,12.69,13.09,6968193,13.09
2017-05-17,12.05,13.41,11.88,13.41,8818162,13.41
2017-05-16,11.34,11.48,11.288,11.36,2662805,11.36
2017-05-15,11.6,11.63,11.43,11.46,1814107,11.46
2017-05-12,11.79,11.83,11.72,11.72,1729248,11.72
2017-05-11,11.9,12.16,11.71,11.74,3024025,11.74
2017-05-10,11.79,11.79,11.66,11.76,1479979,11.76
2017-05-09,11.575,11.8,11.55,11.71,2394428,11.71
2017-05-08,11.87,11.88,11.67,11.75,1435858,11.75
2017-05-05,11.96,12.1,11.9,12.05,1529459,12.05
2017-05-04,12.11,12.42,11.965,12.0,2031442,12.0
2017-05-03,12.2,12.36,12.1,12.29,1643657,12.29
2017-05-02,12.01,12.17,11.99,12.05,1335933,12.05
2017-05-01,12.39,12.4,11.93,12.03,1800906,12.03
2017-04-28,12.52,12.66,12.5,12.51,1686585,12.51
2017-04-27,12.51,12.67,12.48,12.5,1791214,12.5
2017-04-26,12.55,12.825,12.48,12.62,2282499,12.62
2017-04-25,12.63,12.69,12.49,12.52,1637670,12.52
2017-04-24,13.19,13.37,12.79,12.83,3621976,12.83
2017-04-21,14.39,14.65,14.33,14.35,2497440,14.35
2017-04-20,14.48,14.7,14.18,14.31,3237237,14.31
2017-04-19,14.1,14.78,14.019,14.66,2592520,14.66
2017-04-18,14.62,14.895,14.32,14.34,3476035,14.34
2017-04-17,14.95,14.9601,14.46,14.46,2083382,14.46
2017-04-13,14.96,15.315,14.68,15.22,2420313,15.22
2017-04-12,14.87,15.07,14.67,14.92,2414751,14.92
2017-04-11,14.56,15.005,14.47,14.86,3579399,14.86
2017-04-10,13.765,14.22,13.6,14.21,1801491,14.21
2017-04-07,13.43,13.76,13.29,13.72,2110739,13.72
2017-04-06,13.34,13.43,12.97,13.25,1359995,13.25
2017-04-05,12.91,13.53,12.77,13.49,1659946,13.49
2017-04-04,13.39,13.46,13.005,13.07,1205986,13.07
2017-04-03,13.18,13.7,13.09,13.23,2174337,13.23
2017-03-31,12.96,13.1801,12.86,13.17,1194745,13.17
2017-03-30,12.91,13.06,12.83,12.94,1531874,12.94
2017-03-29,12.88,12.985,12.75,12.89,1400382,12.89
2017-03-28,13.54,13.56,12.925,12.94,2766468,12.94
2017-03-27,14.51,14.59,13.56,13.69,3328458,13.69
