Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,92.04,92.53,91.39,92.08,2678476,92.08
2017-06-05,94.71,95.34,91.72,91.9,4644592,91.9
2017-06-02,94.84,96.69,93.57,95.36,4323819,95.36
2017-06-01,97.85,98.0,96.23,97.4,3346954,97.4
2017-05-31,97.69,97.69,95.75,97.15,2928369,97.15
2017-05-30,96.95,97.78,96.33,96.74,1455296,96.74
2017-05-26,96.84,97.2,96.11,96.81,823821,96.81
2017-05-25,96.54,97.36,96.23,96.77,875702,96.77
2017-05-24,95.29,96.13,94.93,96.02,1234555,96.02
2017-05-23,95.5,96.11,94.34,94.87,1152595,94.87
2017-05-22,92.66,95.42,92.62,95.24,1440797,95.24
2017-05-19,93.21,93.96,92.23,92.52,957113,92.52
2017-05-18,92.27,92.56,91.29,92.28,1137363,92.28
2017-05-17,93.65,94.0,92.23,92.27,1113520,92.27
2017-05-16,95.0,95.47,94.42,94.64,988911,94.64
2017-05-15,93.25,94.65,92.91,94.65,1266675,94.65
2017-05-12,93.61,93.79,92.93,93.2,1331168,93.2
2017-05-11,93.76,94.26,93.08,93.49,745858,93.49
2017-05-10,94.03,94.42,93.35,94.15,819499,94.15
2017-05-09,94.76,95.17,93.96,94.06,887823,94.06
2017-05-08,93.91,95.01,93.88,94.59,1101817,94.59
2017-05-05,93.04,93.99,92.76,93.97,1104590,93.97
2017-05-04,92.77,92.91,92.05,92.82,851567,92.82
2017-05-03,93.21,93.64,92.42,92.63,920860,92.63
2017-05-02,94.17,94.21,93.02,93.4,1388489,93.4
2017-05-01,94.5,94.82,93.0,94.58,2432518,94.58
2017-04-28,94.14,94.49,93.38,94.12,1063586,94.12
2017-04-27,94.02,94.29,93.62,94.25,819810,94.25
2017-04-26,93.01,94.24,92.89,93.91,1445267,93.91
2017-04-25,93.44,93.57,92.45,93.0,1958010,93.0
2017-04-24,92.0,93.14,91.55,93.07,1590035,93.07
2017-04-21,91.96,92.0,90.56,90.85,2202795,90.85
2017-04-20,91.65,92.36,91.03,91.86,972873,91.86
2017-04-19,91.94,92.0,91.52,91.81,829511,91.81
2017-04-18,91.37,92.31,91.03,91.69,1337287,91.69
2017-04-17,91.0,91.56,90.69,91.33,1075162,91.33
2017-04-13,91.0,91.73,90.76,90.81,844186,90.81
2017-04-12,92.39,92.39,91.12,91.22,748362,91.22
2017-04-11,92.42,92.69,91.69,92.43,963396,92.43
2017-04-10,92.11,92.73,91.8,92.52,1126805,92.52
2017-04-07,91.74,92.42,91.3,92.33,1461628,92.33
2017-04-06,91.33,91.67,90.84,91.52,1121660,91.52
2017-04-05,92.25,92.6,91.09,91.15,1670175,91.15
2017-04-04,91.7,92.45,91.54,92.23,1137142,92.23
2017-04-03,92.01,92.83,91.09,91.67,1274792,91.67
2017-03-31,91.5,92.21,91.15,92.14,1404816,92.14
