Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,83.16,83.18,82.58,82.71,4357644,82.71
2017-06-05,83.26,83.38,82.73,83.11,4919902,83.11
2017-06-02,82.96,83.65,82.96,83.47,3999506,83.47
2017-06-01,81.96,82.72,81.76,82.62,6557172,82.62
2017-05-31,82.28,82.53,81.87,82.19,5515028,82.19
2017-05-30,82.65,82.82,82.14,82.14,1865209,82.14
2017-05-26,83.23,83.32,82.4,82.66,3046224,82.66
2017-05-25,83.39,83.65,83.08,83.26,3146888,83.26
2017-05-24,82.69,83.3,82.65,83.25,2578721,83.25
2017-05-23,82.68,82.99,82.53,82.58,2960147,82.58
2017-05-22,82.22,82.8,82.16,82.51,3433736,82.51
2017-05-19,81.69,82.68,81.34,82.19,6390302,82.19
2017-05-18,81.17,81.96,80.73,81.75,4128222,81.75
2017-05-17,80.92,81.61,80.75,81.3,7243679,81.3
2017-05-16,81.52,81.69,80.71,80.97,4338574,80.97
2017-05-15,81.35,82.22,81.3,81.52,3263946,81.52
2017-05-12,81.75,81.78,81.21,81.28,3115409,81.28
2017-05-11,81.72,81.85,80.9,81.61,3542814,81.61
2017-05-10,81.37,82.3,81.17,82.02,3801407,82.02
2017-05-09,81.81,81.92,81.06,81.38,5790894,81.38
2017-05-08,82.58,82.58,81.36,81.82,3940834,81.82
2017-05-05,81.81,82.4,81.77,82.4,5458059,82.4
2017-05-04,81.52,81.76,80.7,81.63,8025099,81.63
2017-05-03,83.1,83.2,81.76,82.03,6207577,82.03
2017-05-02,83.38,83.59,82.83,83.14,4930021,83.14
2017-05-01,83.15,83.53,82.46,83.28,6003561,83.28
2017-04-28,83.44,83.57,82.49,82.79,5983748,82.79
2017-04-27,84.01,84.21,83.5,83.66,4822219,83.66
2017-04-26,84.45,84.62,83.67,83.88,4185489,83.88
2017-04-25,84.16,84.64,84.02,84.51,3412276,84.51
2017-04-24,85.5,85.55,83.39,84.16,6595301,84.16
2017-04-21,85.36,85.46,84.96,85.1,3261924,85.1
2017-04-20,85.24,85.47,84.8,85.41,3109054,85.41
2017-04-19,85.45,85.72,85.25,85.4,3622934,85.4
2017-04-18,85.22,85.6,85.16,85.52,2807318,85.52
