Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,46.37,46.81,46.24,46.44,11577658,46.44
2017-06-05,46.17,46.42,46.02,46.37,8538222,46.37
2017-06-02,46.63,47.19,46.32,46.44,18552764,46.44
2017-06-01,46.71,46.71,46.1,46.51,14219353,46.51
2017-05-31,46.43,46.94,46.26,46.64,22811121,46.64
2017-05-30,45.26,46.33,45.26,46.2,16442303,46.2
2017-05-26,45.25,45.44,45.24,45.32,5999937,45.32
2017-05-25,45.05,45.38,45.01,45.31,11206448,45.31
2017-05-24,45.45,45.49,44.85,45.04,15959059,45.04
2017-05-23,45.48,45.58,45.4,45.48,8066343,45.48
2017-05-22,45.39,45.56,45.28,45.48,9290107,45.48
2017-05-19,45.16,45.44,44.76,45.42,12787845,45.42
2017-05-18,44.5,45.28,44.47,45.04,15648717,45.04
2017-05-17,44.95,44.98,44.46,44.48,21333481,44.48
2017-05-16,45.34,45.65,45.25,45.31,14813517,45.31
2017-05-15,45.91,45.94,45.25,45.38,20379653,45.38
2017-05-12,46.12,46.16,45.8,45.84,14470852,45.84
2017-05-11,46.31,46.37,45.98,46.02,12435758,46.02
2017-05-10,46.4,46.63,46.31,46.38,12669607,46.38
2017-05-09,46.52,46.59,46.16,46.42,14348978,46.42
2017-05-08,46.72,46.74,46.29,46.63,15561716,46.63
2017-05-05,46.08,46.73,46.0,46.69,17132991,46.69
2017-05-04,46.18,46.18,45.76,45.88,20767704,45.88
2017-05-03,46.02,46.25,45.83,46.15,19568103,46.15
2017-05-02,46.0,46.1,45.76,45.91,13397799,45.91
2017-05-01,46.06,46.15,45.88,45.88,14455200,45.88
2017-04-28,46.64,46.64,45.89,45.91,25922757,45.91
2017-04-27,47.36,47.39,46.66,46.67,16838540,46.67
2017-04-26,46.75,47.53,46.62,47.36,29343781,47.36
2017-04-25,46.96,47.27,46.58,46.7,30033457,46.7
2017-04-24,47.13,47.36,46.96,47.05,23161886,47.05
2017-04-21,47.92,48.17,47.13,47.25,31278325,47.25
2017-04-20,47.92,48.62,47.71,48.41,30398242,48.41
2017-04-19,49.44,49.55,48.89,48.94,18837325,48.94
2017-04-18,48.62,49.49,48.54,49.22,19691292,49.22
2017-04-17,48.68,49.1,48.68,48.81,10507780,48.81
2017-04-13,48.8,48.92,48.57,48.62,9486987,48.62
