Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,75.04,76.88,74.47,75.48,1449163,75.48
2017-06-05,74.59,77.31,74.52,75.29,1939049,75.29
2017-06-02,74.13,75.61,73.6,74.52,1160081,74.52
2017-06-01,73.39,74.58,72.29,74.14,2042485,74.14
2017-05-31,75.26,75.35,72.56,73.53,3143035,73.53
2017-05-30,77.57,78.06,73.55,74.51,3123888,74.51
2017-05-26,77.5,79.2,76.24,77.57,2910450,77.57
2017-05-25,76.46,78.12,75.35,77.57,1922184,77.57
2017-05-24,77.11,78.07,74.88,75.35,3604991,75.35
2017-05-23,80.58,81.29,76.31,76.98,3742294,76.98
2017-05-22,79.9,81.36,78.5,80.75,2832199,80.75
2017-05-19,80.08,82.28,77.16,78.31,5893882,78.31
2017-05-18,74.04,79.4,71.02,79.04,7327889,79.04
2017-05-17,77.75,79.7,74.05,74.8,8240422,74.8
2017-05-16,70.2,79.26,69.54,78.6,13713440,78.6
2017-05-15,63.75,63.96,61.56,62.9,2497607,62.9
2017-05-12,62.62,63.1,61.75,62.44,1426926,62.44
2017-05-11,62.45,63.28,60.5,62.62,2110717,62.62
2017-05-10,61.11,63.21,60.0,62.51,1883960,62.51
2017-05-09,60.05,62.17,60.0,61.03,2702125,61.03
2017-05-08,57.24,60.0,56.75,59.33,3976140,59.33
2017-05-05,55.66,56.7,54.69,56.67,1528112,56.67
2017-05-04,54.71,55.74,53.76,55.57,906321,55.57
2017-05-03,55.15,55.39,53.8,54.7,803474,54.7
2017-05-02,55.25,56.02,54.69,55.34,1272075,55.34
2017-05-01,56.12,56.32,55.21,55.3,1253107,55.3
2017-04-28,55.6,56.0,54.24,55.86,1081589,55.86
2017-04-27,55.49,57.47,55.21,55.37,2357062,55.37
2017-04-26,54.05,55.15,53.69,54.99,1142358,54.99
2017-04-25,53.83,54.74,53.76,54.21,1999698,54.21
2017-04-24,53.76,54.3,53.42,53.65,1703017,53.65
2017-04-21,51.74,53.47,51.6,52.87,1830331,52.87
2017-04-20,50.77,52.26,50.73,51.94,1783407,51.94
2017-04-19,50.89,50.89,50.0,50.56,1114544,50.56
2017-04-18,50.33,50.45,49.77,50.39,767965,50.39
2017-04-17,50.34,50.99,50.01,50.46,509749,50.46
2017-04-13,50.04,50.92,50.04,50.16,625714,50.16
2017-04-12,50.33,50.97,50.0,50.38,853373,50.38
2017-04-11,50.66,51.08,50.0,50.58,1530229,50.58
2017-04-10,50.11,50.82,49.81,50.61,901294,50.61
2017-04-07,49.75,49.97,48.82,49.75,771847,49.75
2017-04-06,50.25,50.25,49.41,49.86,839531,49.86
2017-04-05,51.3,51.3,49.36,49.72,844395,49.72
2017-04-04,52.09,52.09,50.33,50.38,1103716,50.38
2017-04-03,52.49,52.96,51.78,52.26,698002,52.26
2017-03-31,51.94,52.63,51.59,52.18,688435,52.18
2017-03-30,53.06,53.61,51.91,52.47,1465414,52.47
2017-03-29,52.25,53.72,51.39,53.61,2577964,53.61
2017-03-28,51.0,52.0,50.99,51.61,1644085,51.61
2017-03-27,48.56,50.98,48.2,50.89,1164031,50.89
2017-03-24,49.03,50.78,49.0,49.78,1220284,49.78
2017-03-23,48.63,49.8,48.57,49.15,870952,49.15
2017-03-22,47.75,49.03,47.52,48.92,968660,48.92
2017-03-21,50.81,51.82,47.6,47.75,2152435,47.75
2017-03-20,51.0,51.58,49.85,50.72,1035022,50.72
2017-03-17,51.48,52.5,50.86,51.1,1031640,51.1
2017-03-16,50.11,52.16,49.71,51.14,1836388,51.14
2017-03-15,49.17,49.79,48.9,49.7,764879,49.7
2017-03-14,49.81,49.81,48.43,49.13,935544,49.13
2017-03-13,48.07,50.11,47.84,49.84,1868982,49.84
2017-03-10,48.55,48.67,47.36,47.84,1317820,47.84
2017-03-09,49.71,49.89,47.45,48.62,2367984,48.62
2017-03-08,49.79,50.8,49.68,49.95,1177496,49.95
2017-03-07,49.93,50.13,49.09,49.64,824603,49.64
2017-03-06,51.0,51.01,49.06,49.67,939507,49.67
2017-03-03,50.5,51.4,49.89,50.3,1000520,50.3
2017-03-02,50.78,51.33,50.21,50.5,914613,50.5
2017-03-01,51.57,51.59,50.5,51.17,1412965,51.17
2017-02-28,51.03,52.17,50.49,50.52,1272284,50.52
2017-02-27,51.2,52.68,50.5,51.44,2559393,51.44
2017-02-24,49.88,52.14,49.51,51.09,4169561,51.09
2017-02-23,55.7,55.7,48.5,48.89,9307581,48.89
2017-02-22,58.09,58.79,56.56,58.21,1798812,58.21
2017-02-21,56.15,58.67,56.15,58.09,2188909,58.09
2017-02-17,55.0,55.47,53.09,55.31,1447825,55.31
2017-02-16,54.71,56.3,54.12,55.26,1735190,55.26
2017-02-15,55.43,55.49,53.81,54.17,1045471,54.17
2017-02-14,54.21,55.26,53.81,54.87,1170287,54.87
2017-02-13,53.42,55.52,52.85,54.39,1477671,54.39
2017-02-10,54.01,54.28,52.89,53.1,904705,53.1
2017-02-09,53.0,54.5,52.54,53.9,1658313,53.9
2017-02-08,53.83,54.32,52.11,52.92,1697014,52.92
2017-02-07,51.07,53.69,51.0,53.24,2337917,53.24
2017-02-06,48.83,51.33,48.62,50.85,1553176,50.85
2017-02-03,49.14,49.39,48.42,48.55,709596,48.55
2017-02-02,47.66,49.42,47.15,49.11,1560528,49.11
2017-02-01,48.45,48.5,47.25,47.97,498080,47.97
2017-01-31,47.17,48.5,46.74,48.22,468261,48.22
2017-01-30,48.06,48.06,46.05,47.39,664771,47.39
2017-01-27,47.46,48.34,47.02,48.11,541776,48.11
2017-01-26,48.7,48.72,46.58,47.43,938874,47.43
2017-01-25,48.45,49.08,48.31,48.6,716047,48.6
2017-01-24,47.7,49.43,47.42,48.2,1973623,48.2
2017-01-23,46.84,47.65,46.56,47.53,583305,47.53
2017-01-20,47.28,47.49,46.67,46.91,815787,46.91
2017-01-19,46.81,47.75,46.75,47.08,835314,47.08
