Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,9.19,9.57,9.15,9.51,372215,9.51
2017-06-05,9.33,9.33,9.1,9.19,156673,9.19
2017-06-02,9.21,9.32,9.06,9.3,618623,9.3
2017-06-01,9.24,9.31,9.01,9.21,869483,9.21
2017-05-31,9.5,9.61,9.1,9.24,855312,9.24
2017-05-30,9.81,9.81,9.37,9.57,510953,9.57
2017-05-26,9.0,9.96,8.91,9.62,919595,9.62
2017-05-25,8.76,9.01,8.65,8.76,189703,8.76
2017-05-24,8.86,8.86,8.6,8.71,139751,8.71
2017-05-23,9.26,9.31,8.51,8.79,451716,8.79
2017-05-22,9.06,9.4,9.01,9.22,282276,9.22
2017-05-19,8.86,9.12,8.82,8.96,320665,8.96
2017-05-18,9.02,9.12,8.81,8.89,153906,8.89
2017-05-17,9.2,9.38,8.97,9.06,328257,9.06
2017-05-16,9.19,9.45,9.08,9.29,271295,9.29
2017-05-15,9.32,9.33,9.01,9.22,244644,9.22
2017-05-12,9.51,9.56,9.16,9.28,277866,9.28
2017-05-11,9.03,9.54,8.81,9.51,516433,9.51
2017-05-10,9.1,9.23,8.79,9.12,505162,9.12
2017-05-09,8.77,9.23,8.64,8.98,612065,8.98
2017-05-08,8.73,8.88,8.55,8.72,614293,8.72
2017-05-05,9.18,9.18,8.12,8.7,956745,8.7
2017-05-04,11.81,11.87,8.8,9.3,2290910,9.3
2017-05-03,12.66,12.68,11.66,11.87,524215,11.87
2017-05-02,12.95,13.03,12.5,12.66,248377,12.66
2017-05-01,13.0,13.01,12.88,12.98,114332,12.98
2017-04-28,13.14,13.26,13.0,13.01,99701,13.01
2017-04-27,13.26,13.29,13.02,13.13,101354,13.13
2017-04-26,13.28,13.41,13.2,13.28,85806,13.28
2017-04-25,13.34,13.43,13.2,13.29,123686,13.29
2017-04-24,13.5,13.59,13.22,13.32,218971,13.32
2017-04-21,13.33,13.53,13.32,13.49,153445,13.49
2017-04-20,13.52,13.56,13.25,13.3,135348,13.3
2017-04-19,13.5,13.57,13.44,13.48,61982,13.48
2017-04-18,13.65,13.67,13.2,13.43,247228,13.43
2017-04-17,13.98,14.06,13.65,13.71,68782,13.71
2017-04-13,14.01,14.09,13.66,13.96,256204,13.96
2017-04-12,14.01,14.13,13.96,14.07,103666,14.07
2017-04-11,14.13,14.24,13.92,14.03,162909,14.03
2017-04-10,14.2,14.2,13.58,14.12,270973,14.12
2017-04-07,14.27,14.5,14.06,14.19,230600,14.19
2017-04-06,14.4,14.52,14.0,14.31,175687,14.31
2017-04-05,14.37,14.7,14.37,14.4,312629,14.4
2017-04-04,14.48,14.56,13.9,14.31,235835,14.31
2017-04-03,13.47,14.9,13.47,14.44,644358,14.44
2017-03-31,13.25,13.45,13.13,13.41,231048,13.41
2017-03-30,13.13,13.33,13.06,13.27,227677,13.27
2017-03-29,12.97,13.19,12.93,13.13,243168,13.13
2017-03-28,12.99,13.1,12.92,13.01,235311,13.01
2017-03-27,12.72,13.0,12.62,12.95,235168,12.95
2017-03-24,12.7,12.95,12.53,12.77,198988,12.77
2017-03-23,12.65,12.87,12.65,12.78,61756,12.78
2017-03-22,12.84,12.9,12.41,12.72,145918,12.72
2017-03-21,13.04,13.13,12.81,12.86,145843,12.86
2017-03-20,12.95,13.02,12.89,13.0,102238,13.0
2017-03-17,12.95,13.1,12.9,12.94,174387,12.94
2017-03-16,12.83,13.04,12.83,12.95,161306,12.95
2017-03-15,12.8,12.91,12.59,12.8,153386,12.8
2017-03-14,12.85,12.9,12.61,12.78,84723,12.78
2017-03-13,12.9,12.99,12.81,12.86,124423,12.86
2017-03-10,12.8,12.92,12.7,12.91,36852,12.91
2017-03-09,12.63,12.98,12.54,12.74,103580,12.74
2017-03-08,12.5,12.74,12.46,12.62,105104,12.62
2017-03-07,12.48,12.54,12.4,12.52,287114,12.52
2017-03-06,12.62,12.72,12.3,12.52,234805,12.52
2017-03-03,12.77,12.86,12.61,12.67,202213,12.67
2017-03-02,12.97,12.98,12.75,12.78,174660,12.78
2017-03-01,12.98,12.99,12.72,12.87,175289,12.87
2017-02-28,12.9,13.03,12.75,12.91,234593,12.91
2017-02-27,12.72,13.0,12.6,12.99,224003,12.99
2017-02-24,12.65,12.72,12.38,12.68,209827,12.68
2017-02-23,12.59,13.2,12.59,12.66,268856,12.66
2017-02-22,12.59,12.76,12.43,12.49,154617,12.49
2017-02-21,12.81,12.89,12.53,12.63,205445,12.63
2017-02-17,13.18,13.18,12.69,12.73,216823,12.73
2017-02-16,13.48,13.48,13.06,13.14,267834,13.14
2017-02-15,12.74,13.5,12.67,13.46,347181,13.46
2017-02-14,13.04,13.28,12.48,12.7,667446,12.7
2017-02-13,13.59,13.66,13.47,13.55,143043,13.55
2017-02-10,13.7,13.9,13.52,13.59,146850,13.59
2017-02-09,13.61,13.99,13.54,13.65,259533,13.65
2017-02-08,13.3,13.58,13.26,13.55,377900,13.55
2017-02-07,13.2,13.59,13.01,13.3,344257,13.3
2017-02-06,13.36,13.55,13.18,13.24,118399,13.24
2017-02-03,13.31,13.5,13.21,13.32,110629,13.32
2017-02-02,13.38,13.49,13.2,13.26,58497,13.26
2017-02-01,13.5,13.53,13.24,13.32,82339,13.32
2017-01-31,12.97,13.45,12.82,13.41,51372,13.41
2017-01-30,13.01,13.06,12.8,13.02,37169,13.02
2017-01-27,13.12,13.12,12.9,13.01,67269,13.01
2017-01-26,13.34,13.39,13.0,13.12,197853,13.12
2017-01-25,13.49,13.5,13.21,13.33,85792,13.33
2017-01-24,13.57,13.57,13.12,13.5,152061,13.5
2017-01-23,14.03,14.03,13.2,13.48,541770,13.48
2017-01-20,14.45,14.45,13.74,13.95,288421,13.95
2017-01-19,14.15,14.47,13.92,14.4,193161,14.4
2017-01-18,14.42,14.5,13.84,14.13,175707,14.13
2017-01-17,13.96,14.28,13.8,14.26,96708,14.26
2017-01-13,14.23,14.3,13.69,14.04,210437,14.04
2017-01-12,14.65,14.65,14.12,14.29,177766,14.29
2017-01-11,14.03,14.65,13.96,14.64,141102,14.64
2017-01-10,13.95,14.05,13.67,14.02,166613,14.02
2017-01-09,14.27,14.27,13.8,13.89,139882,13.89
2017-01-06,14.68,14.69,14.15,14.19,136712,14.19
2017-01-05,14.74,14.86,14.35,14.65,160052,14.65
2017-01-04,14.74,14.99,14.64,14.66,133147,14.66
2017-01-03,15.43,15.48,14.53,14.7,193355,14.7
2016-12-30,15.44,15.7,15.3,15.33,391729,15.33
2016-12-29,15.1,15.57,15.1,15.25,155259,15.25
2016-12-28,15.0,15.29,14.9,15.18,155128,15.18
2016-12-27,14.68,15.28,14.38,15.02,165048,15.02
2016-12-23,13.61,14.69,13.61,14.57,432675,14.57
2016-12-22,13.76,13.93,13.56,13.63,113460,13.63
2016-12-21,13.6,14.08,13.6,13.8,153611,13.8
2016-12-20,13.48,13.75,13.48,13.56,80757,13.56
2016-12-19,13.47,13.68,13.4,13.46,112498,13.46
2016-12-16,13.47,13.59,13.4,13.42,168234,13.42
2016-12-15,13.4,13.52,13.38,13.43,73652,13.43
2016-12-14,13.32,13.59,13.3,13.4,89281,13.4
2016-12-13,13.55,13.55,13.15,13.42,302437,13.42
2016-12-12,13.56,13.56,13.33,13.4,167549,13.4
2016-12-09,13.53,14.6,13.53,13.64,509710,13.64
2016-12-08,13.42,13.89,13.36,13.43,456814,13.43
2016-12-07,13.38,13.49,13.28,13.46,135385,13.46
2016-12-06,13.49,13.5,13.2,13.39,136919,13.39
2016-12-05,13.45,13.64,13.42,13.42,154498,13.42
2016-12-02,13.4,13.54,13.31,13.41,364659,13.41
2016-12-01,13.85,13.86,13.17,13.4,361810,13.4
2016-11-30,13.36,13.92,13.35,13.9,234334,13.9
2016-11-29,13.36,13.56,13.36,13.4,122991,13.4
2016-11-28,13.47,13.7,13.4,13.41,92180,13.41
2016-11-25,13.47,13.57,13.1,13.4,171261,13.4
2016-11-23,13.55,13.69,13.4,13.52,233551,13.52
2016-11-22,14.49,14.74,13.34,13.55,498416,13.55
2016-11-21,13.4,14.5,13.2,14.37,304950,14.37
2016-11-18,13.58,13.58,13.26,13.42,232047,13.42
2016-11-17,13.13,13.66,13.13,13.52,236847,13.52
2016-11-16,13.6,13.6,13.12,13.22,379795,13.22
2016-11-15,13.56,14.0,13.3,13.4,406135,13.4
2016-11-14,13.15,13.81,13.15,13.47,327096,13.47
2016-11-11,12.53,13.23,12.53,13.09,251456,13.09
2016-11-10,13.43,13.8,12.49,12.52,289618,12.52
2016-11-09,13.13,13.73,13.05,13.36,275713,13.36
2016-11-08,12.91,13.75,12.31,13.32,1026597,13.32
2016-11-07,17.12,17.12,10.92,12.23,2814557,12.23
2016-11-04,16.99,17.39,16.99,17.02,166003,17.02
2016-11-03,17.0,17.24,16.84,16.94,102491,16.94
2016-11-02,16.7,17.15,16.7,17.06,158270,17.06
2016-11-01,17.14,17.42,16.72,16.9,199499,16.9
