Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,96.19,96.48,95.82,96.02,741314,96.02
2017-06-05,97.04,97.1,95.99,96.29,471449,96.29
2017-06-02,97.45,97.45,96.56,96.92,658631,96.92
2017-06-01,95.52,97.19,95.28,97.13,643016,97.13
2017-05-31,94.75,95.23,94.07,95.15,1032998,95.15
2017-05-30,93.88,94.73,93.65,94.61,312201,94.61
2017-05-26,93.61,94.93,93.45,94.39,325176,94.39
2017-05-25,93.3,94.15,93.3,93.8,390295,93.8
2017-05-24,92.89,93.15,92.67,93.13,531766,93.13
2017-05-23,92.58,92.96,92.23,92.41,276935,92.41
2017-05-22,92.2,92.63,92.02,92.47,227208,92.47
2017-05-19,92.01,92.4,91.35,91.9,469940,91.9
2017-05-18,91.04,92.33,90.52,91.72,330190,91.72
2017-05-17,91.6,92.05,90.99,91.07,290150,91.07
2017-05-16,92.46,92.83,91.54,92.04,332443,92.04
2017-05-15,91.21,92.72,91.15,92.72,336046,92.72
2017-05-12,92.03,92.07,91.0,91.11,388499,91.11
2017-05-11,91.66,92.19,91.17,91.69,267785,91.69
2017-05-10,91.98,92.35,91.51,92.08,542401,92.08
2017-05-09,92.47,92.52,91.66,91.94,276103,91.94
2017-05-08,92.29,92.72,91.87,92.56,338653,92.56
2017-05-05,92.66,93.04,92.5,92.9,261453,92.9
2017-05-04,92.43,92.58,91.89,92.45,289293,92.45
2017-05-03,92.59,92.63,91.88,92.27,239518,92.27
2017-05-02,92.56,92.73,91.87,92.71,589465,92.71
2017-05-01,92.49,92.54,92.02,92.04,320545,92.04
2017-04-28,93.04,93.04,91.9,92.02,566902,92.02
2017-04-27,89.54,93.81,89.54,92.81,1030634,92.81
2017-04-26,90.22,90.4,88.71,89.51,678632,89.51
2017-04-25,90.2,90.49,90.0,90.25,284147,90.25
2017-04-24,90.65,90.95,90.12,90.51,422365,90.51
2017-04-21,89.51,90.11,89.42,89.98,473291,89.98
2017-04-20,88.84,89.92,88.48,89.77,659483,89.77
2017-04-19,88.83,89.01,88.35,88.61,298179,88.61
2017-04-18,87.79,88.73,87.53,88.71,365393,88.71
2017-04-17,87.87,88.23,87.62,88.22,222413,88.22
2017-04-13,87.92,88.35,87.49,87.5,485251,87.5
2017-04-12,89.24,89.24,87.89,87.99,350103,87.99
2017-04-11,88.73,89.24,88.53,89.0,438849,89.0
2017-04-10,87.92,88.68,87.63,88.56,364082,88.56
2017-04-07,88.31,88.48,87.63,87.65,406743,87.65
2017-04-06,88.38,88.38,87.59,88.08,340269,88.08
2017-04-05,87.85,88.66,87.42,88.25,721337,88.25
2017-04-04,87.45,88.09,87.45,87.86,277014,87.86
2017-04-03,88.24,88.57,87.66,87.71,401584,87.71
2017-03-31,87.77,88.5,87.72,88.22,514624,88.22
2017-03-30,87.59,87.9,87.57,87.86,297420,87.86
2017-03-29,86.74,87.69,86.72,87.63,545060,87.63
2017-03-28,85.7,87.0,85.64,86.97,431709,86.97
2017-03-27,85.91,86.33,85.22,86.04,488759,86.04
2017-03-24,87.13,87.13,85.97,86.01,354564,86.01
2017-03-23,86.62,87.16,86.49,86.87,476460,86.87
2017-03-22,86.38,86.75,86.11,86.68,502694,86.68
2017-03-21,87.92,88.16,86.04,86.42,413787,86.42
2017-03-20,87.68,88.0,87.44,87.48,276338,87.48
2017-03-17,87.31,87.85,87.31,87.6,462608,87.6
2017-03-16,87.83,87.88,86.61,86.84,352485,86.84
2017-03-15,86.77,87.59,86.77,87.39,554453,87.39
2017-03-14,87.34,87.34,86.64,86.77,270896,86.77
2017-03-13,87.01,87.57,86.73,87.35,787663,87.35
2017-03-10,86.77,87.19,86.35,87.05,515734,87.05
2017-03-09,86.18,86.61,85.86,86.33,870007,86.33
2017-03-08,86.93,86.97,86.31,86.38,688851,86.38
2017-03-07,87.33,87.43,86.98,87.08,651532,87.08
2017-03-06,87.59,88.0,87.1,87.22,549671,87.22
2017-03-03,87.7,88.31,87.51,87.78,803728,87.78
2017-03-02,87.72,88.59,87.67,88.11,501678,88.11
2017-03-01,87.52,88.29,87.16,88.09,1138465,88.09
2017-02-28,87.06,87.72,86.76,87.39,624006,87.39
2017-02-27,87.49,87.57,86.41,87.25,642084,87.25
2017-02-24,87.13,87.49,86.83,87.33,623130,87.33
2017-02-23,87.34,87.69,86.37,87.2,921506,87.2
2017-02-22,86.2,87.7,85.25,86.71,1802763,86.71
2017-02-21,83.42,84.45,83.34,84.35,606229,84.35
2017-02-17,82.87,83.7,81.93,83.6,586198,83.6
2017-02-16,82.48,82.97,81.71,82.77,596517,82.77
2017-02-15,81.27,82.7,81.24,82.62,1074794,82.62
2017-02-14,80.6,81.13,80.51,80.8,537372,80.8
2017-02-13,80.13,80.86,80.13,80.61,434615,80.61
2017-02-10,80.23,80.4,79.88,80.03,489362,80.03
2017-02-09,80.1,80.38,79.9,80.14,463602,80.14
2017-02-08,80.5,80.52,79.61,79.88,442528,79.88
2017-02-07,80.2,80.6,80.1,80.51,370589,80.51
2017-02-06,80.61,80.61,80.06,80.3,433359,80.3
2017-02-03,80.75,81.23,80.56,80.62,475499,80.62
2017-02-02,80.21,80.65,79.74,80.55,430342,80.55
2017-02-01,80.2,80.5,79.42,79.91,614039,79.91
2017-01-31,80.13,80.77,80.05,80.3,522302,80.3
2017-01-30,79.8,80.14,79.56,80.11,247084,80.11
2017-01-27,80.21,80.7,79.92,79.99,188229,79.99
2017-01-26,79.2,80.22,79.18,80.19,377927,80.19
2017-01-25,79.31,79.33,78.43,78.9,687485,78.9
2017-01-24,79.97,80.36,78.72,78.81,821911,78.81
2017-01-23,79.6,80.12,79.34,79.96,307843,79.96
2017-01-20,79.83,80.09,79.6,79.67,474734,79.67
2017-01-19,79.66,80.07,79.32,79.73,302365,79.73
2017-01-18,79.85,80.04,79.4,79.67,719218,79.67
2017-01-17,80.58,80.92,79.85,80.02,465278,80.02
2017-01-13,79.99,80.97,79.82,80.47,513668,80.47
2017-01-12,80.87,81.22,79.41,79.95,764969,79.95
2017-01-11,81.23,81.57,80.6,80.97,649502,80.97
2017-01-10,81.92,81.92,80.83,81.2,625192,81.2
2017-01-09,81.28,81.77,80.58,81.04,484501,81.04
2017-01-06,81.35,81.98,81.08,81.67,645298,81.67
2017-01-05,80.7,81.41,80.17,81.08,516547,81.08
2017-01-04,80.0,81.11,79.83,80.38,594045,80.38
