Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,51.32,52.03,51.24,51.81,14842271,51.81
2017-06-05,51.71,52.18,51.66,51.72,13663770,51.72
2017-06-02,51.67,52.24,51.53,51.81,19477314,51.81
2017-06-01,51.53,52.21,51.06,52.08,21001799,52.08
2017-05-31,52.23,52.25,50.83,51.14,30519660,51.14
2017-05-30,52.16,52.5,51.9,52.16,19379725,52.16
2017-05-26,52.63,52.81,52.37,52.41,14247740,52.41
2017-05-25,53.25,53.25,52.57,52.78,16643765,52.78
2017-05-24,53.49,53.61,52.8,53.09,11363414,53.09
2017-05-23,53.01,53.56,52.85,53.39,11751719,53.39
2017-05-22,53.27,53.32,52.5,53.01,13946952,53.01
2017-05-19,52.57,53.34,52.39,53.06,16894978,53.06
2017-05-18,52.31,52.96,51.95,52.38,19790140,52.38
2017-05-17,52.04,52.65,51.65,52.24,33173088,52.24
2017-05-16,53.4,53.44,52.95,53.26,12650066,53.26
2017-05-15,53.06,53.42,53.02,53.32,15245047,53.32
2017-05-12,53.3,53.32,52.54,53.02,29642325,53.02
2017-05-11,54.28,54.42,53.06,53.74,32200089,53.74
2017-05-10,54.43,54.91,54.36,54.72,15897244,54.72
2017-05-09,55.14,55.37,54.45,54.68,14402868,54.68
2017-05-08,55.12,55.29,54.75,55.04,14242805,55.04
2017-05-05,55.25,55.38,54.88,55.11,13078783,55.11
2017-05-04,55.27,55.6,54.87,55.18,17054067,55.18
2017-05-03,54.01,54.89,53.95,54.85,15737118,54.85
2017-05-02,54.46,54.61,54.06,54.54,15634864,54.54
2017-05-01,54.1,54.75,53.97,54.46,13915807,54.46
2017-04-28,54.33,54.58,53.73,53.84,16501919,53.84
2017-04-27,54.54,54.65,53.91,54.44,13978030,54.44
2017-04-26,54.6,55.07,54.36,54.54,15915542,54.54
2017-04-25,54.33,55.09,54.29,54.56,27061299,54.56
2017-04-24,54.15,54.34,53.59,53.65,23856688,53.65
2017-04-21,53.39,53.84,52.95,53.0,26177343,53.0
2017-04-20,52.72,53.59,52.43,53.5,31552904,53.5
2017-04-19,52.88,53.14,52.05,52.15,17414622,52.15
2017-04-18,52.36,52.66,52.09,52.45,22257525,52.45
2017-04-17,51.64,52.76,51.26,52.72,31959061,52.72
2017-04-13,51.8,52.75,51.35,51.35,47981952,51.35
2017-04-12,53.95,54.02,53.05,53.12,25601266,53.12
2017-04-11,54.23,54.26,53.26,54.16,28086812,54.16
2017-04-10,54.99,55.25,54.32,54.54,14607683,54.54
2017-04-07,54.94,55.31,54.61,54.84,15848831,54.84
2017-04-06,54.95,55.65,54.7,55.37,10387536,55.37
2017-04-05,55.79,56.2,54.93,54.98,17411708,54.98
2017-04-04,55.3,55.33,54.98,55.2,11937360,55.2
2017-04-03,55.7,55.82,54.79,55.49,14550739,55.49
2017-03-31,56.02,56.18,55.62,55.66,11864615,55.66
2017-03-30,55.68,56.43,55.61,56.24,12106538,56.24
2017-03-29,55.94,56.09,55.55,55.67,10329113,55.67
2017-03-28,55.35,56.25,55.24,55.96,14878890,55.96
2017-03-27,54.63,55.58,54.24,55.39,16854761,55.39
2017-03-24,55.5,56.05,55.22,55.83,21127464,55.83
2017-03-23,55.23,55.99,54.98,55.25,18999983,55.25
2017-03-22,55.53,55.57,54.85,55.33,27740860,55.33
2017-03-21,57.93,57.96,55.63,55.85,31766385,55.85
