Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,73.96,74.09,73.25,73.41,1772751,73.41
2017-06-05,74.03,74.5,73.73,73.91,1523934,73.91
2017-06-02,73.71,74.42,73.59,74.25,1857581,74.25
2017-06-01,72.96,73.5,72.72,73.46,1629965,73.46
2017-05-31,72.15,72.99,72.11,72.91,2364243,72.91
2017-05-30,71.78,72.25,71.62,72.14,1365824,72.14
2017-05-26,71.37,71.92,71.28,71.84,1076744,71.84
2017-05-25,71.49,71.74,71.34,71.57,1292050,71.57
2017-05-24,71.3,71.47,71.1,71.38,1521637,71.38
2017-05-23,71.13,71.5,70.72,71.02,1603256,71.02
2017-05-22,70.68,71.1,70.62,70.97,2345507,70.97
2017-05-19,70.88,70.99,70.08,70.5,3271872,70.5
2017-05-18,70.66,71.19,70.25,70.96,2235724,70.96
2017-05-17,71.0,71.23,70.68,70.73,1644709,70.73
2017-05-16,72.18,72.3,71.16,71.25,1898183,71.25
2017-05-15,71.85,72.27,71.58,72.17,1334723,72.17
2017-05-12,72.77,72.77,71.87,71.96,1223846,71.96
2017-05-11,72.85,72.91,72.41,72.55,1429139,72.55
2017-05-10,72.63,73.24,72.53,73.09,1457831,73.09
2017-05-09,73.11,73.44,72.53,72.76,1316485,72.76
2017-05-08,73.44,73.62,73.11,73.26,1210469,73.26
2017-05-05,73.03,73.43,72.93,73.39,903992,73.39
2017-05-04,73.05,73.13,72.63,72.95,1367350,72.95
2017-05-03,72.83,72.95,72.5,72.88,1351566,72.88
2017-05-02,73.21,73.29,72.56,72.86,1256340,72.86
2017-05-01,73.08,73.11,72.26,73.01,1720997,73.01
2017-04-28,72.78,73.1,72.56,72.78,1501037,72.78
2017-04-27,72.84,73.62,72.61,72.84,1663419,72.84
2017-04-26,74.08,74.27,72.16,72.3,2914740,72.3
2017-04-25,74.2,74.58,74.12,74.23,1616207,74.23
2017-04-24,73.82,74.2,73.72,74.1,1407814,74.1
2017-04-21,72.9,73.57,72.85,73.38,1356143,73.38
2017-04-20,72.87,72.97,72.7,72.84,1138327,72.84
2017-04-19,72.61,72.85,72.49,72.71,1430411,72.71
2017-04-18,72.4,72.55,72.23,72.45,1322130,72.45
2017-04-17,72.22,72.71,72.22,72.5,1241108,72.5
2017-04-13,72.12,72.38,71.91,72.02,1927456,72.02
2017-04-12,72.71,72.82,72.15,72.3,1551509,72.3
2017-04-11,72.88,72.97,72.51,72.87,1212117,72.87
2017-04-10,73.11,73.24,72.76,72.89,1226932,72.89
2017-04-07,73.19,73.52,73.05,73.21,1175032,73.21
2017-04-06,73.15,73.26,72.74,73.09,1257094,73.09
2017-04-05,72.78,73.73,72.78,73.27,1559183,73.27
2017-04-04,72.67,72.92,72.43,72.53,2316324,72.53
2017-04-03,73.08,73.09,72.5,72.59,1528701,72.59
2017-03-31,72.72,73.14,72.68,72.92,1330977,72.92
2017-03-30,72.19,72.94,72.15,72.93,1352056,72.93
2017-03-29,71.85,72.43,71.82,72.15,1768501,72.15
2017-03-28,71.62,72.46,71.53,72.34,1619799,72.34
2017-03-27,72.18,72.18,71.56,71.88,1624514,71.88
2017-03-24,72.6,72.87,72.15,72.32,1577953,72.32
2017-03-23,72.56,72.89,72.46,72.56,1213824,72.56
2017-03-22,72.78,72.95,72.54,72.65,1399219,72.65
