Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,79.43,79.56,78.26,78.93,11512193,78.93
2017-06-05,79.6,80.48,79.48,80.26,10145727,80.26
2017-06-02,79.8,79.93,79.22,79.62,7996466,79.62
2017-06-01,78.64,79.81,78.6,79.81,8153099,79.81
2017-05-31,78.35,78.92,78.22,78.6,8201738,78.6
2017-05-30,78.0,78.4,77.93,78.15,5410351,78.15
2017-05-26,78.37,78.54,77.79,78.13,6125781,78.13
2017-05-25,78.36,78.85,78.15,78.31,6134952,78.31
2017-05-24,78.56,78.61,78.14,78.15,7503976,78.15
2017-05-23,78.58,78.97,78.44,78.49,7584938,78.49
2017-05-22,78.65,79.0,78.3,78.55,8897554,78.55
2017-05-19,77.97,79.44,77.77,78.77,18581717,78.77
2017-05-18,76.89,77.66,76.13,77.54,19166801,77.54
2017-05-17,75.05,75.73,74.96,75.12,10970970,75.12
2017-05-16,76.19,76.27,75.08,75.11,8371802,75.11
2017-05-15,75.8,76.47,75.8,76.29,8843873,76.29
2017-05-12,75.95,76.25,75.37,75.71,5892910,75.71
2017-05-11,76.35,76.72,75.92,76.13,8349403,76.13
2017-05-10,76.33,76.78,76.19,76.7,7511921,76.7
2017-05-09,76.44,77.05,76.33,76.72,8255282,76.72
2017-05-08,76.5,76.52,76.07,76.12,6512180,76.12
2017-05-05,76.42,76.6,76.18,76.5,5597759,76.5
2017-05-04,75.93,76.4,75.83,76.34,5500802,76.34
2017-05-03,75.4,75.88,75.18,75.76,5523624,75.76
2017-05-02,75.3,75.71,75.25,75.52,7318362,75.52
2017-05-01,75.09,75.72,75.09,75.23,6165912,75.23
2017-04-28,75.24,75.44,74.93,75.18,7330420,75.18
2017-04-27,75.54,75.7,75.02,75.44,6052219,75.44
2017-04-26,75.27,75.77,75.17,75.43,6948460,75.43
2017-04-25,74.97,75.17,74.86,75.05,5720364,75.05
2017-04-24,75.08,75.4,74.42,74.78,7812524,74.78
2017-04-21,74.74,75.11,74.6,74.94,5755691,74.94
2017-04-20,74.14,75.11,74.11,74.8,7681252,74.8
2017-04-19,74.1,74.38,73.86,74.07,5940609,74.07
2017-04-18,73.54,74.1,73.48,73.89,6627986,73.89
2017-04-17,73.16,73.58,73.15,73.49,5465408,73.49
2017-04-13,73.37,73.66,73.15,73.15,5336428,73.15
2017-04-12,73.55,73.83,73.25,73.44,6627297,73.44
2017-04-11,73.0,73.45,72.93,73.43,5810458,73.43
2017-04-10,72.99,73.48,72.73,73.06,7495948,73.06
2017-04-07,72.1,72.99,71.8,72.9,10768016,72.9
2017-04-06,71.7,72.1,71.38,71.43,5941103,71.43
2017-04-05,71.64,72.31,71.56,71.65,6354492,71.65
2017-04-04,71.74,72.06,71.53,72.01,5567317,72.01
2017-04-03,72.08,72.53,71.78,71.83,8291283,71.83
2017-03-31,71.32,72.56,71.23,72.08,9939780,72.08
2017-03-30,70.69,71.72,70.64,71.59,8141535,71.59
2017-03-29,70.35,71.18,70.31,70.74,6991046,70.74
2017-03-28,69.33,70.37,69.33,70.32,7252189,70.32
2017-03-27,69.52,70.07,69.36,69.66,5792586,69.66
2017-03-24,69.99,70.17,69.53,69.61,5858968,69.61
2017-03-23,70.2,70.31,69.74,69.86,6898774,69.86
2017-03-22,70.03,70.34,69.72,70.25,6455594,70.25
2017-03-21,70.17,70.4,69.69,69.9,8746812,69.9
2017-03-20,70.14,70.45,69.71,69.98,7466226,69.98
