Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,42.68,43.85,42.47,43.0,961358,43.0
2017-06-05,43.45,43.91,42.45,42.83,1167007,42.83
2017-06-02,44.05,44.38,43.15,43.41,1676322,43.41
2017-06-01,43.0,44.46,42.82,44.15,1833786,44.15
2017-05-31,44.0,44.31,42.75,43.0,1847414,43.0
2017-05-30,45.32,45.6,43.31,44.17,1469141,44.17
2017-05-26,46.27,46.42,44.68,45.3,1048045,45.3
2017-05-25,46.0,47.38,44.1,45.9,4754905,45.9
2017-05-24,43.85,45.0,43.06,44.02,2075375,44.02
2017-05-23,43.8,44.17,42.83,43.66,1865360,43.66
2017-05-22,42.21,44.49,42.2,43.64,1900521,43.64
2017-05-19,40.87,42.28,40.87,42.12,1141309,42.12
2017-05-18,41.88,42.22,39.68,40.63,3381052,40.63
2017-05-17,43.0,43.55,42.43,42.54,780585,42.54
2017-05-16,42.94,43.74,42.9,43.3,1194591,43.3
2017-05-15,43.19,43.44,42.73,42.76,1044004,42.76
2017-05-12,43.0,43.51,42.25,43.2,657464,43.2
2017-05-11,43.36,43.67,42.57,43.05,855330,43.05
2017-05-10,42.65,44.07,42.41,43.42,1097636,43.42
2017-05-09,42.34,43.16,42.2,42.49,1242361,42.49
2017-05-08,41.6,42.35,41.46,42.16,1182588,42.16
2017-05-05,41.65,41.66,41.11,41.4,607880,41.4
2017-05-04,40.52,42.0,40.5,41.57,1802791,41.57
2017-05-03,40.3,40.71,40.1,40.62,987491,40.62
2017-05-02,39.62,40.96,39.5,40.76,1498803,40.76
2017-05-01,39.63,39.84,39.4,39.59,335767,39.59
2017-04-28,39.39,39.7,38.75,39.58,448308,39.58
2017-04-27,39.28,39.86,39.06,39.37,397269,39.37
2017-04-26,39.48,39.78,38.9,39.03,469615,39.03
2017-04-25,39.0,40.0,38.86,39.48,824118,39.48
2017-04-24,38.68,39.14,38.51,38.96,632273,38.96
2017-04-21,38.31,39.04,38.27,38.4,455303,38.4
2017-04-20,37.32,39.39,37.32,38.37,2337839,38.37
2017-04-19,35.56,37.42,35.56,37.12,887252,37.12
2017-04-18,36.88,36.88,34.84,35.53,1027324,35.53
2017-04-17,36.19,36.87,35.92,36.22,627109,36.22
2017-04-13,36.24,36.71,36.06,36.11,389983,36.11
2017-04-12,37.1,37.24,36.02,36.22,703156,36.22
2017-04-11,37.57,37.89,37.07,37.36,688447,37.36
2017-04-10,36.72,38.15,36.71,37.43,1565210,37.43
2017-04-07,36.06,37.09,35.93,36.76,560388,36.76
2017-04-06,36.17,36.83,35.84,36.16,370159,36.16
2017-04-05,36.34,36.94,35.93,36.06,750169,36.06
2017-04-04,35.98,36.3,35.6,36.27,408732,36.27
2017-04-03,35.5,37.0,35.43,36.07,821734,36.07
2017-03-31,36.06,36.06,34.55,35.39,1550114,35.39
2017-03-30,36.96,37.05,35.98,36.14,1345688,36.14
2017-03-29,37.12,37.35,36.73,36.95,665142,36.95
2017-03-28,37.03,37.79,36.92,37.03,745587,37.03
2017-03-27,36.78,37.24,36.0,37.07,1088848,37.07
2017-03-24,37.13,38.0,36.96,37.31,1294298,37.31
2017-03-23,37.39,37.72,37.16,37.27,695931,37.27
2017-03-22,37.08,37.76,36.92,37.57,749559,37.57
2017-03-21,37.75,37.95,36.69,37.19,945477,37.19
2017-03-20,37.22,38.13,36.82,37.8,850541,37.8
2017-03-17,37.31,37.32,36.7,37.09,1412185,37.09
2017-03-16,37.74,37.92,37.09,37.45,1093887,37.45
2017-03-15,37.7,37.92,36.96,37.57,846830,37.57
2017-03-14,37.58,37.76,37.04,37.6,1009734,37.6
2017-03-13,37.82,38.2,37.42,37.82,863082,37.82
2017-03-10,37.54,38.22,37.29,37.77,718990,37.77
2017-03-09,37.08,37.86,37.03,37.48,719890,37.48
2017-03-08,36.45,38.95,36.45,37.41,2556888,37.41
2017-03-07,36.01,36.73,35.8,36.57,3327102,36.57
2017-03-06,35.8,36.24,35.27,35.95,1008210,35.95
2017-03-03,36.08,36.53,35.43,35.89,947586,35.89
2017-03-02,36.75,37.04,36.22,36.27,846820,36.27
2017-03-01,36.9,37.16,35.7,37.04,1881023,37.04
2017-02-28,33.26,37.98,33.2,36.6,4946632,36.6
2017-02-27,31.62,32.64,31.41,32.49,817700,32.49
2017-02-24,31.84,32.46,30.48,31.97,1225200,31.97
2017-02-23,33.01,33.23,32.51,32.68,749527,32.68
2017-02-22,32.34,33.31,32.34,32.84,1461100,32.84
2017-02-21,32.14,32.67,31.81,32.52,1496118,32.52
2017-02-17,33.13,33.13,32.17,32.22,1398398,32.22
2017-02-16,34.79,35.25,32.9,33.7,2401537,33.7
2017-02-15,34.66,35.3,34.03,34.79,1728069,34.79
2017-02-14,32.72,34.58,32.28,34.58,3341342,34.58
2017-02-13,32.84,33.28,32.49,32.72,2458175,32.72
2017-02-10,33.58,33.66,31.86,32.91,3061549,32.91
2017-02-09,30.67,34.04,30.41,33.58,5627176,33.58
2017-02-08,29.2,30.97,28.88,30.79,2581516,30.79
2017-02-07,28.13,29.72,28.13,29.05,2332962,29.05
2017-02-06,28.0,28.06,27.58,28.0,488513,28.0
2017-02-03,28.25,28.45,27.73,28.0,637381,28.0
2017-02-02,28.91,28.94,28.17,28.18,544148,28.18
2017-02-01,29.19,29.61,28.99,28.99,794590,28.99
2017-01-31,28.45,29.21,28.02,29.18,976513,29.18
2017-01-30,29.02,29.2,28.36,28.46,969448,28.46
2017-01-27,29.45,29.64,29.04,29.21,459448,29.21
2017-01-26,29.52,29.77,29.11,29.38,883348,29.38
2017-01-25,29.27,30.09,29.16,29.49,1276451,29.49
2017-01-24,28.84,29.23,28.68,29.12,757266,29.12
2017-01-23,28.97,29.24,28.52,28.87,575053,28.87
2017-01-20,29.5,29.5,28.2,28.92,895773,28.92
2017-01-19,29.51,29.58,28.91,29.51,846686,29.51
2017-01-18,30.1,30.1,29.2,29.56,2571876,29.56
2017-01-17,30.0,30.0,29.33,29.95,865413,29.95
2017-01-13,30.07,30.42,29.84,30.16,576722,30.16
2017-01-12,29.95,30.19,29.23,30.05,427034,30.05
2017-01-11,30.11,30.19,29.25,29.92,501819,29.92
2017-01-10,30.34,30.97,29.92,30.48,713474,30.48
2017-01-09,29.68,30.45,29.28,30.19,628087,30.19
2017-01-06,29.92,30.27,29.65,29.85,530453,29.85
2017-01-05,29.04,30.28,28.99,29.97,1588837,29.97
2017-01-04,28.36,28.92,28.36,28.65,857920,28.65
2017-01-03,28.34,29.02,28.1,28.17,645665,28.17
2016-12-30,28.01,28.13,27.74,28.0,605755,28.0
2016-12-29,28.19,28.22,27.72,27.94,654755,27.94
2016-12-28,29.35,29.47,27.8,28.18,1351709,28.18
2016-12-27,28.73,29.62,28.66,29.19,1476281,29.19
2016-12-23,28.91,29.55,28.54,28.76,1495658,28.76
2016-12-22,29.0,29.59,28.77,28.89,504753,28.89
2016-12-21,29.35,30.4,29.1,29.14,1121533,29.14
2016-12-20,30.01,30.01,28.89,29.1,1705115,29.1
2016-12-19,30.35,30.82,29.72,29.86,1757279,29.86
2016-12-16,30.84,32.16,30.3,30.43,2472608,30.43
2016-12-15,31.0,31.39,30.25,30.81,2204047,30.81
2016-12-14,32.5,32.68,31.22,31.4,2017817,31.4
2016-12-13,32.16,33.27,32.11,32.5,1317308,32.5
2016-12-12,33.0,33.19,31.63,32.07,1661793,32.07
2016-12-09,33.48,33.89,32.88,33.37,1201123,33.37
2016-12-08,32.58,33.57,32.5,33.5,522376,33.5
2016-12-07,31.87,32.71,31.74,32.58,676370,32.58
2016-12-06,31.7,31.93,31.48,31.81,645732,31.81
2016-12-05,30.38,31.79,30.27,31.59,955759,31.59
2016-12-02,30.3,30.83,30.14,30.39,1232590,30.39
2016-12-01,31.98,32.24,30.26,30.38,2537568,30.38
2016-11-30,32.98,32.99,31.96,32.07,2204938,32.07
2016-11-29,33.59,33.76,32.6,32.77,1369645,32.77
2016-11-28,34.14,34.98,33.33,33.7,1307609,33.7
2016-11-25,33.67,34.6,33.36,34.18,1086021,34.18
2016-11-23,32.35,33.64,32.2,33.58,1426894,33.58
2016-11-22,31.6,32.66,31.5,32.49,1501836,32.49
2016-11-21,31.41,31.44,30.66,31.32,843977,31.32
2016-11-18,31.34,31.86,31.06,31.3,3154242,31.3
2016-11-17,31.61,31.73,31.06,31.27,1244410,31.27
2016-11-16,31.09,32.42,30.9,31.39,2367088,31.39
2016-11-15,32.34,32.65,31.15,31.22,1632205,31.22
2016-11-14,32.59,33.29,31.18,31.93,3075370,31.93
2016-11-11,33.44,33.61,31.74,32.5,4173132,32.5
2016-11-10,34.91,36.04,33.13,33.35,8728146,33.35
2016-11-09,40.02,41.31,39.8,40.2,2369875,40.2
2016-11-08,42.63,42.92,41.9,41.91,1380305,41.91
2016-11-07,42.34,42.88,41.52,42.8,1397851,42.8
2016-11-04,41.45,41.89,41.2,41.52,938300,41.52
2016-11-03,41.81,42.07,41.32,41.57,1012364,41.57
2016-11-02,41.9,41.92,41.22,41.85,841903,41.85
2016-11-01,41.96,42.14,41.5,41.91,645141,41.91
2016-10-31,42.49,42.49,41.46,41.85,1091173,41.85
2016-10-28,43.17,44.1,42.62,42.65,380107,42.65
2016-10-27,43.35,43.37,42.7,42.99,658332,42.99
2016-10-26,44.17,44.17,43.24,43.39,565415,43.39
2016-10-25,44.5,44.55,43.7,44.14,999171,44.14
2016-10-24,45.0,45.13,44.16,44.55,786211,44.55
2016-10-21,44.23,44.86,43.86,44.85,611308,44.85
2016-10-20,44.66,44.78,44.1,44.55,589181,44.55
2016-10-19,45.15,45.15,44.06,44.88,821833,44.88
2016-10-18,45.87,45.9,44.8,44.8,2219522,44.8
2016-10-17,45.62,46.01,45.0,45.08,544129,45.08
2016-10-14,45.67,46.39,45.11,45.62,512084,45.62
2016-10-13,45.61,45.79,44.3,45.11,851416,45.11
2016-10-12,46.86,46.96,46.03,46.09,658281,46.09
2016-10-11,48.0,48.33,46.46,46.85,1487477,46.85
2016-10-10,47.95,48.45,47.66,48.11,590478,48.11
2016-10-07,47.43,48.25,47.2,47.87,919745,47.87
2016-10-06,47.93,47.93,47.26,47.74,435915,47.74
2016-10-05,48.5,48.58,47.95,48.0,711179,48.0
2016-10-04,48.5,48.5,46.91,47.52,1130687,47.52
2016-10-03,47.66,48.51,47.59,48.42,459768,48.42
2016-09-30,47.91,48.43,47.55,47.66,592106,47.66
2016-09-29,48.9,49.08,47.06,47.52,961269,47.52
2016-09-28,49.32,49.81,48.39,49.04,1116748,49.04
2016-09-27,48.87,49.5,48.54,48.79,1029396,48.79
2016-09-26,49.21,49.5,48.34,48.55,1351277,48.55
2016-09-23,50.27,50.51,49.24,49.47,3023127,49.47
2016-09-22,49.34,50.99,48.93,50.75,1951539,50.75
2016-09-21,48.67,49.5,48.4,49.36,1280561,49.36
2016-09-20,46.32,48.5,46.15,48.3,1476349,48.3
2016-09-19,45.65,46.78,45.57,46.05,845594,46.05
2016-09-16,44.67,45.94,44.32,45.52,1717125,45.52
2016-09-15,45.14,45.14,43.98,44.16,2538456,44.16
2016-09-14,46.53,46.63,44.78,45.0,1690241,45.0
2016-09-13,46.84,47.66,45.75,46.58,789777,46.58
2016-09-12,45.63,47.5,45.09,47.36,1153020,47.36
2016-09-09,48.81,48.81,46.6,46.6,1229637,46.6
2016-09-08,49.43,50.18,49.22,49.25,1206412,49.25
2016-09-07,50.29,50.68,49.36,49.64,1974604,49.64
2016-09-06,46.83,50.42,46.83,50.31,3201381,50.31
2016-09-02,46.1,47.56,46.02,47.17,1482787,47.17
2016-09-01,45.22,46.31,45.09,46.19,1314565,46.19
2016-08-31,46.11,46.47,45.04,45.5,812578,45.5
2016-08-30,46.23,46.86,46.06,46.1,1051679,46.1
2016-08-29,46.31,46.97,46.12,46.17,1125026,46.17
2016-08-26,46.6,46.98,46.01,46.3,1004153,46.3
2016-08-25,46.22,47.16,46.2,46.54,1589777,46.54
2016-08-24,46.76,47.0,46.02,46.23,1438116,46.23
2016-08-23,47.07,47.43,46.67,46.82,1546394,46.82
2016-08-22,47.7,47.96,46.86,46.97,2755370,46.97
2016-08-19,46.03,48.48,46.03,48.12,4265217,48.12
2016-08-18,49.45,49.59,45.41,46.03,10452318,46.03
2016-08-17,54.0,54.25,53.52,53.7,3025775,53.7
2016-08-16,53.75,54.23,53.34,53.96,2253177,53.96
2016-08-15,54.0,55.09,53.68,53.74,1973611,53.74
2016-08-12,53.06,54.35,52.65,53.7,1915429,53.7
2016-08-11,53.67,53.67,52.45,53.28,3550673,53.28
2016-08-10,54.17,54.17,52.4,52.52,872909,52.52
2016-08-09,54.5,55.28,53.72,53.96,1429399,53.96
2016-08-08,54.0,54.8,53.81,54.7,1099489,54.7
2016-08-05,52.68,53.2,52.45,53.15,435978,53.15
2016-08-04,52.21,52.97,51.94,52.15,1109962,52.15
2016-08-03,51.21,52.37,51.0,52.29,542440,52.29
2016-08-02,51.8,51.92,50.48,51.35,888227,51.35
2016-08-01,52.01,52.93,51.56,51.76,1771703,51.76
2016-07-29,51.0,52.09,50.23,52.01,1379885,52.01
2016-07-28,51.0,51.5,50.53,51.32,1548818,51.32
2016-07-27,51.57,51.57,50.41,51.1,1235984,51.1
2016-07-26,49.84,51.91,48.84,51.57,2150066,51.57
2016-07-25,49.15,49.87,48.45,49.84,925649,49.84
2016-07-22,49.6,49.6,48.72,49.21,729008,49.21
2016-07-21,48.12,49.7,47.69,49.25,1558493,49.25
2016-07-20,48.0,48.31,47.43,48.17,848952,48.17
2016-07-19,47.39,47.64,47.16,47.42,493272,47.42
2016-07-18,47.97,48.02,47.55,47.76,1009180,47.76
2016-07-15,48.03,48.47,47.73,48.03,1144140,48.03
2016-07-14,47.79,48.35,47.46,48.03,945997,48.03
2016-07-13,48.14,48.5,46.92,47.17,736483,47.17
2016-07-12,47.45,48.87,47.3,48.01,2547017,48.01
2016-07-11,46.62,47.42,46.62,47.05,844799,47.05
2016-07-08,45.81,47.08,45.27,46.74,3525467,46.74
2016-07-07,46.27,46.65,45.19,45.34,1183508,45.34
2016-07-06,47.25,47.3,45.74,45.97,1502530,45.97
2016-07-05,47.0,47.67,46.4,47.52,874127,47.52
2016-07-01,45.95,47.41,45.93,47.0,722017,47.0
2016-06-30,45.84,46.43,45.5,45.89,931660,45.89
2016-06-29,46.0,46.47,45.51,45.92,2766884,45.92
2016-06-28,44.98,46.2,44.87,45.64,744400,45.64
2016-06-27,46.01,46.21,43.94,44.16,1944333,44.16
2016-06-24,44.3,46.94,44.13,46.08,1007232,46.08
2016-06-23,45.39,46.65,45.39,46.63,736057,46.63
2016-06-22,45.72,45.91,44.85,45.25,978633,45.25
2016-06-21,46.33,46.59,45.04,45.4,2143304,45.4
2016-06-20,46.22,46.85,45.98,46.07,739217,46.07
2016-06-17,45.84,46.06,45.28,45.42,979083,45.42
2016-06-16,46.66,46.66,44.87,45.81,855537,45.81
2016-06-15,46.7,47.45,45.8,46.98,1139048,46.98
2016-06-14,46.47,46.94,46.04,46.29,1072796,46.29
2016-06-13,46.0,47.3,45.94,46.44,1318045,46.44
2016-06-10,47.0,47.4,46.28,46.55,920568,46.55
2016-06-09,48.22,48.28,47.32,47.47,941889,47.47
2016-06-08,48.66,49.3,47.81,48.32,1331811,48.32
2016-06-07,49.6,49.76,48.53,48.83,1301244,48.83
2016-06-06,50.9,51.14,48.88,49.35,2653535,49.35
2016-06-03,53.57,53.92,50.18,50.61,1976471,50.61
2016-06-02,52.5,54.67,51.18,53.5,4564938,53.5
2016-06-01,53.73,54.14,51.72,52.1,2421357,52.1
2016-05-31,54.63,54.9,52.63,54.05,7063447,54.05
2016-05-27,53.2,54.5,52.75,53.71,1101826,53.71
2016-05-26,51.3,53.27,50.75,53.21,1582227,53.21
2016-05-25,50.56,51.94,49.98,51.87,1412922,51.87
2016-05-24,49.69,50.85,49.69,50.28,1103490,50.28
2016-05-23,48.24,49.94,48.17,49.42,791654,49.42
2016-05-20,49.06,49.71,48.5,48.65,749607,48.65
2016-05-19,49.9,50.75,48.52,49.01,1712687,49.01
2016-05-18,50.98,51.52,49.79,50.16,1464914,50.16
2016-05-17,51.22,51.98,50.91,51.28,873253,51.28
2016-05-16,50.93,51.64,50.51,51.2,480913,51.2
2016-05-13,50.84,51.88,50.43,50.5,1189362,50.5
2016-05-12,51.09,51.43,49.92,50.43,994434,50.43
2016-05-11,50.67,51.46,50.67,50.88,526128,50.88
2016-05-10,50.76,51.16,50.2,51.03,792612,51.03
2016-05-09,51.44,52.21,50.37,50.48,1188143,50.48
2016-05-06,52.1,52.71,51.62,51.78,810015,51.78
2016-05-05,52.69,53.67,51.96,52.29,1031735,52.29
2016-05-04,51.39,52.44,51.01,52.12,1051141,52.12
2016-05-03,52.8,53.09,50.95,51.58,1729494,51.58
2016-05-02,54.16,54.64,53.39,53.4,930494,53.4
2016-04-29,55.36,55.43,54.15,54.65,1084364,54.65
2016-04-28,55.2,55.7,54.59,55.0,1559998,55.0
2016-04-27,55.52,55.76,54.57,55.15,2205311,55.15
2016-04-26,55.98,56.03,55.21,55.66,843500,55.66
2016-04-25,56.01,56.59,55.04,55.93,671273,55.93
2016-04-22,54.59,56.87,53.96,56.7,1979748,56.7
2016-04-21,56.0,56.59,54.65,54.8,3324185,54.8
2016-04-20,55.2,56.96,55.07,56.35,2942494,56.35
2016-04-19,58.8,59.0,54.29,54.94,1655770,54.94
2016-04-18,57.82,59.88,57.57,58.62,770780,58.62
2016-04-15,59.69,59.76,57.79,58.29,1033680,58.29
2016-04-14,58.05,61.59,57.58,60.79,1554374,60.79
2016-04-13,57.75,59.94,57.12,58.09,1596051,58.09
2016-04-12,56.91,57.3,55.84,56.98,528645,56.98
2016-04-11,57.96,58.45,56.8,57.05,536685,57.05
2016-04-08,56.29,58.76,56.29,57.68,937117,57.68
2016-04-07,55.96,56.67,55.01,55.69,389734,55.69
2016-04-06,55.0,56.61,54.52,56.19,618627,56.19
2016-04-05,55.86,56.39,54.51,54.77,551025,54.77
2016-04-04,55.09,57.02,54.82,56.6,513987,56.6
2016-04-01,54.9,55.43,54.57,54.89,680608,54.89
2016-03-31,55.15,56.75,54.59,55.65,544608,55.65
2016-03-30,56.9,57.38,54.82,55.15,876007,55.15
2016-03-29,53.9,56.74,53.81,56.52,945543,56.52
2016-03-28,56.68,56.68,53.5,53.9,747759,53.9
2016-03-24,56.25,56.76,55.28,56.48,518280,56.48
2016-03-23,58.07,58.07,55.98,56.52,584936,56.52
2016-03-22,57.72,58.32,57.67,57.86,493445,57.86
2016-03-21,58.35,59.65,57.34,58.09,549793,58.09
2016-03-18,57.97,58.64,56.01,58.37,716253,58.37
2016-03-17,55.82,57.12,54.98,55.82,631352,55.82
2016-03-16,55.21,56.57,55.21,55.86,771080,55.86
2016-03-15,56.88,57.17,54.99,55.47,565203,55.47
2016-03-14,59.15,60.1,57.01,57.15,683695,57.15
2016-03-11,56.36,59.63,56.36,59.36,896065,59.36
2016-03-10,55.8,57.3,54.97,56.03,696502,56.03
2016-03-09,55.45,56.16,54.83,55.74,743254,55.74
2016-03-08,56.04,56.29,54.78,55.03,716451,55.03
2016-03-07,55.55,56.72,55.0,56.29,1064440,56.29
2016-03-04,54.47,56.5,53.84,55.7,625331,55.7
2016-03-03,54.5,54.73,53.35,54.25,507207,54.25
2016-03-02,52.18,56.69,52.18,54.75,1229837,54.75
2016-03-01,53.93,54.57,52.6,53.0,752834,53.0
2016-02-29,53.35,54.15,51.7,53.0,884937,53.0
2016-02-26,54.69,55.7,52.0,53.89,1188553,53.89
2016-02-25,54.47,54.83,52.8,53.75,904131,53.75
2016-02-24,54.35,55.69,52.37,55.36,919970,55.36
2016-02-23,56.0,56.86,54.45,54.77,721820,54.77
2016-02-22,54.5,56.64,54.5,56.13,1004860,56.13
2016-02-19,51.54,53.91,51.41,53.83,788654,53.83
2016-02-18,52.23,53.22,51.17,51.71,840458,51.71
2016-02-17,50.29,53.06,49.59,52.09,935120,52.09
2016-02-16,46.69,50.61,46.21,49.8,1677055,49.8
2016-02-12,44.61,44.82,42.57,44.28,1885654,44.28
2016-02-11,44.61,45.12,43.05,43.96,1490281,43.96
2016-02-10,47.61,48.18,44.08,45.65,1753878,45.65
2016-02-09,47.65,50.42,45.91,46.84,1166616,46.84
2016-02-08,49.23,49.96,47.35,48.53,1641590,48.53
2016-02-05,54.72,55.49,50.6,51.07,1180868,51.07
