Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,65.17,66.09,65.02,65.98,14498362,65.98
2017-06-05,64.89,65.45,64.87,65.21,12552466,65.21
2017-06-02,65.55,65.57,64.81,65.09,16542548,65.09
2017-06-01,65.47,66.09,65.26,65.85,17983673,65.85
2017-05-31,65.2,65.64,65.1,65.44,16093028,65.44
2017-05-30,66.26,66.26,65.69,65.72,14529107,65.72
2017-05-26,66.5,66.67,66.18,66.61,13199144,66.61
2017-05-25,67.56,68.23,66.26,66.5,23329248,66.5
2017-05-24,68.01,68.22,67.42,67.73,13591535,67.73
2017-05-23,68.11,68.18,67.73,68.09,9086831,68.09
2017-05-22,68.44,68.48,67.69,67.93,10339245,67.93
2017-05-19,67.58,68.22,67.42,68.08,15624505,68.08
2017-05-18,66.97,67.58,66.72,67.25,14114950,67.25
2017-05-17,67.54,68.12,67.24,67.27,15606751,67.27
2017-05-16,68.6,68.6,67.7,67.94,11693390,67.94
2017-05-15,68.76,68.87,68.06,68.28,13206867,68.28
2017-05-12,67.93,68.06,67.55,67.75,10708604,67.75
2017-05-11,68.36,68.48,67.88,67.98,11968679,67.98
2017-05-10,67.62,68.44,67.56,68.12,18259170,68.12
2017-05-09,67.93,67.93,67.02,67.23,10719714,67.23
2017-05-08,67.3,67.91,67.24,67.79,18948732,67.79
2017-05-05,66.3,67.42,66.26,67.31,18743753,67.31
2017-05-04,67.03,67.11,65.83,66.26,33944538,66.26
2017-05-03,67.16,67.82,66.97,67.5,16934781,67.5
2017-05-02,67.79,68.01,67.03,67.31,16435642,67.31
2017-05-01,67.82,68.0,67.5,67.65,9419426,67.65
2017-04-28,68.37,68.49,67.74,67.84,14425964,67.84
2017-04-27,68.01,68.08,67.12,67.79,20547721,67.79
2017-04-26,68.45,69.47,68.42,68.54,18737578,68.54
2017-04-25,68.36,68.93,68.15,68.77,15590964,68.77
2017-04-24,68.29,68.47,67.98,68.19,13350678,68.19
2017-04-21,67.84,68.13,67.45,67.79,14116058,67.79
2017-04-20,68.0,68.63,67.93,68.13,16235421,68.13
2017-04-19,68.98,69.11,67.62,67.8,18125404,67.8
2017-04-18,69.15,69.61,68.66,68.81,14750282,68.81
2017-04-17,69.29,69.53,69.12,69.46,8012191,69.46
2017-04-13,70.54,70.59,69.15,69.31,17655959,69.31
2017-04-12,70.97,71.42,70.38,70.6,11453569,70.6
2017-04-11,71.0,71.03,70.14,70.9,13891468,70.9
2017-04-10,70.75,71.21,70.6,70.89,10820941,70.89
2017-04-07,70.67,70.86,70.25,70.36,12580298,70.36
2017-04-06,70.35,70.83,70.16,70.63,13124705,70.63
2017-04-05,70.88,71.49,69.96,70.07,22733722,70.07
2017-04-04,69.93,70.34,69.26,70.29,12973967,70.29
2017-04-03,70.01,70.06,69.08,69.78,13133305,69.78
2017-03-31,69.91,70.34,69.58,69.9,19861199,69.9
2017-03-30,70.6,70.77,69.96,70.14,15912323,70.14
2017-03-29,69.2,70.28,69.01,70.16,18575200,70.16
2017-03-28,68.34,69.38,68.18,69.21,27922593,69.21
2017-03-27,67.91,68.43,67.86,68.24,11491252,68.24
2017-03-24,68.93,69.08,68.43,68.56,10442476,68.56
2017-03-23,68.91,69.42,68.76,68.83,11800443,68.83
2017-03-22,69.0,69.43,68.72,69.11,12419612,69.11
2017-03-21,70.03,70.08,68.95,69.21,16717185,69.21
2017-03-20,69.57,69.85,69.15,69.75,12218665,69.75
2017-03-17,70.14,70.29,69.8,69.8,14243909,69.8
2017-03-16,70.92,70.92,70.07,70.27,16277545,70.27
2017-03-15,69.81,70.93,69.48,70.77,23205014,70.77
2017-03-14,69.48,69.49,68.62,69.23,26384761,69.23
2017-03-13,69.94,70.36,69.78,70.02,13078803,70.02
2017-03-10,70.56,70.65,69.6,70.01,17479266,70.01
2017-03-09,69.3,70.15,68.89,70.11,27770650,70.11
2017-03-08,71.22,71.64,69.62,69.65,25566236,69.65
2017-03-07,72.41,72.43,71.42,71.51,11461751,71.51
2017-03-06,71.87,72.25,71.59,72.15,8374749,72.15
2017-03-03,72.24,72.51,71.82,71.99,11166488,71.99
2017-03-02,72.45,72.81,72.09,72.12,10770279,72.12
2017-03-01,72.04,73.14,71.99,72.81,18997571,72.81
2017-02-28,71.39,71.72,71.18,71.38,14018447,71.38
2017-02-27,71.06,71.91,70.94,71.6,23686442,71.6
2017-02-24,71.14,71.41,70.63,70.99,13997642,70.99
2017-02-23,72.16,72.28,71.21,71.66,17390145,71.66
2017-02-22,72.12,72.2,71.3,71.36,11539405,71.36
2017-02-21,72.65,72.85,72.35,72.46,11802519,72.46
2017-02-17,72.0,72.21,71.74,71.97,11645027,71.97
2017-02-16,73.44,73.54,72.26,72.37,11375435,72.37
2017-02-15,73.44,73.76,73.13,73.37,8926600,73.37
2017-02-14,73.63,73.69,72.74,73.66,10771687,73.66
2017-02-13,73.13,73.45,72.99,73.42,7984938,73.42
2017-02-10,73.31,73.69,73.06,73.28,10405367,73.28
2017-02-09,72.35,72.95,72.35,72.73,9261602,72.73
2017-02-08,71.42,72.08,70.65,71.92,16148412,71.92
2017-02-07,72.46,72.8,71.37,71.75,14157752,71.75
2017-02-06,73.51,73.65,72.57,72.78,10521672,72.78
2017-02-03,73.06,73.78,72.63,73.4,11828580,73.4
2017-02-02,72.48,72.9,71.9,72.77,12880101,72.77
2017-02-01,73.29,73.38,71.91,72.36,18424308,72.36
2017-01-31,72.91,73.02,72.13,72.9,14007376,72.9
2017-01-30,73.89,73.93,72.36,72.87,13286402,72.87
2017-01-27,74.55,74.63,74.01,74.23,9950921,74.23
2017-01-26,75.19,75.31,74.85,75.01,8651667,75.01
2017-01-25,74.58,75.18,74.56,74.95,9410281,74.95
2017-01-24,74.04,74.88,73.9,74.56,11857240,74.56
2017-01-23,74.2,74.35,73.39,73.75,15207044,73.75
2017-01-20,74.74,74.99,74.29,74.54,9182221,74.54
2017-01-19,74.67,74.7,74.08,74.26,9000920,74.26
2017-01-18,74.43,74.87,74.34,74.67,8725161,74.67
2017-01-17,74.61,75.02,74.55,74.84,9782959,74.84
2017-01-13,74.5,74.66,74.19,74.38,9906660,74.38
2017-01-12,75.33,75.41,74.3,74.6,10895604,74.6
2017-01-11,74.37,75.05,74.06,74.91,13127044,74.91
2017-01-10,74.73,74.9,74.05,74.11,9660843,74.11
2017-01-09,75.39,75.46,74.68,74.79,10960921,74.79
2017-01-06,76.06,76.14,75.39,75.89,7410548,75.89
2017-01-05,76.06,76.34,75.46,75.82,11141175,75.82
2017-01-04,76.23,76.37,75.76,76.01,11185512,76.01
2017-01-03,76.11,76.81,75.36,76.17,24623100,76.17
2016-12-30,75.47,75.89,75.08,75.32,8853288,75.32
2016-12-29,75.58,75.8,75.27,75.54,6697449,75.54
2016-12-28,76.69,76.72,75.63,75.69,8093680,75.69
2016-12-27,76.47,76.78,76.4,76.52,10008858,76.52
2016-12-23,76.3,76.5,76.18,76.35,6398132,76.35
2016-12-22,76.16,76.62,76.01,76.42,10970367,76.42
2016-12-21,76.15,76.46,75.73,76.11,8102704,76.11
2016-12-20,76.55,76.65,75.78,75.99,8982113,75.99
2016-12-19,76.43,76.57,76.01,76.16,7113208,76.16
2016-12-16,76.58,76.58,76.12,76.51,17864897,76.51
2016-12-15,75.95,76.72,75.52,76.44,20251775,76.44
2016-12-14,77.46,77.77,76.06,76.27,19851365,76.27
2016-12-13,77.54,78.39,76.83,77.83,16028550,77.83
2016-12-12,78.3,78.45,76.64,76.96,16130187,76.96
2016-12-09,76.76,76.76,76.16,76.6,8974831,76.6
2016-12-08,76.15,76.46,75.56,76.36,14600157,76.36
2016-12-07,75.18,76.06,75.18,75.95,16008265,75.95
2016-12-06,75.03,75.65,74.58,75.35,16963504,75.35
2016-12-05,75.51,76.1,75.19,75.49,22535118,75.49
2016-12-02,74.57,75.18,74.36,74.83,18338849,74.83
2016-12-01,75.81,76.06,74.55,74.61,27382379,74.61
2016-11-30,73.29,75.12,73.29,74.43,44854795,74.43
2016-11-29,70.62,71.26,70.07,70.83,18361744,70.83
2016-11-28,73.07,73.09,71.58,71.71,18790091,71.71
2016-11-25,72.77,72.93,72.36,72.72,8791783,72.72
2016-11-23,72.43,73.31,72.35,73.08,11461958,73.08
2016-11-22,72.84,73.2,71.9,72.78,16013243,72.78
2016-11-21,72.13,72.9,72.13,72.82,16875395,72.82
2016-11-18,71.09,71.53,70.73,71.13,11962308,71.13
2016-11-17,71.92,72.39,70.66,70.84,10254052,70.84
2016-11-16,71.66,72.14,71.1,71.32,16609103,71.32
2016-11-15,70.46,71.86,70.4,71.82,19228710,71.82
2016-11-14,69.21,69.92,68.83,69.85,12572005,69.85
2016-11-11,70.33,70.47,68.89,69.46,17659713,69.46
2016-11-10,70.4,71.28,70.16,70.75,20634829,70.75
2016-11-09,69.56,70.97,68.75,70.45,25993774,70.45
2016-11-08,68.88,69.71,68.79,69.32,11208708,69.32
2016-11-07,68.54,69.27,68.54,69.23,14799517,69.23
2016-11-04,67.8,68.46,67.36,67.77,17554079,67.77
2016-11-03,67.87,68.26,67.5,68.14,12748063,68.14
2016-11-02,67.98,68.22,67.0,67.87,22982983,67.87
2016-11-01,69.13,69.37,67.88,68.63,18824788,68.63
2016-10-31,69.12,69.49,68.5,68.62,12973835,68.62
2016-10-28,69.44,70.43,68.93,69.37,18558383,69.37
2016-10-27,70.12,70.22,69.54,69.56,14206305,69.56
2016-10-26,69.04,70.12,68.92,69.82,17867803,69.82
2016-10-25,69.96,70.71,69.54,69.66,13227127,69.66
2016-10-24,70.19,70.43,69.21,69.98,10668445,69.98
2016-10-21,70.19,70.31,69.78,70.19,14238481,70.19
2016-10-20,70.31,70.94,69.92,70.65,12494518,70.65
2016-10-19,70.28,71.27,70.21,70.73,14315902,70.73
2016-10-18,70.15,70.3,69.43,69.74,6945066,69.74
2016-10-17,69.82,70.04,69.08,69.46,7425014,69.46
2016-10-14,70.57,70.8,69.75,69.8,11372449,69.8
2016-10-13,70.16,70.57,69.29,70.21,13543379,70.21
2016-10-12,70.6,70.84,70.0,70.6,10439113,70.6
2016-10-11,71.47,71.59,70.51,70.9,13712236,70.9
2016-10-10,71.31,71.98,71.24,71.72,11534499,71.72
2016-10-07,71.03,71.33,70.4,70.61,11744430,70.61
2016-10-06,71.12,71.35,70.38,71.02,11175779,71.02
2016-10-05,70.55,71.24,70.48,70.91,13351152,70.91
2016-10-04,70.62,70.79,69.56,69.84,11852813,69.84
2016-10-03,70.73,70.84,69.97,70.56,13154939,70.56
2016-09-30,70.15,70.98,69.7,70.61,14714527,70.61
2016-09-29,69.73,70.45,69.03,69.66,27001560,69.66
2016-09-28,67.28,69.88,66.71,69.78,41143437,69.78
2016-09-27,66.67,67.07,66.14,66.89,19410216,66.89
2016-09-26,67.87,68.23,67.21,67.34,13240154,67.34
2016-09-23,68.22,68.84,67.25,67.64,23075178,67.64
2016-09-22,69.21,69.46,68.49,68.55,13315915,68.55
2016-09-21,67.5,68.5,67.42,68.47,20260887,68.47
2016-09-20,67.33,67.79,66.87,66.92,14132935,66.92
2016-09-19,68.0,68.18,67.4,67.41,11797513,67.41
2016-09-16,67.01,67.7,67.01,67.45,17394405,67.45
2016-09-15,67.84,68.9,67.73,68.41,17233999,68.41
2016-09-14,68.3,69.12,67.4,67.57,26470159,67.57
2016-09-13,69.62,69.65,68.18,68.38,24580364,68.38
2016-09-12,69.21,70.75,69.08,70.39,21972895,70.39
2016-09-09,71.17,71.39,69.7,69.7,21771832,69.7
2016-09-08,70.97,71.94,70.63,71.84,18005348,71.84
2016-09-07,70.44,70.67,70.13,70.52,15094546,70.52
2016-09-06,69.26,70.18,69.2,70.12,12844055,70.12
2016-09-02,68.98,69.25,68.65,69.08,10794394,69.08
2016-09-01,68.22,68.48,67.77,68.31,16668518,68.31
2016-08-31,69.22,69.32,68.13,68.51,13232792,68.51
2016-08-30,70.01,70.28,69.34,69.61,7132867,69.61
2016-08-29,69.18,69.91,69.1,69.85,7393983,69.85
2016-08-26,69.74,70.28,69.05,69.38,14575065,69.38
2016-08-25,69.7,69.91,69.39,69.62,11895847,69.62
2016-08-24,69.7,70.16,69.62,69.81,16452642,69.81
2016-08-23,69.6,70.27,69.6,70.09,12456241,70.09
2016-08-22,69.8,69.93,69.28,69.6,14136701,69.6
2016-08-19,70.77,70.77,70.15,70.41,11045741,70.41
2016-08-18,69.81,71.0,69.74,71.0,24148544,71.0
2016-08-17,69.02,69.61,68.95,69.57,14719471,69.57
2016-08-16,69.13,69.58,68.71,69.36,10242759,69.36
2016-08-15,69.09,69.39,68.89,69.25,10703381,69.25
2016-08-12,68.5,68.91,68.32,68.7,10189672,68.7
2016-08-11,67.62,68.61,67.47,68.32,17429739,68.32
2016-08-10,68.21,68.36,67.19,67.33,18036793,67.33
2016-08-09,68.62,68.73,67.8,68.07,11128358,68.07
2016-08-08,68.0,68.89,67.98,68.43,21663404,68.43
2016-08-05,66.96,67.62,66.84,67.53,11426779,67.53
2016-08-04,66.77,67.38,66.54,66.92,16790222,66.92
2016-08-03,65.76,67.05,65.5,67.02,23905616,67.02
2016-08-02,65.62,66.07,64.57,65.75,25600076,65.75
2016-08-01,66.79,66.84,64.93,65.16,30648522,65.16
2016-07-29,65.75,67.46,65.69,67.38,16501788,67.38
2016-07-28,66.61,67.02,66.23,66.7,10863457,66.7
2016-07-27,67.44,67.93,66.4,66.69,16177902,66.69
2016-07-26,66.57,67.41,66.53,67.35,12393898,67.35
2016-07-25,67.87,68.02,66.71,66.96,12771664,66.96
2016-07-22,68.26,68.43,67.88,68.32,7990615,68.32
2016-07-21,68.6,69.23,67.94,68.11,9256914,68.11
2016-07-20,68.61,69.13,68.04,68.79,11554953,68.79
2016-07-19,69.11,69.22,68.63,68.89,6991909,68.89
2016-07-18,69.03,69.31,68.59,69.28,9401131,69.28
2016-07-15,69.52,69.68,68.98,69.23,9129529,69.23
2016-07-14,69.46,69.63,69.07,69.27,10898600,69.27
2016-07-13,69.32,69.7,68.28,68.92,12546247,68.92
2016-07-12,68.86,69.82,68.72,69.52,15524539,69.52
2016-07-11,68.07,68.39,67.78,67.84,9750386,67.84
2016-07-08,67.42,67.95,67.05,67.71,11567902,67.71
2016-07-07,67.91,68.34,66.35,66.82,14097789,66.82
2016-07-06,66.83,67.56,66.37,67.51,15897473,67.51
2016-07-05,67.68,67.92,66.55,67.22,15069921,67.22
2016-07-01,68.16,68.85,68.11,68.6,12678827,68.6
2016-06-30,67.41,68.28,67.27,68.24,12132268,68.24
