Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,23.31,23.45,23.26,23.39,60396363,23.39
2017-06-05,23.46,23.64,23.46,23.49,44055796,23.49
2017-06-02,23.37,23.57,23.32,23.45,83704479,23.45
2017-06-01,23.38,23.56,23.22,23.54,81187583,23.54
2017-05-31,23.45,23.46,23.1,23.25,115877876,23.25
2017-05-30,23.54,23.57,23.4,23.45,46584183,23.45
2017-05-26,23.56,23.68,23.56,23.61,42601706,23.61
2017-05-25,23.63,23.73,23.56,23.62,49362388,23.62
2017-05-24,23.62,23.64,23.48,23.58,60004715,23.58
2017-05-23,23.43,23.66,23.32,23.59,65577828,23.59
2017-05-22,23.48,23.48,23.25,23.41,79181862,23.41
2017-05-19,23.19,23.48,23.18,23.35,69775647,23.35
2017-05-18,23.03,23.29,23.0,23.15,101656920,23.15
2017-05-17,23.31,23.49,22.97,23.06,141192783,23.06
2017-05-16,23.79,23.83,23.67,23.81,51529642,23.81
2017-05-15,23.61,23.79,23.6,23.74,52192101,23.74
2017-05-12,23.55,23.57,23.43,23.56,55787188,23.56
2017-05-11,23.72,23.76,23.47,23.66,77266708,23.66
2017-05-10,23.69,23.81,23.64,23.81,51192670,23.81
2017-05-09,23.88,23.96,23.65,23.73,65737851,23.73
2017-05-08,23.87,23.91,23.78,23.82,45893018,23.82
2017-05-05,23.95,23.96,23.76,23.84,46881451,23.84
2017-05-04,23.99,24.07,23.78,23.88,64482819,23.88
2017-05-03,23.57,23.84,23.55,23.84,78115437,23.84
2017-05-02,23.68,23.71,23.52,23.65,76511460,23.65
2017-05-01,23.65,23.8,23.55,23.68,69086646,23.68
2017-04-28,23.77,23.79,23.53,23.53,64091925,23.53
2017-04-27,23.92,23.92,23.62,23.76,68871770,23.76
2017-04-26,23.86,24.09,23.82,23.87,71691249,23.87
2017-04-25,23.89,24.01,23.86,23.89,71026149,23.89
2017-04-24,23.69,23.81,23.59,23.68,98770606,23.68
2017-04-21,23.34,23.43,23.15,23.16,94675256,23.16
2017-04-20,23.18,23.45,23.09,23.4,85720393,23.4
2017-04-19,23.23,23.32,22.98,23.01,55583806,23.01
2017-04-18,23.14,23.25,22.94,23.08,74890353,23.08
2017-04-17,22.96,23.31,22.89,23.3,86681175,23.3
2017-04-13,23.11,23.37,22.9,22.9,120159316,22.9
2017-04-12,23.36,23.38,23.14,23.2,74023032,23.2
2017-04-11,23.34,23.43,23.15,23.39,83801181,23.39
2017-04-10,23.52,23.67,23.38,23.46,60428984,23.46
2017-04-07,23.44,23.68,23.4,23.52,61525690,23.52
2017-04-06,23.45,23.72,23.33,23.62,80802117,23.62
2017-04-05,23.87,23.96,23.47,23.47,104651195,23.47
2017-04-04,23.58,23.7,23.54,23.65,105795928,23.65
