Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,67.23,67.72,66.9,67.61,3700526,67.61
2017-06-05,66.8,67.5,66.67,67.15,3343197,67.15
2017-06-02,67.06,67.09,66.33,66.88,3298230,66.88
2017-06-01,66.41,67.0,66.04,66.65,5655805,66.65
2017-05-31,66.43,66.72,65.89,66.71,5424801,66.71
2017-05-30,65.75,66.02,65.21,65.72,3219206,65.72
2017-05-26,65.51,65.88,64.99,65.85,2864475,65.85
2017-05-25,64.72,65.99,64.58,65.43,3522670,65.43
2017-05-24,64.38,64.83,63.93,64.44,2979308,64.44
2017-05-23,64.31,64.45,62.92,63.97,9291221,63.97
2017-05-22,66.83,67.75,66.81,67.52,5452365,67.52
2017-05-19,66.05,67.09,65.69,66.67,4422476,66.67
2017-05-18,64.55,66.12,64.29,65.61,4789795,65.61
2017-05-17,65.05,65.44,64.36,64.76,3495994,64.76
2017-05-16,65.01,65.5,64.55,65.46,2611445,65.46
2017-05-15,64.41,64.92,64.26,64.79,2089876,64.79
2017-05-12,64.33,64.55,64.04,64.3,2357206,64.3
2017-05-11,64.16,64.68,63.65,64.58,2336300,64.58
2017-05-10,64.77,65.05,64.23,64.62,2471036,64.62
2017-05-09,64.61,65.2,64.15,64.69,3068819,64.69
2017-05-08,63.59,64.98,63.49,64.57,4535149,64.57
2017-05-05,63.0,63.5,62.5,63.39,1638515,63.39
2017-05-04,62.71,63.03,62.41,62.94,2317514,62.94
2017-05-03,62.65,62.86,62.13,62.61,2870702,62.61
2017-05-02,63.15,63.27,62.45,62.69,2450785,62.69
2017-05-01,63.29,63.8,62.91,63.36,2996325,63.36
2017-04-28,63.97,64.24,62.85,63.11,4066270,63.11
2017-04-27,63.21,64.9,62.16,64.4,7975094,64.4
2017-04-26,60.68,61.16,59.84,59.99,4480369,59.99
2017-04-25,60.8,60.8,60.16,60.69,5359076,60.69
2017-04-24,59.37,60.71,59.24,60.65,7583484,60.65
2017-04-21,57.44,57.91,56.69,57.69,2219010,57.69
2017-04-20,57.12,57.82,56.95,57.71,4330523,57.71
2017-04-19,56.92,57.55,56.66,56.73,3522253,56.73
2017-04-18,55.62,56.59,55.59,56.49,2670237,56.49
2017-04-17,55.87,56.07,55.48,55.91,1709095,55.91
2017-04-13,55.42,56.37,55.05,55.68,3739794,55.68
2017-04-12,55.67,56.17,54.99,55.1,2984775,55.1
2017-04-11,55.85,55.96,55.16,55.96,2372404,55.96
2017-04-10,56.59,56.59,55.86,55.99,2363156,55.99
2017-04-07,56.45,57.12,56.31,56.48,2726174,56.48
2017-04-06,56.64,56.64,56.13,56.34,3203754,56.34
2017-04-05,57.23,57.48,56.57,56.65,2373670,56.65
2017-04-04,56.97,57.33,56.94,57.13,2424095,57.13
