Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,54.23,54.23,53.92,53.99,7501106,53.99
2017-06-05,54.28,54.33,54.03,54.11,7350014,54.11
2017-06-02,54.63,54.63,54.12,54.28,9956578,54.28
2017-06-01,53.7,54.23,53.64,54.22,11118558,54.22
2017-05-31,53.63,54.03,53.57,53.84,12620691,53.84
2017-05-30,53.44,53.7,53.29,53.57,6292291,53.57
2017-05-26,53.43,53.52,53.3,53.4,7649643,53.4
2017-05-25,53.08,53.49,52.94,53.4,16777277,53.4
2017-05-24,52.72,53.06,52.67,52.97,7602342,52.97
2017-05-23,52.62,52.98,52.53,52.67,15290193,52.67
2017-05-22,52.0,52.61,51.97,52.53,7779269,52.53
2017-05-19,51.87,52.08,51.58,52.08,9901328,52.08
2017-05-18,51.81,52.14,51.44,51.88,16875978,51.88
2017-05-17,51.7,51.94,51.47,51.7,15032839,51.7
2017-05-16,51.87,52.02,51.51,51.57,7653070,51.57
2017-05-15,51.74,52.04,51.68,51.95,6351125,51.95
2017-05-12,51.6,51.84,51.53,51.73,7523074,51.73
2017-05-11,51.28,51.48,51.07,51.48,7699155,51.48
2017-05-10,51.37,51.52,51.13,51.41,8439821,51.41
2017-05-09,51.67,51.71,51.24,51.33,7758919,51.33
2017-05-08,51.77,51.83,51.45,51.71,8789722,51.71
2017-05-05,51.6,51.92,51.55,51.73,10785296,51.73
2017-05-04,51.12,51.51,51.11,51.45,14039080,51.45
2017-05-03,51.52,51.58,51.24,51.27,10507208,51.27
2017-05-02,51.45,51.64,51.24,51.45,9438626,51.45
2017-05-01,51.82,51.82,51.26,51.39,10692520,51.39
2017-04-28,51.88,51.95,51.54,51.7,9405749,51.7
2017-04-27,51.75,52.2,51.71,51.95,9457949,51.95
2017-04-26,51.92,52.16,51.72,51.77,9597402,51.77
2017-04-25,51.85,52.01,51.64,51.93,10891641,51.93
2017-04-24,51.78,52.06,51.43,52.0,18106693,52.0
2017-04-21,51.4,51.95,51.4,51.73,13259067,51.73
