Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,29.99,30.12,29.6,29.6,2951081,29.6
2017-06-05,29.63,30.21,29.16,30.09,4080323,30.09
2017-06-02,28.81,28.91,28.55,28.79,1977510,28.79
2017-06-01,27.84,29.0,27.8,28.83,3492429,28.83
2017-05-31,27.85,28.1,27.48,27.92,2010517,27.92
2017-05-30,27.65,27.84,27.46,27.73,1541750,27.73
2017-05-26,28.03,28.11,27.46,27.65,2666227,27.65
2017-05-25,27.85,28.38,27.83,28.07,2657716,28.07
2017-05-24,27.75,27.89,27.22,27.78,3388335,27.78
2017-05-23,28.14,28.29,27.59,27.78,2754566,27.78
2017-05-22,27.95,28.34,27.86,28.29,2006794,28.29
2017-05-19,28.25,28.26,27.83,27.84,2731369,27.84
2017-05-18,27.41,28.12,27.11,27.99,3265230,27.99
2017-05-17,28.24,28.35,27.33,27.38,3610740,27.38
2017-05-16,28.9,29.0,28.48,28.52,3211820,28.52
2017-05-15,28.76,29.15,28.43,29.01,3738178,29.01
2017-05-12,28.93,29.37,28.58,28.7,4744223,28.7
2017-05-11,29.11,29.69,28.0,29.3,13753319,29.3
2017-05-10,27.91,29.24,26.93,28.33,47155033,28.33
2017-05-09,35.66,36.0,34.15,34.7,11652195,34.7
2017-05-08,35.67,36.2,35.55,35.7,3262549,35.7
2017-05-05,35.36,35.7,35.3,35.68,1349525,35.68
2017-05-04,35.28,35.7,35.09,35.3,1375681,35.3
2017-05-03,35.7,35.98,35.18,35.2,1686292,35.2
2017-05-02,36.01,36.25,35.6,35.98,2512862,35.98
2017-05-01,35.52,35.91,35.22,35.72,1964028,35.72
2017-04-28,36.07,36.1,35.3,35.41,1997767,35.41
2017-04-27,34.84,36.16,34.79,36.01,3033650,36.01
2017-04-26,34.22,34.64,33.94,34.58,1205225,34.58
2017-04-25,33.97,34.55,33.82,34.21,1288881,34.21
2017-04-24,33.88,34.17,33.58,33.89,2482856,33.89
2017-04-21,33.48,33.86,33.34,33.49,1476369,33.49
2017-04-20,33.06,33.5,32.91,33.43,1743618,33.43
2017-04-19,32.95,32.96,32.59,32.83,1597174,32.83
2017-04-18,32.5,32.95,32.21,32.86,998447,32.86
2017-04-17,32.0,32.72,31.61,32.69,1567859,32.69
2017-04-13,32.23,32.5,31.92,32.03,1768903,32.03
2017-04-12,33.3,33.49,32.08,32.16,2942510,32.16
2017-04-11,33.85,34.0,33.17,33.37,3727669,33.37
2017-04-10,33.22,33.26,32.68,32.74,1471301,32.74
2017-04-07,33.38,33.49,32.81,33.23,1898392,33.23
2017-04-06,33.26,33.62,32.83,33.43,2116045,33.43
2017-04-05,33.12,34.14,32.61,33.22,4024165,33.22
2017-04-04,32.6,33.12,32.1,32.85,2031766,32.85
2017-04-03,32.9,32.93,32.22,32.63,2504149,32.63
2017-03-31,32.54,32.87,32.2,32.75,1644072,32.75
2017-03-30,32.84,33.02,32.31,32.52,1540336,32.52
2017-03-29,32.0,32.99,31.96,32.78,2794268,32.78
2017-03-28,32.34,32.34,31.68,31.81,2467938,31.81
2017-03-27,32.09,32.64,31.6,32.43,2434806,32.43
2017-03-24,32.85,33.25,32.33,32.48,2624177,32.48
2017-03-23,33.56,33.56,32.54,32.77,2563657,32.77
2017-03-22,33.59,33.98,33.09,33.5,2144322,33.5
2017-03-21,34.68,35.03,33.46,33.62,2569255,33.62
2017-03-20,34.17,34.72,34.1,34.65,1307483,34.65
2017-03-17,34.23,34.45,33.9,34.11,1236766,34.11
2017-03-16,34.26,34.7,33.98,34.27,979102,34.27
2017-03-15,33.77,34.34,33.35,34.16,2289372,34.16
2017-03-14,34.67,34.88,33.61,33.77,1515234,33.77
2017-03-13,34.54,34.72,34.29,34.58,1522562,34.58
2017-03-10,34.51,34.74,34.01,34.52,1897630,34.52
2017-03-09,33.53,34.67,33.26,34.38,4637769,34.38
2017-03-08,33.69,33.98,33.39,33.53,1208196,33.53
2017-03-07,33.31,34.16,33.27,33.72,1729149,33.72
2017-03-06,33.22,33.77,33.17,33.52,1932292,33.52
2017-03-03,33.88,34.08,33.34,33.37,2230211,33.37
2017-03-02,34.45,34.84,33.92,34.0,1858177,34.0
2017-03-01,33.91,34.88,33.91,34.66,2741761,34.66
2017-02-28,33.85,34.35,33.68,33.7,2534103,33.7
2017-02-27,33.48,34.54,33.46,34.07,2677252,34.07
2017-02-24,33.11,33.74,32.97,33.46,2620263,33.46
