Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,58.8,59.6,58.01,58.9,1123577,58.9
2017-06-05,59.35,60.37,58.75,59.06,855364,59.06
2017-06-02,59.9,60.16,58.25,59.23,801437,59.23
2017-06-01,58.34,60.0,57.72,59.71,2217149,59.71
2017-05-31,58.5,59.15,57.02,58.34,1748676,58.34
2017-05-30,58.0,59.3,57.63,58.25,1397924,58.25
2017-05-26,55.85,57.96,55.72,57.48,1027273,57.48
2017-05-25,57.82,58.08,55.34,55.8,1401292,55.8
2017-05-24,55.95,58.24,55.73,56.82,1725274,56.82
2017-05-23,54.85,57.66,54.05,55.59,1804400,55.59
2017-05-22,53.94,55.63,53.61,54.34,1095182,54.34
2017-05-19,51.3,53.96,51.25,53.43,1173662,53.43
2017-05-18,52.93,52.93,50.5,51.24,1332884,51.24
2017-05-17,53.71,54.0,52.51,52.93,849322,52.93
2017-05-16,54.62,56.21,53.32,54.0,2909859,54.0
2017-05-15,53.95,55.79,53.95,55.38,1407658,55.38
2017-05-12,53.97,55.02,53.5,53.93,1417483,53.93
2017-05-11,53.86,54.55,51.15,53.97,1444738,53.97
2017-05-10,51.0,54.91,49.27,54.75,2598417,54.75
2017-05-09,53.65,55.75,53.6,54.97,2015760,54.97
2017-05-08,51.75,53.25,51.63,53.11,1108673,53.11
2017-05-05,50.75,51.48,50.28,51.41,783871,51.41
2017-05-04,50.5,50.9,49.37,50.65,1149573,50.65
2017-05-03,50.87,51.0,50.04,50.6,1290237,50.6
2017-05-02,49.14,51.09,49.0,50.99,1270071,50.99
2017-05-01,49.0,49.18,48.35,49.1,678901,49.1
2017-04-28,48.5,49.02,48.18,48.97,673300,48.97
2017-04-27,47.81,48.64,47.76,48.43,657270,48.43
2017-04-26,46.96,48.29,46.9,47.76,927302,47.76
2017-04-25,46.23,47.35,46.18,47.0,897251,47.0
2017-04-24,46.14,46.32,45.13,45.96,451553,45.96
2017-04-21,45.84,46.32,45.62,45.88,676164,45.88
2017-04-20,44.98,45.9,44.98,45.66,609404,45.66
2017-04-19,44.0,44.84,43.83,44.81,719117,44.81
2017-04-18,44.01,44.16,42.9,43.76,573040,43.76
2017-04-17,44.04,44.71,43.46,43.89,393074,43.89
2017-04-13,44.29,45.4,43.92,43.99,626300,43.99
2017-04-12,45.31,45.49,43.38,44.29,1219568,44.29
2017-04-11,46.59,46.87,45.01,45.31,812372,45.31
2017-04-10,45.79,46.92,45.54,46.5,804456,46.5
2017-04-07,46.35,46.48,45.46,45.97,394835,45.97
2017-04-06,46.45,46.87,45.8,46.43,697596,46.43
2017-04-05,46.37,47.8,46.18,46.44,821281,46.44
2017-04-04,47.35,47.6,45.82,46.18,885990,46.18
2017-04-03,46.23,47.8,46.17,47.45,893193,47.45
2017-03-31,46.87,46.87,46.01,46.11,403863,46.11
2017-03-30,47.12,47.24,46.32,46.88,646793,46.88
2017-03-29,46.09,47.35,45.86,47.07,661813,47.07
2017-03-28,45.73,47.45,45.53,46.34,925461,46.34
2017-03-27,45.6,46.01,44.49,45.79,963258,45.79
2017-03-24,46.61,47.45,45.67,46.3,1071568,46.3
2017-03-23,46.58,47.56,46.14,46.65,895691,46.65
2017-03-22,47.09,47.76,46.19,46.94,821728,46.94
2017-03-21,49.67,49.7,45.7,47.0,1752624,47.0
2017-03-20,51.0,51.05,48.81,49.65,1756804,49.65
2017-03-17,48.63,51.46,47.81,51.01,2850444,51.01
2017-03-16,47.35,48.77,46.98,48.33,1619117,48.33
2017-03-15,46.75,48.62,45.8,47.06,1909251,47.06
2017-03-14,51.32,51.84,45.74,46.87,4918815,46.87
2017-03-13,47.13,51.25,47.08,48.8,3372900,48.8
2017-03-10,46.48,47.1,45.34,46.81,1222979,46.81
2017-03-09,46.51,47.16,45.27,45.94,1495163,45.94
2017-03-08,45.3,47.68,45.28,46.48,2386622,46.48
2017-03-07,45.59,45.69,44.6,45.05,889046,45.05
2017-03-06,44.41,44.68,44.0,44.44,419389,44.44
2017-03-03,44.69,45.0,44.21,44.49,515938,44.49
2017-03-02,45.77,45.97,44.45,44.7,646423,44.7
2017-03-01,44.7,46.22,44.61,45.96,696093,45.96
2017-02-28,45.3,45.78,44.23,44.29,547518,44.29
2017-02-27,44.65,45.5,44.65,45.31,360141,45.31
2017-02-24,44.63,45.79,43.78,44.82,692638,44.82
2017-02-23,46.82,47.2,45.28,45.72,480641,45.72
2017-02-22,46.69,47.59,46.52,46.88,562591,46.88
2017-02-21,47.71,47.75,46.44,46.75,673578,46.75
2017-02-17,48.74,48.74,46.89,48.05,742844,48.05
2017-02-16,48.36,49.9,48.12,48.68,1197428,48.68
2017-02-15,44.08,48.75,44.08,48.21,2515914,48.21
2017-02-14,44.6,44.77,43.89,43.97,710409,43.97
2017-02-13,44.58,45.06,43.92,44.58,783957,44.58
2017-02-10,44.39,45.0,43.71,44.48,789954,44.48
2017-02-09,42.0,44.4,41.68,44.26,1679378,44.26
2017-02-08,41.17,42.08,40.86,41.93,502496,41.93
2017-02-07,41.0,41.32,40.39,41.11,455485,41.11
2017-02-06,41.1,41.16,40.28,40.89,322511,40.89
2017-02-03,41.56,41.61,40.96,41.14,340804,41.14
2017-02-02,41.31,42.0,41.23,41.55,235824,41.55
2017-02-01,41.66,42.18,41.1,41.66,443451,41.66
2017-01-31,40.6,41.62,40.17,41.08,365398,41.08
2017-01-30,40.51,41.02,40.25,40.58,285183,40.58
2017-01-27,41.61,41.88,40.5,40.76,356610,40.76
2017-01-26,42.34,42.46,41.38,41.47,250286,41.47
2017-01-25,42.06,42.42,41.36,42.29,442938,42.29
2017-01-24,43.17,43.95,41.5,41.63,687270,41.63
2017-01-23,43.23,43.98,42.88,42.98,700644,42.98
2017-01-20,44.03,44.22,43.41,43.53,832943,43.53
2017-01-19,44.11,44.2,43.09,43.98,1058073,43.98
2017-01-18,43.05,45.65,43.05,44.11,1509691,44.11
2017-01-17,42.62,43.06,42.47,43.03,515900,43.03
2017-01-13,42.9,43.26,42.04,42.62,687239,42.62
2017-01-12,41.2,42.94,41.07,42.57,699718,42.57
2017-01-11,42.4,42.57,40.66,41.25,622709,41.25
2017-01-10,40.37,42.74,40.37,42.24,976107,42.24
2017-01-09,40.49,40.86,39.85,40.14,414942,40.14
2017-01-06,40.0,40.69,39.73,40.38,528606,40.38
2017-01-05,38.09,40.5,38.0,40.39,1145857,40.39
2017-01-04,39.64,39.85,37.81,38.1,1212404,38.1
2017-01-03,40.0,40.84,39.22,39.45,670493,39.45
2016-12-30,40.67,40.9,39.24,39.42,659948,39.42
2016-12-29,40.65,41.34,40.45,40.58,201134,40.58
2016-12-28,41.41,41.41,40.47,40.72,335952,40.72
2016-12-27,41.76,42.0,41.02,41.14,472548,41.14
2016-12-23,41.6,42.59,41.43,41.55,361737,41.55
2016-12-22,42.64,43.12,41.32,41.52,506186,41.52
2016-12-21,42.91,44.3,42.44,43.02,1283733,43.02
2016-12-20,41.16,43.41,40.81,42.76,1588249,42.76
2016-12-19,41.09,42.35,40.62,40.88,917377,40.88
2016-12-16,40.73,41.72,40.71,41.18,875420,41.18
2016-12-15,42.12,42.23,40.68,40.75,962339,40.75
2016-12-14,43.13,43.46,41.92,42.09,571617,42.09
2016-12-13,43.5,44.12,42.81,42.9,692355,42.9
2016-12-12,44.44,44.53,42.46,43.37,1109047,43.37
2016-12-09,44.0,44.94,43.69,44.64,868671,44.64
2016-12-08,41.03,44.47,41.03,44.04,1505369,44.04
2016-12-07,40.72,41.78,40.15,41.0,1800881,41.0
2016-12-06,41.61,41.68,39.31,40.56,1502017,40.56
2016-12-05,42.0,42.14,41.11,41.44,1021048,41.44
2016-12-02,42.83,43.75,41.66,41.8,1229802,41.8
2016-12-01,43.7,43.85,41.04,42.89,1941168,42.89
2016-11-30,44.9,45.21,42.99,43.27,2795427,43.27
2016-11-29,44.65,46.41,43.74,45.0,1820571,45.0
2016-11-28,45.45,45.7,43.9,44.47,2130551,44.47
2016-11-25,47.5,48.7,46.71,46.84,548565,46.84
2016-11-23,45.37,47.26,45.37,47.21,939229,47.21
2016-11-22,44.0,46.81,43.63,45.49,1202937,45.49
2016-11-21,45.28,46.38,41.18,44.03,2754398,44.03
2016-11-18,45.7,45.94,44.76,45.1,1771991,45.1
2016-11-17,44.74,45.9,44.74,45.08,987271,45.08
2016-11-16,43.42,44.86,43.42,44.43,543228,44.43
2016-11-15,44.53,45.27,43.31,43.88,893857,43.88
2016-11-14,44.25,44.67,43.44,43.94,940958,43.94
2016-11-11,45.09,45.43,43.31,44.24,1592808,44.24
2016-11-10,46.97,47.94,45.26,45.42,1232756,45.42
2016-11-09,45.9,47.59,45.88,46.91,808903,46.91
2016-11-08,48.75,48.84,46.95,47.05,583065,47.05
2016-11-07,47.57,48.94,47.25,47.81,686197,47.81
2016-11-04,45.83,47.2,45.44,46.59,771013,46.59
2016-11-03,47.29,48.31,45.57,45.9,1312541,45.9
2016-11-02,47.62,48.79,46.71,47.45,953182,47.45
2016-11-01,48.15,49.03,45.53,47.67,1457077,47.67
2016-10-31,53.05,53.05,48.0,48.07,1735166,48.07
2016-10-28,53.19,53.19,52.13,52.67,586004,52.67
2016-10-27,54.33,54.71,53.09,53.28,695909,53.28
2016-10-26,54.05,54.41,53.38,54.18,660177,54.18
2016-10-25,55.17,55.34,53.97,54.14,594539,54.14
2016-10-24,53.72,55.49,53.3,54.87,1305779,54.87
2016-10-21,52.5,53.4,52.12,53.22,472016,53.22
2016-10-20,53.17,53.5,52.0,52.75,431129,52.75
2016-10-19,52.72,53.69,52.18,53.6,543347,53.6
2016-10-18,52.24,53.49,52.1,52.58,778249,52.58
2016-10-17,52.85,53.85,51.0,51.02,1039143,51.02
2016-10-14,52.88,54.55,52.71,53.35,2399362,53.35
2016-10-13,53.18,53.23,50.75,52.32,1898726,52.32
2016-10-12,53.77,54.96,52.69,53.93,1456958,53.93
2016-10-11,55.89,55.89,52.75,53.95,1028734,53.95
2016-10-10,53.26,56.95,53.26,56.28,1565033,56.28
2016-10-07,55.23,55.66,52.87,53.19,789034,53.19
2016-10-06,55.85,56.05,54.6,54.97,575932,54.97
2016-10-05,56.29,56.7,55.18,55.8,1187548,55.8
2016-10-04,53.7,57.22,53.26,56.23,1999511,56.23
2016-10-03,53.85,54.76,53.07,53.61,534323,53.61
2016-09-30,52.45,54.39,51.73,53.28,1347853,53.28
2016-09-29,52.0,53.28,51.42,52.24,989364,52.24
2016-09-28,54.2,54.69,51.92,52.63,846581,52.63
2016-09-27,53.75,55.26,53.65,54.18,1076283,54.18
2016-09-26,53.53,53.89,52.51,53.64,998629,53.64
2016-09-23,54.45,55.44,53.69,54.15,1078522,54.15
2016-09-22,54.73,55.6,53.63,54.81,1566171,54.81
2016-09-21,53.24,54.46,52.8,54.14,1345343,54.14
2016-09-20,53.83,54.35,52.7,53.09,723001,53.09
2016-09-19,55.05,56.11,52.63,53.86,1964787,53.86
2016-09-16,53.97,55.26,53.97,54.48,1878212,54.48
2016-09-15,55.21,55.92,53.64,54.13,1661063,54.13
2016-09-14,52.67,55.18,52.52,54.88,2904251,54.88
2016-09-13,51.99,53.21,51.27,52.43,1894959,52.43
2016-09-12,48.86,53.04,48.38,52.46,2322343,52.46
2016-09-09,51.31,51.82,49.63,50.11,1357897,50.11
2016-09-08,50.71,52.52,50.4,51.84,1470795,51.84
2016-09-07,51.06,52.12,50.21,51.17,1339221,51.17
2016-09-06,53.22,53.69,50.39,51.01,3290662,51.01
2016-09-02,52.25,55.92,51.88,52.92,6259772,52.92
2016-09-01,51.07,53.53,50.2,51.76,3912348,51.76
2016-08-31,49.19,52.35,48.6,51.45,4272285,51.45
2016-08-30,47.54,48.61,47.5,48.07,1074607,48.07
2016-08-29,47.73,48.78,47.03,47.54,1040652,47.54
2016-08-26,47.25,48.26,46.69,47.71,1506746,47.71
2016-08-25,46.8,47.5,45.98,46.84,1320607,46.84
2016-08-24,50.58,50.69,46.52,47.02,2238503,47.02
2016-08-23,50.37,51.67,49.71,50.83,2208627,50.83
2016-08-22,48.03,50.39,47.31,50.35,2467850,50.35
2016-08-19,50.21,50.84,47.03,47.97,2713527,47.97
2016-08-18,49.51,52.29,48.42,50.74,4669839,50.74
2016-08-17,48.35,49.72,45.79,49.08,3171760,49.08
2016-08-16,52.91,52.91,48.18,48.58,3006337,48.58
2016-08-15,48.0,51.09,47.94,50.92,2744311,50.92
2016-08-12,47.41,47.94,46.18,47.75,3121183,47.75
2016-08-11,45.01,47.59,44.54,47.31,1833349,47.31
2016-08-10,45.0,45.83,44.05,45.06,2114392,45.06
2016-08-09,41.71,44.89,41.43,44.85,2776273,44.85
2016-08-08,40.56,42.6,40.56,41.42,1877271,41.42
2016-08-05,38.83,40.87,38.67,40.43,1093074,40.43
2016-08-04,38.6,39.02,38.31,38.57,480473,38.57
2016-08-03,39.0,39.09,38.21,38.71,446893,38.71
2016-08-02,39.23,39.51,38.62,38.98,255069,38.98
2016-08-01,39.19,39.62,38.87,39.13,409827,39.13
2016-07-29,39.06,39.51,38.66,39.19,384743,39.19
2016-07-28,39.75,39.75,38.56,39.24,278796,39.24
2016-07-27,40.22,40.39,39.03,39.34,683843,39.34
2016-07-26,40.34,40.95,40.07,40.36,582327,40.36
2016-07-25,39.25,40.98,39.2,40.2,1068218,40.2
2016-07-22,39.36,39.49,38.71,39.45,340086,39.45
2016-07-21,39.47,39.81,38.83,39.01,377744,39.01
2016-07-20,38.57,39.95,38.32,39.46,579699,39.46
2016-07-19,39.09,39.32,38.17,38.26,591623,38.26
2016-07-18,39.0,39.49,38.71,39.43,473782,39.43
2016-07-15,39.46,39.73,38.95,38.98,559221,38.98
