Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,44.66,45.85,44.41,45.21,1126964,45.21
2017-06-05,44.97,45.15,44.66,44.73,574213,44.73
2017-06-02,44.39,45.31,44.36,45.06,714157,45.06
2017-06-01,43.75,44.75,43.21,44.7,1342621,44.7
2017-05-31,43.52,43.78,42.86,43.52,1400539,43.52
2017-05-30,43.41,43.64,43.08,43.49,973115,43.49
2017-05-26,43.38,43.5,42.93,43.34,1142059,43.34
2017-05-25,43.92,43.92,43.13,43.23,1123744,43.23
2017-05-24,42.57,43.8,42.42,43.54,2151656,43.54
2017-05-23,41.32,42.66,41.13,42.63,2097809,42.63
2017-05-22,41.07,41.73,41.07,41.27,1364620,41.27
2017-05-19,41.92,42.46,40.98,41.04,1610766,41.04
2017-05-18,41.37,41.93,41.0,41.53,1676004,41.53
2017-05-17,43.52,43.79,41.3,41.37,2417424,41.37
2017-05-16,43.24,44.49,42.96,44.39,1577071,44.39
2017-05-15,42.92,43.8,42.89,43.29,992936,43.29
2017-05-12,43.08,43.45,42.78,42.87,1077609,42.87
2017-05-11,42.86,43.44,42.63,43.23,1031552,43.23
2017-05-10,42.88,43.19,42.55,43.1,1287854,43.1
2017-05-09,43.54,43.54,42.2,42.64,1912988,42.64
2017-05-08,43.95,43.97,43.13,43.56,1349304,43.56
2017-05-05,41.66,44.0,41.28,43.97,4885724,43.97
2017-05-04,39.32,40.79,39.09,40.23,3480174,40.23
2017-05-03,39.52,39.58,38.93,39.35,1115406,39.35
2017-05-02,39.97,40.09,38.98,39.75,1242665,39.75
2017-05-01,39.4,40.1,39.06,39.92,1810973,39.92
2017-04-28,39.64,39.77,38.94,39.0,1277503,39.0
2017-04-27,38.6,40.29,38.6,39.55,2648564,39.55
2017-04-26,37.68,38.66,37.65,38.62,1896087,38.62
2017-04-25,37.08,37.68,36.87,37.59,1080491,37.59
2017-04-24,36.73,37.07,36.51,36.87,898570,36.87
2017-04-21,36.4,36.64,36.25,36.61,646546,36.61
2017-04-20,36.0,36.41,35.89,36.33,856436,36.33
2017-04-19,35.89,36.17,35.75,36.14,516804,36.14
2017-04-18,35.07,35.7,34.87,35.65,862877,35.65
2017-04-17,34.59,35.13,34.52,35.12,625050,35.12
2017-04-13,34.45,34.9,34.29,34.62,668087,34.62
2017-04-12,34.57,35.0,34.4,34.47,998926,34.47
2017-04-11,34.41,34.66,34.29,34.51,577456,34.51
2017-04-10,34.09,34.68,33.95,34.52,969165,34.52
2017-04-07,34.0,34.25,33.77,34.12,772648,34.12
2017-04-06,33.52,33.97,33.32,33.91,977050,33.91
2017-04-05,33.9,34.14,33.3,33.47,1290209,33.47
2017-04-04,33.75,33.95,33.5,33.93,754091,33.93
2017-04-03,33.59,34.14,33.53,33.75,848344,33.75
2017-03-31,33.06,33.74,33.02,33.67,905054,33.67
2017-03-30,33.45,33.52,32.87,33.28,1027039,33.28
2017-03-29,32.86,33.71,32.86,33.54,821747,33.54
2017-03-28,33.81,33.92,32.56,32.94,1593296,32.94
2017-03-27,33.05,34.0,32.91,33.85,797790,33.85
2017-03-24,33.66,34.02,33.25,33.71,1134880,33.71
2017-03-23,35.19,35.19,33.43,33.53,3454648,33.53
2017-03-22,35.11,35.64,35.03,35.29,1100580,35.29
2017-03-21,36.31,36.48,35.16,35.17,1528986,35.17
2017-03-20,36.35,36.51,36.08,36.24,603400,36.24
2017-03-17,36.65,36.65,36.24,36.36,617699,36.36
2017-03-16,36.77,36.97,36.45,36.69,739046,36.69
2017-03-15,36.04,36.82,35.63,36.75,760116,36.75
2017-03-14,36.05,36.06,35.45,35.92,659099,35.92
2017-03-13,35.58,36.16,35.42,36.13,756128,36.13
2017-03-10,35.57,35.63,35.08,35.3,601561,35.3
2017-03-09,34.82,35.44,34.75,35.22,924055,35.22
2017-03-08,35.13,35.31,34.88,34.97,447159,34.97
2017-03-07,34.64,35.26,34.55,35.16,864837,35.16
2017-03-06,34.74,34.9,34.4,34.8,584240,34.8
2017-03-03,34.47,34.86,34.16,34.85,719459,34.85
2017-03-02,35.17,35.25,34.58,34.63,768857,34.63
2017-03-01,34.12,35.45,34.05,35.39,1804378,35.39
2017-02-28,34.77,34.93,33.84,33.94,1393347,33.94
2017-02-27,35.09,35.36,34.69,34.95,1716833,34.95
2017-02-24,35.06,35.48,34.8,35.17,1242433,35.17
2017-02-23,35.95,36.17,34.95,35.34,1164639,35.34
2017-02-22,35.15,36.37,35.15,35.97,1573024,35.97
2017-02-21,35.47,35.64,34.75,35.31,1069942,35.31
2017-02-17,35.02,35.49,34.98,35.39,661014,35.39
2017-02-16,36.19,36.32,34.99,35.19,1382715,35.19
2017-02-15,36.3,36.48,35.92,36.01,1226883,36.01
2017-02-14,36.39,37.02,35.76,36.3,3342182,36.3
2017-02-13,34.55,35.31,34.52,35.19,1872598,35.19
2017-02-10,34.05,34.57,33.73,34.42,1709726,34.42
2017-02-09,34.6,34.88,32.9,34.01,3002011,34.01
2017-02-08,34.37,35.01,33.47,34.52,6849780,34.52
2017-02-07,36.74,38.05,36.74,36.87,2918003,36.87
2017-02-06,36.08,36.99,36.02,36.62,2543010,36.62
2017-02-03,35.62,36.08,35.36,35.93,1441776,35.93
2017-02-02,35.16,35.61,34.82,35.35,930895,35.35
2017-02-01,35.39,35.85,34.74,35.2,1532570,35.2
2017-01-31,35.86,35.98,35.02,35.38,999639,35.38
2017-01-30,36.13,36.28,35.51,35.86,1083122,35.86
2017-01-27,36.65,36.97,36.26,36.36,804737,36.36
2017-01-26,36.66,36.84,36.11,36.66,753192,36.66
2017-01-25,37.2,37.41,36.59,36.63,1086075,36.63
2017-01-24,37.04,37.44,37.01,37.05,944497,37.05
2017-01-23,36.9,37.34,36.78,37.05,1477447,37.05
2017-01-20,36.76,37.24,36.74,36.77,1030858,36.77
2017-01-19,36.73,36.95,36.57,36.6,702506,36.6
2017-01-18,36.61,36.82,36.31,36.55,954526,36.55
2017-01-17,37.45,37.57,36.19,36.51,2163358,36.51
2017-01-13,36.46,37.73,36.18,37.57,1784884,37.57
2017-01-12,36.23,37.0,35.78,36.93,1537382,36.93
2017-01-11,36.71,36.71,35.67,36.08,1762394,36.08
2017-01-10,37.1,37.19,36.53,36.65,1421310,36.65
2017-01-09,36.92,37.18,36.46,36.95,1753957,36.95
2017-01-06,36.61,36.81,35.88,36.7,1423946,36.7
2017-01-05,36.88,37.08,36.06,36.42,2069475,36.42
2017-01-04,37.17,37.46,36.77,37.09,1120368,37.09
2017-01-03,36.25,37.28,36.1,37.22,1689602,37.22
2016-12-30,37.25,37.3,36.33,36.47,880085,36.47
2016-12-29,37.16,37.43,36.84,36.98,528163,36.98
2016-12-28,37.68,37.68,36.77,37.18,632947,37.18
2016-12-27,37.36,37.75,37.26,37.66,506723,37.66
2016-12-23,36.6,37.24,36.3,37.23,1568695,37.23
2016-12-22,38.05,38.34,36.35,36.6,1758971,36.6
2016-12-21,38.89,39.0,38.02,38.34,1248400,38.34
2016-12-20,38.4,38.88,37.97,38.81,1145711,38.81
2016-12-19,37.83,38.43,37.29,38.13,899880,38.13
2016-12-16,38.08,38.2,37.29,37.63,1159573,37.63
2016-12-15,36.9,39.05,36.54,38.04,3577738,38.04
2016-12-14,36.53,37.0,36.17,36.69,1620558,36.69
2016-12-13,36.35,37.01,36.16,36.4,1048947,36.4
2016-12-12,36.9,37.16,36.16,36.28,1214291,36.28
2016-12-09,37.11,37.46,36.54,36.91,1175111,36.91
2016-12-08,37.25,37.87,36.89,36.97,2294089,36.97
2016-12-07,37.09,37.99,36.36,37.58,3999591,37.58
2016-12-06,34.0,37.84,34.0,37.4,10549470,37.4
2016-12-05,34.08,34.94,33.61,34.77,662752,34.77
2016-12-02,33.88,34.59,33.66,33.87,774759,33.87
2016-12-01,35.84,35.92,33.43,33.85,3267856,33.85
2016-11-30,36.37,36.54,35.79,35.92,1555058,35.92
2016-11-29,35.98,36.45,35.53,36.01,767939,36.01
