Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,3.6,3.69,3.58,3.61,10046519,3.61
2017-06-05,3.64,3.68,3.6,3.61,10820844,3.61
2017-06-02,3.6,3.7,3.54,3.63,17037142,3.63
2017-06-01,3.54,3.65,3.53,3.58,15706322,3.58
2017-05-31,3.61,3.63,3.5,3.52,14839352,3.52
2017-05-30,3.55,3.62,3.49,3.6,22613444,3.6
2017-05-26,3.48,3.51,3.4,3.49,7998194,3.49
2017-05-25,3.59,3.62,3.45,3.49,15632315,3.49
2017-05-24,3.5,3.6,3.46,3.58,12403848,3.58
2017-05-23,3.47,3.52,3.4,3.5,12357004,3.5
2017-05-22,3.45,3.48,3.4,3.44,6198028,3.44
2017-05-19,3.43,3.51,3.41,3.45,16499525,3.45
2017-05-18,3.35,3.45,3.35,3.4,19350142,3.4
2017-05-17,3.41,3.47,3.35,3.37,16566552,3.37
2017-05-16,3.4,3.52,3.38,3.49,20377614,3.49
2017-05-15,3.31,3.43,3.3,3.39,16077600,3.39
2017-05-12,3.35,3.4,3.32,3.32,8879214,3.32
2017-05-11,3.33,3.4,3.26,3.4,11306552,3.4
2017-05-10,3.34,3.39,3.31,3.37,9947868,3.37
2017-05-09,3.28,3.36,3.22,3.33,18887320,3.33
2017-05-08,3.22,3.4,3.17,3.34,34813580,3.34
2017-05-05,3.02,3.23,2.96,3.2,42217089,3.2
2017-05-04,2.9,2.93,2.84,2.84,11887767,2.84
2017-05-03,2.91,2.91,2.84,2.9,3128917,2.9
2017-05-02,2.85,2.92,2.84,2.91,5429857,2.91
2017-05-01,2.9,2.94,2.84,2.87,9310102,2.87
2017-04-28,2.86,2.94,2.81,2.89,8827422,2.89
2017-04-27,2.84,2.86,2.82,2.84,4550080,2.84
2017-04-26,2.85,2.9,2.82,2.82,12697807,2.82
2017-04-25,2.85,2.9,2.82,2.86,6989286,2.86
2017-04-24,2.82,2.86,2.79,2.86,6127470,2.86
2017-04-21,2.8,2.82,2.77,2.79,5321303,2.79
2017-04-20,2.84,2.85,2.82,2.82,2892745,2.82
2017-04-19,2.81,2.85,2.79,2.82,5771704,2.82
2017-04-18,2.77,2.83,2.77,2.82,22883966,2.82
2017-04-17,2.73,2.8,2.73,2.78,6556115,2.78
2017-04-13,2.77,2.81,2.76,2.77,3045183,2.77
2017-04-12,2.79,2.81,2.77,2.78,2942090,2.78
2017-04-11,2.79,2.83,2.78,2.79,10170263,2.79
2017-04-10,2.81,2.83,2.76,2.79,17655289,2.79
2017-04-07,2.79,2.86,2.78,2.8,4012558,2.8
2017-04-06,2.81,2.82,2.78,2.8,4623943,2.8
2017-04-05,2.79,2.82,2.78,2.78,7753410,2.78
2017-04-04,2.81,2.84,2.79,2.79,9823824,2.79
2017-04-03,2.85,2.86,2.79,2.83,5268047,2.83
2017-03-31,2.9,2.92,2.84,2.85,5421996,2.85
2017-03-30,2.84,2.95,2.82,2.88,22847965,2.88
2017-03-29,2.81,2.85,2.81,2.83,3889251,2.83
2017-03-28,2.8,2.85,2.79,2.82,7217590,2.82
2017-03-27,2.76,2.81,2.76,2.81,3034965,2.81
2017-03-24,2.79,2.84,2.79,2.8,4035700,2.8
2017-03-23,2.75,2.83,2.74,2.81,9012528,2.81
2017-03-22,2.73,2.76,2.71,2.76,3275124,2.76
2017-03-21,2.8,2.82,2.74,2.76,5687085,2.76
2017-03-20,2.79,2.83,2.78,2.8,7977378,2.8
2017-03-17,2.82,2.84,2.79,2.8,7240950,2.8
2017-03-16,2.73,2.86,2.73,2.84,6819996,2.84
2017-03-15,2.79,2.87,2.78,2.84,5601766,2.84
2017-03-14,2.8,2.81,2.77,2.78,5267546,2.78
2017-03-13,2.83,2.85,2.8,2.81,4669339,2.81
2017-03-10,2.76,2.84,2.76,2.82,7077141,2.82
2017-03-09,2.74,2.76,2.73,2.75,4066928,2.75
2017-03-08,2.75,2.76,2.73,2.74,2558271,2.74
