Date,Open,High,Low,Close,Volume,Adj Close
2017-06-05,6305.47,6310.62,6292.15,6295.68,1583430038.0,6295.68
2017-06-02,6261.59,6308.76,6253.77,6305.8,454802528.0,6305.8
2017-06-01,6215.91,6247.07,6200.45,6246.83,502076576.0,6246.83
2017-05-31,6221.63,6221.98,6164.07,6198.52,697140736.0,6198.52
2017-05-30,6204.18,6217.13,6200.41,6203.19,402186752.0,6203.19
2017-05-26,6207.04,6211.52,6196.66,6210.19,374042848.0,6210.19
2017-05-25,6183.02,6217.34,6174.52,6205.26,416905184.0,6205.26
2017-05-24,6154.18,6166.09,6139.34,6163.02,400172800.0,6163.02
2017-05-23,6149.55,6150.91,6121.79,6138.71,407644224.0,6138.71
2017-05-22,6098.25,6135.92,6097.24,6133.62,422178624.0,6133.62
2017-05-19,6070.23,6106.55,6070.23,6083.7,517219936.0,6083.7
2017-05-18,5998.46,6073.45,5996.82,6055.13,510958112.0,6055.13
2017-05-17,6108.63,6122.87,6009.48,6011.24,565458368.0,6011.24
2017-05-16,6160.52,6170.16,6139.1,6169.87,459511712.0,6169.87
2017-05-15,6128.11,6153.04,6124.79,6149.67,451897408.0,6149.67
2017-05-12,6119.27,6122.84,6105.42,6121.23,412563296.0,6121.23
2017-05-11,6110.05,6120.2,6075.68,6115.96,452724544.0,6115.96
2017-05-10,6121.64,6131.64,6103.87,6129.14,483880352.0,6129.14
2017-05-09,6111.82,6133.0,6107.59,6120.59,466591200.0,6120.59
2017-05-08,6100.66,6106.12,6083.06,6102.66,460284160.0,6102.66
2017-05-05,6091.69,6100.76,6067.16,6100.76,444908224.0,6100.76
2017-05-04,6075.06,6080.82,6054.32,6075.34,482550016.0,6075.34
2017-05-03,6075.04,6076.96,6053.28,6072.55,498872160.0,6072.55
2017-05-02,6102.51,6102.72,6081.56,6095.37,500296704.0,6095.37
2017-05-01,6067.56,6100.73,6061.35,6091.6,416294752.0,6091.6
2017-04-28,6072.87,6074.04,6040.71,6047.61,524686720.0,6047.61
2017-04-27,6038.47,6050.7,6031.59,6048.94,460289120.0,6048.94
2017-04-26,6028.13,6040.9,6021.72,6025.23,455720736.0,6025.23
2017-04-25,6004.16,6036.02,6002.65,6025.49,443777024.0,6025.49
2017-04-24,5979.96,5989.91,5970.25,5983.82,446135040.0,5983.82
2017-04-21,5919.02,5919.23,5899.43,5910.52,455780000.0,5910.52
2017-04-20,5887.87,5926.23,5880.2,5916.78,424152608.0,5916.78
2017-04-19,5874.43,5894.68,5856.34,5863.03,416270272.0,5863.03
2017-04-18,5838.59,5860.04,5828.57,5849.47,392584064.0,5849.47
2017-04-17,5821.55,5856.79,5818.2,5856.79,346951488.0,5856.79
2017-04-13,5828.37,5856.54,5805.15,5805.15,385758816.0,5805.15
2017-04-12,5863.59,5868.09,5830.44,5836.16,410408096.0,5836.16
2017-04-11,5871.16,5878.94,5819.29,5866.77,452771168.0,5866.77
2017-04-10,5883.43,5907.85,5865.56,5880.93,389849984.0,5880.93
2017-04-07,5873.95,5892.07,5855.51,5877.81,419738944.0,5877.81
2017-04-06,5870.52,5889.58,5856.22,5878.95,450084768.0,5878.95
2017-04-05,5911.93,5936.39,5856.26,5864.48,556150720.0,5864.48
2017-04-04,5878.77,5901.39,5878.77,5898.61,446852672.0,5898.61
2017-04-03,5917.32,5928.93,5867.73,5894.68,454164928.0,5894.68
2017-03-31,5905.63,5927.81,5901.77,5911.74,530408032.0,5911.74
2017-03-30,5896.15,5916.77,5894.0,5914.34,397043136.0,5914.34
2017-03-29,5875.35,5900.87,5870.93,5897.55,397154304.0,5897.55
