Date,Open,High,Low,Close,Volume,Adj Close
2017-06-05,3105.54,3105.54,3084.85,3091.656,13237690368.0,3091.656
2017-06-02,3093.91,3109.54,3081.93,3105.54,14225654784.0,3105.54
2017-06-01,3105.16,3113.36,3098.08,3102.62,16269346816.0,3102.62
2017-05-31,3125.9,3143.07,3111.61,3117.18,15248128000.0,3117.18
2017-05-26,3101.1,3120.1,3101.1,3110.06,15508360192.0,3110.06
2017-05-25,3054.01,3114.19,3053.51,3107.83,19054125056.0,3107.83
2017-05-24,3045.37,3064.08,3022.83,3064.08,13892349952.0,3064.08
2017-05-23,3067.51,3084.17,3051.27,3061.95,17722134528.0,3061.95
2017-05-22,3086.19,3103.83,3063.53,3075.68,15199626240.0,3075.68
2017-05-19,3089.04,3095.48,3081.74,3090.63,12780140544.0,3090.63
2017-05-18,3079.45,3103.44,3078.22,3090.14,14819901440.0,3090.14
2017-05-17,3107.16,3119.58,3101.33,3104.44,16856803328.0,3104.44
2017-05-16,3079.96,3113.5,3061.03,3112.96,17368297472.0,3112.96
2017-05-15,3086.1,3098.48,3086.04,3090.23,13553968128.0,3090.23
2017-05-12,3053.19,3090.01,3052.04,3083.51,15967207424.0,3083.51
2017-05-11,3035.85,3063.27,3016.94,3061.5,19131074560.0,3061.5
2017-05-10,3080.82,3090.46,3052.53,3052.79,16061190144.0,3052.79
2017-05-09,3062.84,3084.09,3056.79,3080.53,13480623104.0,3080.53
2017-05-08,3089.71,3092.54,3068.08,3078.61,18023669760.0,3078.61
2017-05-05,3113.75,3117.58,3092.21,3103.04,17568249856.0,3103.04
2017-05-04,3123.52,3143.07,3111.88,3127.37,17686925312.0,3127.37
2017-05-03,3143.71,3147.9,3124.68,3135.35,16317856768.0,3135.35
2017-05-02,3145.31,3154.78,3136.77,3143.71,15359859712.0,3143.71
2017-04-28,3143.09,3154.66,3137.47,3154.66,16250450944.0,3154.66
2017-04-27,3128.28,3154.73,3097.89,3152.19,21098252288.0,3152.19
2017-04-26,3132.89,3152.36,3131.54,3140.85,16932291584.0,3140.85
2017-04-25,3126.65,3145.27,3117.91,3134.57,15247612928.0,3134.57
2017-04-24,3163.55,3163.55,3111.71,3129.53,18570622976.0,3129.53
2017-04-21,3169.68,3180.66,3158.95,3173.15,16377771008.0,3173.15
2017-04-20,3165.3,3178.18,3148.87,3172.1,18991880192.0,3172.1
2017-04-19,3182.6,3189.27,3147.59,3170.69,21229303808.0,3170.69
2017-04-18,3215.81,3224.83,3196.61,3196.71,18819934208.0,3196.71
2017-04-17,3228.67,3228.67,3200.54,3222.17,21209935872.0,3222.17
2017-04-14,3276.17,3276.17,3238.9,3246.07,21372399616.0,3246.07
2017-04-13,3263.99,3280.77,3261.49,3275.96,20674992128.0,3275.96
2017-04-12,3282.5,3284.79,3263.12,3273.83,26854199296.0,3273.83
2017-04-11,3266.23,3290.09,3244.75,3288.97,28019781632.0,3288.97
2017-04-10,3283.86,3284.63,3265.57,3269.39,23146258432.0,3269.39
2017-04-07,3280.39,3295.07,3275.43,3286.62,23575326720.0,3286.62
2017-04-06,3272.03,3286.29,3265.87,3281.01,24474613760.0,3281.01
2017-04-05,3241.33,3270.31,3233.39,3270.31,24762159104.0,3270.31
2017-03-31,3206.22,3226.12,3205.74,3222.51,19637547008.0,3222.51
2017-03-30,3234.1,3239.31,3196.72,3210.24,24690855936.0,3210.24
2017-03-29,3253.96,3261.69,3233.32,3241.31,21609922560.0,3241.31
2017-03-28,3264.75,3265.23,3246.35,3252.95,16170719232.0,3252.95
2017-03-27,3268.49,3282.99,3262.23,3266.96,20185079808.0,3266.96
2017-03-24,3247.23,3274.27,3241.75,3269.45,21973037056.0,3269.45
2017-03-23,3247.22,3261.92,3222.32,3248.55,19302598656.0,3248.55
2017-03-22,3245.18,3255.57,3229.26,3245.22,18972872704.0,3245.22
2017-03-21,3250.56,3262.22,3247.03,3261.61,16271742976.0,3261.61
2017-03-20,3244.5,3250.81,3228.41,3250.81,17054576640.0,3250.81
2017-03-17,3272.67,3273.55,3232.69,3237.45,20057985024.0,3237.45
2017-03-16,3249.64,3269.3,3249.64,3268.94,18941519872.0,3268.94
2017-03-15,3233.91,3243.5,3227.74,3241.76,14405506048.0,3241.76
2017-03-14,3235.44,3246.03,3231.63,3239.33,14694521856.0,3239.33
2017-03-13,3208.59,3237.02,3193.87,3237.02,16367309824.0,3237.02
2017-03-10,3214.54,3221.82,3208.58,3212.76,13655529472.0,3212.76
2017-03-09,3231.41,3231.41,3205.86,3216.75,16723329024.0,3216.75
2017-03-08,3240.64,3245.04,3230.88,3240.67,16060709888.0,3240.67
2017-03-07,3233.45,3242.41,3226.97,3242.41,16392442880.0,3242.41
2017-03-06,3218.13,3234.13,3215.35,3233.87,15592022016.0,3233.87
2017-03-03,3219.3,3220.64,3207.18,3218.31,15691841536.0,3218.31
2017-03-02,3253.49,3256.74,3228.76,3230.03,18105931776.0,3230.03
2017-03-01,3238.54,3259.87,3238.54,3246.93,19047063552.0,3246.93
2017-02-28,3226.45,3242.66,3226.35,3241.73,15112132608.0,3241.73
2017-02-27,3249.72,3251.07,3224.8,3228.66,18220474368.0,3228.66
2017-02-24,3246.9,3253.76,3233.55,3253.43,18586847232.0,3253.43
2017-02-23,3258.62,3263.98,3237.01,3251.38,20875376640.0,3251.38
2017-02-22,3252.81,3261.22,3244.74,3261.22,20680933376.0,3261.22
2017-02-21,3242.06,3254.25,3240.28,3253.33,21097519104.0,3253.33
2017-02-20,3199.85,3241.46,3199.85,3239.96,23122587648.0,3239.96
2017-02-17,3227.11,3238.08,3199.68,3202.08,22565009408.0,3202.08
